donem,il,isim,parti,degisiklik
22,Adana,Abdullah Çalışkan,Adalet ve Kalkınma Partisi,
22,Adana,Ömer Çelik,Adalet ve Kalkınma Partisi,
22,Adana,Recep Garip,Adalet ve Kalkınma Partisi,
22,Adana,Ali Küçükaydın,Adalet ve Kalkınma Partisi,
22,Adana,Vahit Kirişci,Adalet ve Kalkınma Partisi,
22,Adana,Ayhan Zeynep Tekin Börü,Adalet ve Kalkınma Partisi,
22,Adana,Abdullah Torun,Adalet ve Kalkınma Partisi,
22,Adana,Ziyaettin Yağcı,Adalet ve Kalkınma Partisi,
22,Adana,Nevin Gaye Erbatur,Cumhuriyet Halk Partisi,
22,Adana,Uğur Aksöz,Cumhuriyet Halk Partisi,
22,Adana,Atilla Başoğlu,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi
22,Adana,Kemal Sağ,Cumhuriyet Halk Partisi,
22,Adana,Tacidar Seyhan,Cumhuriyet Halk Partisi,
22,Adana,Mehmet Ziya Yergök,Cumhuriyet Halk Partisi,
22,Adıyaman,Mahmut Göksu,Adalet ve Kalkınma Partisi,
22,Adıyaman,Fehmi Hüsrev Kutlu,Adalet ve Kalkınma Partisi,
22,Adıyaman,Mehmet Özyol,Adalet ve Kalkınma Partisi,
22,Adıyaman,Ahmet Faruk Ünsal,Adalet ve Kalkınma Partisi,
22,Adıyaman,Şevket Gürsoy,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi
22,Afyonkarahisar,Sait Açba,Adalet ve Kalkınma Partisi,
22,Afyonkarahisar,İbrahim Hakkı Aşkar,Adalet ve Kalkınma Partisi,Bağımsız
22,Afyonkarahisar,Halil Aydoğan,Adalet ve Kalkınma Partisi,
22,Afyonkarahisar,Ahmet Koca,Adalet ve Kalkınma Partisi,
22,Afyonkarahisar,Mahmut Koçak,Adalet ve Kalkınma Partisi,Anavatan Partisi
22,Afyonkarahisar,Reyhan Tugay,Adalet ve Kalkınma Partisi,
22,Afyonkarahisar,Halil Ünlütepe,Cumhuriyet Halk Partisi,
22,Ağrı,Mehmet Kerim Yıldız,Adalet ve Kalkınma Partisi,
22,Ağrı,Mehmet Melik Özmen,Adalet ve Kalkınma Partisi,Ölüm
22,Ağrı,Halil Özyolcu,Adalet ve Kalkınma Partisi,
22,Ağrı,Naci Aslan,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi
22,Ağrı,Cemal Kaya,Cumhuriyet Halk Partisi,Milletvekilliğinden istifa
22,Aksaray,Ruhi Açıkgöz,Adalet ve Kalkınma Partisi,
22,Aksaray,Ali Rıza Alaboyun,Adalet ve Kalkınma Partisi,
22,Aksaray,Ramazan Toprak,Adalet ve Kalkınma Partisi,
22,Aksaray,Ahmet Yaşar,Adalet ve Kalkınma Partisi,
22,Amasya,Hamza Albayrak,Adalet ve Kalkınma Partisi,Anavatan Partisi
22,Amasya,Akif Gülle,Adalet ve Kalkınma Partisi,
22,Amasya,Mustafa Sayar,Cumhuriyet Halk Partisi,Bağımsız
22,Ankara,Cemil Çiçek,Adalet ve Kalkınma Partisi,
22,Ankara,Beşir Atalay,Adalet ve Kalkınma Partisi,
22,Ankara,Ali Babacan,Adalet ve Kalkınma Partisi,
22,Ankara,İsmail Alptekin,Adalet ve Kalkınma Partisi,
22,Ankara,Reha Denemeç,Adalet ve Kalkınma Partisi,
22,Ankara,Bülent Gedikli,Adalet ve Kalkınma Partisi,
22,Ankara,Haluk İpek,Adalet ve Kalkınma Partisi,
22,Ankara,Salih Kapusuz,Adalet ve Kalkınma Partisi,
22,Ankara,Telat Karapınar,Adalet ve Kalkınma Partisi,
22,Ankara,Faruk Koca,Adalet ve Kalkınma Partisi,
22,Ankara,Ersönmez Yarbay,Adalet ve Kalkınma Partisi,
22,Ankara,Mustafa Sait Yazıcıoğlu,Adalet ve Kalkınma Partisi,
22,Ankara,Mehmet Zekai Özcan,Adalet ve Kalkınma Partisi,
22,Ankara,Remziye Öztoprak,Adalet ve Kalkınma Partisi,
22,Ankara,Eyyüp Sanay,Adalet ve Kalkınma Partisi,
22,Ankara,Nur Doğan Topaloğlu,Adalet ve Kalkınma Partisi,
22,Ankara,Mustafa Tuna,Adalet ve Kalkınma Partisi,
22,Ankara,Önder Sav,Cumhuriyet Halk Partisi,
22,Ankara,Oya Araslı,Cumhuriyet Halk Partisi,
22,Ankara,Yılmaz Ateş,Cumhuriyet Halk Partisi,
22,Ankara,Eşref Erdem,Cumhuriyet Halk Partisi,
22,Ankara,Zekeriya Akıncı,Cumhuriyet Halk Partisi,
22,Ankara,Gülsün Bilgehan,Cumhuriyet Halk Partisi,
22,Ankara,Ahmet İsmet Çanakcı,Cumhuriyet Halk Partisi,
22,Ankara,İsmail Değerli,Cumhuriyet Halk Partisi,
22,Ankara,Bayram Meral,Cumhuriyet Halk Partisi,
22,Ankara,Yakup Kepenek,Cumhuriyet Halk Partisi,
22,Ankara,Mehmet Tomanbay,Cumhuriyet Halk Partisi,
22,Ankara,Muzaffer Remzi Kurtulmuşoğlu,Cumhuriyet Halk Partisi,Anavatan Partisi
22,Antalya,Mevlüt Çavuşoğlu,Adalet ve Kalkınma Partisi,
22,Antalya,Mehmet Dülger,Adalet ve Kalkınma Partisi,
22,Antalya,Osman Akman,Adalet ve Kalkınma Partisi,
22,Antalya,Fikret Badazlı,Adalet ve Kalkınma Partisi,
22,Antalya,Burhan Kılıç,Adalet ve Kalkınma Partisi,
22,Antalya,Deniz Baykal,Cumhuriyet Halk Partisi,
22,Antalya,Osman Kaptan,Cumhuriyet Halk Partisi,
22,Antalya,Feridun Fikret Baloğlu,Cumhuriyet Halk Partisi,
22,Antalya,Hüseyin Ekmekcioğlu,Cumhuriyet Halk Partisi,
22,Antalya,Atila Emek,Cumhuriyet Halk Partisi,
22,Antalya,Tuncay Ercenk,Cumhuriyet Halk Partisi,
22,Antalya,Nail Kamacı,Cumhuriyet Halk Partisi,
22,Antalya,Osman Özcan,Cumhuriyet Halk Partisi,
22,Ardahan,Kenan Altun,Adalet ve Kalkınma Partisi,
22,Ardahan,Ensar Öğüt,Cumhuriyet Halk Partisi,
22,Artvin,Orhan Yıldız,Adalet ve Kalkınma Partisi,
22,Artvin,Yüksel Çorbacıoğlu,Cumhuriyet Halk Partisi,
22,Aydın,Atilla Koç,Adalet ve Kalkınma Partisi,
22,Aydın,Ahmet Ertürk,Adalet ve Kalkınma Partisi,
22,Aydın,Ahmet Rıza Acar,Adalet ve Kalkınma Partisi,
22,Aydın,Semiha Öyüş,Adalet ve Kalkınma Partisi,
22,Aydın,Özlem Çerçioğlu,Cumhuriyet Halk Partisi,
22,Aydın,Mehmet Boztaş,Cumhuriyet Halk Partisi,
22,Aydın,Mehmet Mesut Özakcan,Cumhuriyet Halk Partisi,
22,Aydın,Mehmet Semerci,Cumhuriyet Halk Partisi,
22,Balıkesir,Turhan Çömez,Adalet ve Kalkınma Partisi,
22,Balıkesir,Ahmet Edip Uğur,Adalet ve Kalkınma Partisi,
22,Balıkesir,Ali Aydınlıoğlu,Adalet ve Kalkınma Partisi,
22,Balıkesir,İsmail Özgün,Adalet ve Kalkınma Partisi,
22,Balıkesir,Ali Osman Sali,Adalet ve Kalkınma Partisi,
22,Balıkesir,Ali Kemal Deveciler,Cumhuriyet Halk Partisi,
22,Balıkesir,Sedat Pekel,Cumhuriyet Halk Partisi,
22,Balıkesir,Orhan Sür,Cumhuriyet Halk Partisi,
22,Bartın,Hacı İbrahim Kabarık,Adalet ve Kalkınma Partisi,
22,Bartın,Mehmet Asım Kulak,Adalet ve Kalkınma Partisi,
22,Batman,Afif Demirkıran,Adalet ve Kalkınma Partisi,
22,Batman,Ahmet İnal,Adalet ve Kalkınma Partisi,
22,Batman,Memet Ali Suçin,Adalet ve Kalkınma Partisi,
22,Batman,Mehmet Nezir Nasıroğlu,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi
22,Bayburt,Fetani Battal,Adalet ve Kalkınma Partisi,
22,Bayburt,Ülkü Güney,Bağımsız,Adalet ve Kalkınma Partisi
22,Bilecik,Fahrettin Poyraz,Adalet ve Kalkınma Partisi,
22,Bilecik,Yaşar Tüzün,Cumhuriyet Halk Partisi,
22,Bingöl,Abdurrahman Anık,Adalet ve Kalkınma Partisi,
22,Bingöl,Feyzi Berdibek,Adalet ve Kalkınma Partisi,
22,Bingöl,Mahfuz Güler,Adalet ve Kalkınma Partisi,
22,Bitlis,Abdurrahim Aksoy,Adalet ve Kalkınma Partisi,
22,Bitlis,Zeki Ergezen,Adalet ve Kalkınma Partisi,
22,Bitlis,Vahit Kiler,Adalet ve Kalkınma Partisi,
22,Bitlis,Edip Safder Gaydalı,Bağımsız,
22,Bolu,Yüksel Coşkunyürek,Adalet ve Kalkınma Partisi,
22,Bolu,Mehmet Güner,Adalet ve Kalkınma Partisi,
22,Bolu,Metin Yılmaz,Adalet ve Kalkınma Partisi,
22,Burdur,Mehmet Alp,Adalet ve Kalkınma Partisi,
22,Burdur,Bayram Özçelik,Adalet ve Kalkınma Partisi,
22,Burdur,Ramazan Kerim Özkan,Cumhuriyet Halk Partisi,
22,Bursa,Ertuğrul Yalçınbayır,Adalet ve Kalkınma Partisi,
