word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation
bir,418538,72838,0.403246,7,17,True,existing_stopword,already_present
ve,368478,57922,0.320668,7,17,True,existing_stopword,already_present
bu,363178,65440,0.36229,7,17,True,existing_stopword,already_present
da,165684,47993,0.265699,7,17,True,existing_stopword,already_present
de,164726,50618,0.280232,7,17,True,existing_stopword,already_present
sayin,122910,66300,0.367051,7,17,False,parliamentary_procedure,add_stopword
için,83240,33304,0.184378,7,17,True,existing_stopword,already_present
olarak,77417,29948,0.165798,7,17,True,existing_stopword,already_present
türkiye,76256,26531,0.146881,7,17,True,existing_stopword,already_present
değerli,69968,28308,0.156719,7,17,True,existing_stopword,already_present
var,68014,29509,0.163368,7,17,True,existing_stopword,already_present
çok,66263,28434,0.157417,7,17,False,generic_high_coverage,review_first
ne,63094,29506,0.163351,7,17,True,existing_stopword,already_present
daha,59217,27215,0.150668,7,17,False,generic_high_coverage,review_first
ama,59047,28733,0.159072,7,17,False,generic_high_coverage,review_first
ki,57772,27337,0.151343,7,17,False,generic_high_coverage,review_first
başkan,56251,44762,0.247812,7,17,True,existing_stopword,already_present
olan,53087,23896,0.132293,7,17,True,existing_stopword,already_present
ilgili,46160,20638,0.114256,7,17,True,existing_stopword,already_present
nin,45551,21547,0.119289,7,17,False,suffix_fragment,add_stopword
kadar,45424,23250,0.128717,7,17,False,generic_high_coverage,review_first
gibi,44230,21861,0.121027,7,17,True,existing_stopword,already_present
biz,43868,23757,0.131524,7,17,True,existing_stopword,already_present
yani,43508,21144,0.117058,7,17,False,generic_high_coverage,review_first
milletvekilleri,42089,20802,0.115164,7,17,True,existing_stopword,already_present
her,41607,21628,0.119737,7,17,False,generic_high_coverage,review_first
burada,41446,22545,0.124814,7,17,True,existing_stopword,already_present
ben,40037,24940,0.138073,7,17,False,generic_high_coverage,review_first
en,39679,19450,0.107679,7,17,False,generic_high_coverage,review_first
şimdi,38869,20305,0.112413,7,17,True,existing_stopword,already_present
değil,37769,22389,0.12395,7,17,True,existing_stopword,already_present
ya,36731,21304,0.117943,7,17,False,generic_high_coverage,review_first
bunu,36392,20501,0.113498,7,17,True,existing_stopword,already_present
mi,35836,19501,0.107962,7,17,False,generic_high_coverage,review_first
yok,34578,19786,0.109539,7,17,True,existing_stopword,already_present
büyük,34469,17595,0.09741,7,17,True,existing_stopword,already_present
tarafindan,33871,23398,0.129536,7,17,False,generic_high_coverage,review_first
siralarindan,33736,27779,0.15379,7,17,False,parliamentary_procedure,add_stopword
yüzde,33450,10258,0.05679,7,17,True,existing_stopword,already_present
parti,32286,21540,0.11925,7,17,True,existing_stopword,already_present
zaman,31488,17228,0.095378,7,17,True,existing_stopword,already_present
arkadaşlar,30201,14747,0.081642,7,17,True,existing_stopword,already_present
bugün,29553,16203,0.089703,7,17,False,cross_party_generic,review_first
alkişlar,29551,25074,0.138815,7,17,False,generic_high_coverage,review_first
sonra,29494,17358,0.096098,7,17,False,generic_high_coverage,review_first
önce,29176,18437,0.102071,7,17,False,generic_high_coverage,review_first
genel,28835,16626,0.092045,7,17,True,existing_stopword,already_present
olduğu,27198,15836,0.087671,7,17,False,cross_party_generic,review_first
bunun,26919,15985,0.088496,7,17,False,cross_party_generic,review_first
teşekkür,26800,21440,0.118696,7,17,True,existing_stopword,already_present
bütün,26456,15041,0.08327,7,17,False,cross_party_generic,review_first
kanun,26310,10645,0.058933,7,17,True,existing_stopword,already_present
söz,26285,18493,0.102381,7,17,True,existing_stopword,already_present
şekilde,26002,15114,0.083674,7,17,False,cross_party_generic,review_first
şu,25913,15822,0.087594,7,17,True,existing_stopword,already_present
önemli,25816,12911,0.071478,7,17,False,cross_party_generic,review_first
yine,25595,13538,0.074949,7,17,False,cross_party_generic,review_first
böyle,25374,15724,0.087051,7,17,True,existing_stopword,already_present
siz,24076,15828,0.087627,7,17,False,cross_party_generic,review_first
son,23864,14819,0.082041,7,17,False,cross_party_generic,review_first
in,23786,13698,0.075835,7,17,False,cross_party_generic,review_first
ifade,23718,13515,0.074822,7,17,False,cross_party_generic,review_first
ak,23561,16322,0.090362,7,17,False,generic_high_coverage,review_first
ediyorum,23366,17916,0.099187,7,17,True,existing_stopword,already_present
devam,23220,13673,0.075697,7,17,False,cross_party_generic,review_first
şey,22937,15497,0.085795,7,17,False,cross_party_generic,review_first
diye,22923,14444,0.079965,7,17,False,cross_party_generic,review_first
istiyorum,22674,15429,0.085418,7,17,False,cross_party_generic,review_first
türk,22316,9497,0.052577,7,17,False,cross_party_generic,review_first
bizim,21430,13438,0.074396,7,17,False,cross_party_generic,review_first
sadece,21197,13164,0.072879,7,17,False,cross_party_generic,review_first
bakin,21110,12928,0.071572,7,17,False,cross_party_generic,review_first
ayni,20640,12801,0.070869,7,17,False,cross_party_generic,review_first
göre,20318,12031,0.066606,7,17,False,cross_party_generic,review_first
selamliyorum,20139,17915,0.099181,7,17,False,parliamentary_procedure,add_stopword
saygiyla,20117,17587,0.097365,7,17,False,parliamentary_procedure,add_stopword
hem,20016,7628,0.04223,7,17,False,cross_party_generic,review_first
yil,19837,11210,0.062061,7,17,False,cross_party_generic,review_first
yeni,19825,11054,0.061197,7,17,False,cross_party_generic,review_first
bin,19438,8818,0.048818,7,17,False,cross_party_generic,review_first
ancak,19079,11461,0.06345,7,17,False,cross_party_generic,review_first
ile,18897,10217,0.056563,7,17,True,existing_stopword,already_present
anayasa,18897,7278,0.040293,7,16,False,cross_party_generic,review_first
karşi,18611,11055,0.061203,7,17,False,cross_party_generic,review_first
devlet,18559,10276,0.05689,7,17,False,cross_party_generic,review_first
nasil,18423,11364,0.062913,7,17,False,cross_party_generic,review_first
iki,17921,11661,0.064558,7,17,False,cross_party_generic,review_first
iş,17785,9114,0.050457,7,17,False,cross_party_generic,review_first
iyi,17571,11938,0.066091,7,17,False,cross_party_generic,review_first
diğer,17470,11092,0.061408,7,17,False,cross_party_generic,review_first
chp,17121,13532,0.074916,7,15,False,cross_party_generic,review_first
tüm,17094,10245,0.056718,7,17,False,cross_party_generic,review_first
özellikle,17079,9895,0.054781,7,17,False,cross_party_generic,review_first
otomatik,16965,16770,0.092842,7,17,True,existing_stopword,already_present
tabii,16924,10162,0.056259,7,17,False,cross_party_generic,review_first
kapatildi,16920,16765,0.092815,7,17,False,transcript_artifact,add_stopword
cihaz,16907,16705,0.092482,7,17,True,existing_stopword,already_present
kendi,16893,10732,0.059415,7,17,True,existing_stopword,already_present
hiçbir,16876,11254,0.062305,7,17,False,cross_party_generic,review_first
çünkü,16806,11228,0.062161,7,17,False,cross_party_generic,review_first
mikrofon,16784,16695,0.092427,7,17,True,existing_stopword,already_present
kamu,16612,7012,0.03882,7,17,False,high_frequency_generic,review_first
yilinda,16499,8056,0.0446,7,17,False,cross_party_generic,review_first
içerisinde,15810,9327,0.051636,7,17,False,cross_party_generic,review_first
olduğunu,15748,10480,0.058019,7,17,False,cross_party_generic,review_first
başka,15736,10615,0.058767,7,17,True,existing_stopword,already_present
milli,15721,7855,0.043487,7,17,False,cross_party_generic,review_first
arkadaşlarim,15607,6620,0.03665,7,13,False,high_frequency_generic,review_first
gün,14998,9845,0.054504,7,17,False,cross_party_generic,review_first
yapilan,14968,9641,0.053375,7,17,False,cross_party_generic,review_first
diyor,14804,9108,0.050424,7,17,False,cross_party_generic,review_first
doğru,14766,10187,0.056397,7,17,False,cross_party_generic,review_first
eğer,14538,9988,0.055296,7,17,False,cross_party_generic,review_first
akp,14418,7064,0.039108,7,14,False,high_frequency_generic,review_first
veya,14316,8145,0.045092,7,16,True,existing_stopword,already_present
üzere,14214,9341,0.051714,7,17,False,cross_party_generic,review_first
eğitim,14188,5910,0.032719,7,17,False,high_frequency_generic,review_first
partisi,14182,9346,0.051741,7,16,False,cross_party_generic,review_first
başkanim,14023,13249,0.073349,7,16,False,cross_party_generic,review_first
sosyal,13978,7108,0.039351,7,17,False,high_frequency_generic,review_first
milyon,13971,6374,0.035288,7,17,False,high_frequency_generic,review_first
konuda,13961,9534,0.052782,7,17,False,cross_party_generic,review_first
siyasi,13950,7972,0.044135,7,17,False,cross_party_generic,review_first
üzerinde,13949,9516,0.052683,7,17,True,existing_stopword,already_present
adina,13864,9920,0.054919,7,17,False,cross_party_generic,review_first
