word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation,priority
sayin,122910,66300,0.367051,7,17,False,parliamentary_procedure,add_stopword,1
nin,45551,21547,0.119289,7,17,False,suffix_fragment,add_stopword,1
siralarindan,33736,27779,0.15379,7,17,False,parliamentary_procedure,add_stopword,1
selamliyorum,20139,17915,0.099181,7,17,False,parliamentary_procedure,add_stopword,1
saygiyla,20117,17587,0.097365,7,17,False,parliamentary_procedure,add_stopword,1
kapatildi,16920,16765,0.092815,7,17,False,transcript_artifact,add_stopword,1
inci,10745,6669,0.036921,7,17,False,suffix_fragment,add_stopword,1
nci,10358,6420,0.035542,7,16,False,suffix_fragment,add_stopword,1
üncü,7149,4692,0.025976,7,15,False,suffix_fragment,add_stopword,1
den,6901,5205,0.028816,7,16,False,suffix_fragment,add_stopword,1
dan,6353,4572,0.025312,7,16,False,suffix_fragment,add_stopword,1
nun,5377,3869,0.02142,7,17,False,suffix_fragment,add_stopword,1
nda,4702,3108,0.017207,7,15,False,suffix_fragment,add_stopword,1
yla,3644,2652,0.014682,7,17,False,suffix_fragment,add_stopword,1
yle,3564,2730,0.015114,7,17,False,suffix_fragment,add_stopword,1
tür,3448,2717,0.015042,7,15,False,suffix_fragment,add_stopword,1
uncu,3378,2457,0.013602,6,15,False,suffix_fragment,add_stopword,1
nde,2679,2092,0.011582,7,15,False,suffix_fragment,add_stopword,1
dir,2334,1769,0.009794,7,16,False,suffix_fragment,add_stopword,1
çok,66263,28434,0.157417,7,17,False,generic_high_coverage,review_first,2
daha,59217,27215,0.150668,7,17,False,generic_high_coverage,review_first,2
ama,59047,28733,0.159072,7,17,False,generic_high_coverage,review_first,2
ki,57772,27337,0.151343,7,17,False,generic_high_coverage,review_first,2
kadar,45424,23250,0.128717,7,17,False,generic_high_coverage,review_first,2
yani,43508,21144,0.117058,7,17,False,generic_high_coverage,review_first,2
her,41607,21628,0.119737,7,17,False,generic_high_coverage,review_first,2
ben,40037,24940,0.138073,7,17,False,generic_high_coverage,review_first,2
en,39679,19450,0.107679,7,17,False,generic_high_coverage,review_first,2
ya,36731,21304,0.117943,7,17,False,generic_high_coverage,review_first,2
mi,35836,19501,0.107962,7,17,False,generic_high_coverage,review_first,2
tarafindan,33871,23398,0.129536,7,17,False,generic_high_coverage,review_first,2
bugün,29553,16203,0.089703,7,17,False,cross_party_generic,review_first,2
alkişlar,29551,25074,0.138815,7,17,False,generic_high_coverage,review_first,2
sonra,29494,17358,0.096098,7,17,False,generic_high_coverage,review_first,2
önce,29176,18437,0.102071,7,17,False,generic_high_coverage,review_first,2
olduğu,27198,15836,0.087671,7,17,False,cross_party_generic,review_first,2
bunun,26919,15985,0.088496,7,17,False,cross_party_generic,review_first,2
bütün,26456,15041,0.08327,7,17,False,cross_party_generic,review_first,2
şekilde,26002,15114,0.083674,7,17,False,cross_party_generic,review_first,2
önemli,25816,12911,0.071478,7,17,False,cross_party_generic,review_first,2
yine,25595,13538,0.074949,7,17,False,cross_party_generic,review_first,2
siz,24076,15828,0.087627,7,17,False,cross_party_generic,review_first,2
son,23864,14819,0.082041,7,17,False,cross_party_generic,review_first,2
in,23786,13698,0.075835,7,17,False,cross_party_generic,review_first,2
ifade,23718,13515,0.074822,7,17,False,cross_party_generic,review_first,2
ak,23561,16322,0.090362,7,17,False,generic_high_coverage,review_first,2
devam,23220,13673,0.075697,7,17,False,cross_party_generic,review_first,2
şey,22937,15497,0.085795,7,17,False,cross_party_generic,review_first,2
diye,22923,14444,0.079965,7,17,False,cross_party_generic,review_first,2
istiyorum,22674,15429,0.085418,7,17,False,cross_party_generic,review_first,2
türk,22316,9497,0.052577,7,17,False,cross_party_generic,review_first,2
bizim,21430,13438,0.074396,7,17,False,cross_party_generic,review_first,2
sadece,21197,13164,0.072879,7,17,False,cross_party_generic,review_first,2
bakin,21110,12928,0.071572,7,17,False,cross_party_generic,review_first,2
ayni,20640,12801,0.070869,7,17,False,cross_party_generic,review_first,2
göre,20318,12031,0.066606,7,17,False,cross_party_generic,review_first,2
hem,20016,7628,0.04223,7,17,False,cross_party_generic,review_first,2
yil,19837,11210,0.062061,7,17,False,cross_party_generic,review_first,2
yeni,19825,11054,0.061197,7,17,False,cross_party_generic,review_first,2
bin,19438,8818,0.048818,7,17,False,cross_party_generic,review_first,2
ancak,19079,11461,0.06345,7,17,False,cross_party_generic,review_first,2
anayasa,18897,7278,0.040293,7,16,False,cross_party_generic,review_first,2
karşi,18611,11055,0.061203,7,17,False,cross_party_generic,review_first,2
devlet,18559,10276,0.05689,7,17,False,cross_party_generic,review_first,2
nasil,18423,11364,0.062913,7,17,False,cross_party_generic,review_first,2
iki,17921,11661,0.064558,7,17,False,cross_party_generic,review_first,2
iş,17785,9114,0.050457,7,17,False,cross_party_generic,review_first,2
iyi,17571,11938,0.066091,7,17,False,cross_party_generic,review_first,2
diğer,17470,11092,0.061408,7,17,False,cross_party_generic,review_first,2
chp,17121,13532,0.074916,7,15,False,cross_party_generic,review_first,2
tüm,17094,10245,0.056718,7,17,False,cross_party_generic,review_first,2
özellikle,17079,9895,0.054781,7,17,False,cross_party_generic,review_first,2
tabii,16924,10162,0.056259,7,17,False,cross_party_generic,review_first,2
hiçbir,16876,11254,0.062305,7,17,False,cross_party_generic,review_first,2
çünkü,16806,11228,0.062161,7,17,False,cross_party_generic,review_first,2
kamu,16612,7012,0.03882,7,17,False,high_frequency_generic,review_first,2
yilinda,16499,8056,0.0446,7,17,False,cross_party_generic,review_first,2
içerisinde,15810,9327,0.051636,7,17,False,cross_party_generic,review_first,2
olduğunu,15748,10480,0.058019,7,17,False,cross_party_generic,review_first,2
milli,15721,7855,0.043487,7,17,False,cross_party_generic,review_first,2
arkadaşlarim,15607,6620,0.03665,7,13,False,high_frequency_generic,review_first,2
gün,14998,9845,0.054504,7,17,False,cross_party_generic,review_first,2
yapilan,14968,9641,0.053375,7,17,False,cross_party_generic,review_first,2
diyor,14804,9108,0.050424,7,17,False,cross_party_generic,review_first,2
doğru,14766,10187,0.056397,7,17,False,cross_party_generic,review_first,2
eğer,14538,9988,0.055296,7,17,False,cross_party_generic,review_first,2
akp,14418,7064,0.039108,7,14,False,high_frequency_generic,review_first,2
üzere,14214,9341,0.051714,7,17,False,cross_party_generic,review_first,2
eğitim,14188,5910,0.032719,7,17,False,high_frequency_generic,review_first,2
partisi,14182,9346,0.051741,7,16,False,cross_party_generic,review_first,2
başkanim,14023,13249,0.073349,7,16,False,cross_party_generic,review_first,2
sosyal,13978,7108,0.039351,7,17,False,high_frequency_generic,review_first,2
milyon,13971,6374,0.035288,7,17,False,high_frequency_generic,review_first,2
konuda,13961,9534,0.052782,7,17,False,cross_party_generic,review_first,2
siyasi,13950,7972,0.044135,7,17,False,cross_party_generic,review_first,2
adina,13864,9920,0.054919,7,17,False,cross_party_generic,review_first,2
