term,event_label,event_slug,event_month_requested,event_month_effective,event_kind,paper_role,pre_owner_party,post_owner_party,macro_pressure_pre,macro_pressure_shock,macro_pressure_post,macro_pressure_delta,econ_salience_pre,econ_salience_shock,econ_salience_post,econ_salience_delta,econ_salience_post_delta,spread_pre,spread_shock,spread_post,spread_delta,negative_edge_share_pre,negative_edge_share_shock,negative_edge_share_post,negative_edge_share_delta,signed_modularity_pre,signed_modularity_shock,signed_modularity_post,signed_modularity_delta,constitutional_share_pre,constitutional_share_shock,constitutional_share_post,constitutional_share_delta,constitutional_share_post_delta,security_share_pre,security_share_shock,security_share_post,security_share_delta,security_share_post_delta,top_attack_party,top_attack_balance,top_defense_party,top_defense_balance,top_owner_party,owner_shift,owner_persistence,owner_concentration_hhi_pre,owner_concentration_hhi_shock,owner_concentration_hhi_post,owner_concentration_hhi_delta,competing_gain_shock,competing_gain_post,displacement_index_shock,displacement_index_post,shock_to_post_persistence,displacement_persists,econ_salience_null_mean,econ_salience_null_std,econ_salience_null_p,spread_null_mean,spread_null_std,spread_null_p,constitutional_null_mean,constitutional_null_p,security_null_mean,security_null_p
22,2006 market turbulence,2006_market_turbulence,2006-05,2006-05,economic,support,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,-0.10272156252175789,1.1505500154514667,0.04273165487148541,1.2532715779732246,0.4116953942179369,0.2791777188328912,0.4043733164316273,-0.13251767538504566,-0.007322077786309555,1.001429982476031,3.6406803076917447,3.0092247230724154,2.6392503252157136,0.7072041220047598,0.770222806552556,0.666450821426569,0.06301868454779624,0.08903248320950562,0.644904461441012,0.3860597160131559,0.5558719782315064,0.08272029414114229,0.11571618037135278,0.10236095705910316,0.03299588623021049,0.019640662917960863,0.20437910016870955,0.34814323607427056,0.1605133893202345,0.143764135905561,-0.04386571084847504,Doğru Yol Partisi,-0.6785714285714286,Adalet ve Kalkınma Partisi,0.5347593582887701,Cumhuriyet Halk Partisi,False,False,0.31256319531285554,0.33448806991610297,0.25633960947710815,0.021924874603247435,0.1767600221357715,0.019640662917960863,0.30927769752081713,0.02696274070427042,-0.2823149568165467,True,0.030677847739970825,0.12582033681163565,0.4074074074074074,0.5554245527592875,1.0835415275161455,0.037037037037037035,-0.001068701398807008,0.5555555555555556,-0.009788185212606245,0.037037037037037035
22,E-memorandum,e_memorandum,2007-04,2007-04,control,control,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,-0.314627517349436,-0.2926535472234759,-0.40689503538971183,0.021973970125960085,0.3996687020989465,0.27468879668049795,0.1800085396879312,-0.12497990541844856,-0.2196601624110153,1.7985225671234875,3.7268827718924933,3.0620902589685066,1.9283602047690058,0.7136740201774735,0.7137691377226881,0.7361301635516158,9.511754521462912e-05,0.14030383372527985,0.4334922049319924,0.06169595462439165,0.2931883712067126,0.144221210007776,0.16846473029045644,0.310473749219715,0.024243520282680453,0.166252539211939,0.1272732714356076,0.16763485477178422,0.18370445558641685,0.04036158333617662,0.05643118415080925,Doğru Yol Partisi,-0.9473684210526315,Adalet ve Kalkınma Partisi,0.5660377358490566,Cumhuriyet Halk Partisi,True,True,0.31665580017749506,0.35194092788492254,0.39554333772088207,0.03528512770742748,0.06460510361885707,0.22268372336274825,0.18958500903730563,0.44234388577376355,0.2527588767364579,True,0.030677847739970825,0.12582033681163565,0.48148148148148145,0.5554245527592875,1.0835415275161455,0.1111111111111111,-0.001068701398807008,0.6296296296296297,-0.009788185212606245,0.4444444444444444
23,Global crisis reaction,global_crisis_reaction,2008-10,2008-10,economic,core,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,-0.1463983576639345,1.3109355767833046,-0.29092649539226767,1.4573339344472391,0.2967335694608422,0.4730229120473023,0.5659311439782879,0.17628934258646012,0.26919757451744575,0.862448807149071,1.5073882024177871,1.2517774324184363,0.6449393952687161,0.695019257437818,0.8487125243931981,0.9761255304171434,0.1536932669553801,-0.02035874930409204,-0.17707308325501686,0.27603812927005345,-0.15671433395092482,0.13852813852813853,0.07686622320768663,0.085227605147696,-0.0616619153204519,-0.05330053338044252,0.11648957103502558,0.24390243902439024,0.06483849613601099,0.12741286798936466,-0.05165107489901459,Bağımsız,-0.40714285714285714,Adalet ve Kalkınma Partisi,0.0784313725490196,Adalet ve Kalkınma Partisi,True,True,0.2577060276227934,0.2607177734375,0.25686832373891283,0.0030117458147066456,0.12741286798936466,0.0,-0.04887647459709546,-0.26919757451744575,-0.2203210999203503,False,-0.11298171695672606,0.10017061357130476,0.25,0.030354922721639994,1.3926125291911027,0.5833333333333334,0.05708077871811521,0.4166666666666667,0.014528548570855957,0.3333333333333333
23,Referendum aftermath,referendum_aftermath,2010-10,2010-10,control,support,Milliyetçi Hareket Partisi,Adalet ve Kalkınma Partisi,-0.42263041324184975,-0.37330587616363314,0.12481594409252054,0.0493245370782166,0.3657630894912737,0.3370165745856354,0.322828843556928,-0.028746514905638287,-0.042934245934345694,2.147796992653596,1.1050776794816208,2.276972198625756,-1.042719313171975,0.8370167021392594,0.9418025761780632,0.8030819995099594,0.1047858740388038,0.18924490261770122,0.8578474641846365,0.22753792347254356,0.6686025615669353,0.1656145562569625,0.1569060773480663,0.10173218853133026,-0.0087084789088962,-0.06388236772563224,0.15633122911251393,0.056353591160221,0.07846533262556084,-0.09997763795229293,-0.07786589648695309,Bağımsız,0.09375,Adalet ve Kalkınma Partisi,0.410958904109589,Cumhuriyet Halk Partisi,True,False,0.2874456955860754,0.2690137059930126,0.28017685462038344,-0.018431989593062803,0.0,0.0,0.028746514905638287,0.042934245934345694,0.014187731028707407,True,-0.11298171695672606,0.10017061357130476,0.8333333333333334,0.030354922721639994,1.3926125291911027,0.3333333333333333,0.05708077871811521,0.9166666666666666,0.014528548570855957,0.5
24,17-25 December rupture,17_25_december_rupture,2013-12,2013-12,mixed,support,Adalet ve Kalkınma Partisi,Milliyetçi Hareket Partisi,-0.25823540612978046,0.391908913373673,0.05327907889808736,0.6501443195034535,0.24685446558216229,0.34449835655032085,0.1191135290148448,0.09764389096815856,-0.1277409365673175,2.3353448035903597,1.8818097536645535,2.3118617512378647,-0.4535350499258062,0.7822533745856705,0.8248174114560687,0.7266363067109523,0.042564036870398225,0.4148746459861741,-0.3612529796679051,0.0706922542688434,-0.7761276256540792,0.11318694164841386,0.11519799655658162,0.13147781713900134,0.0020110549081677614,0.01829087549058747,0.19535845248935593,0.11065894506182501,0.09452893049932524,-0.08469950742753092,-0.10082952199003069,Milliyetçi Hareket Partisi,-0.14112903225806453,Adalet ve Kalkınma Partisi,0.5615141955835962,Adalet ve Kalkınma Partisi,False,False,0.2961202060800139,0.36716262753640755,0.31771545634519543,0.07104242145639367,0.0020110549081677614,0.01829087549058747,-0.0956328360599908,0.14603181205790497,0.2416646481178958,False,-0.010114431600934408,0.09804953716741799,0.36363636363636365,0.5055981627438564,1.0286167259799435,0.8181818181818182,-0.0024823972694574107,0.9545454545454546,0.007470371453450441,0.2727272727272727
25,Pre-November election macro reset,pre_november_election_macro_reset,2015-10,2015-10,economic,support,Adalet ve Kalkınma Partisi,,0.09732390721228103,-0.5101975334091468,0.07385644817260038,-0.6075214406214278,0.0691273735865159,0.20652173913043478,,0.13739436554391887,,2.299567520557454,0.0,,-2.299567520557454,0.6666666666666666,,,,-0.375,,,,0.08747599743972691,0.1358695652173913,,0.04839356777766439,,0.5513388094730105,0.358695652173913,,-0.19264315729909748,,Adalet ve Kalkınma Partisi,0.5,Adalet ve Kalkınma Partisi,0.5,Adalet ve Kalkınma Partisi,False,False,0.7448979591836733,1.0,,0.2551020408163267,0.04839356777766439,,-0.08900079776625448,,,False,,,,,,,,,,
26,15 July / OHAL shock,15_july___ohal_shock,2016-07,2016-07,control,control,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,-0.0735758730433768,0.10875692538661427,-0.11182461744989323,0.18233279842999106,0.13330683823947403,0.193687707641196,0.23678633033295005,0.060380869401721965,0.10347949209347601,2.715366901571292,2.7665446430768665,1.4580839465794644,0.05117774150557475,0.652094277574937,0.7352562552605539,0.7787263354669481,0.08316197768561695,0.32397627521035055,0.7109411224153617,0.35080752636871776,0.3869648472050111,0.14648728853566162,0.07508305647840531,0.09341031253573909,-0.07140423205725631,-0.05307697599992253,0.2814150992292623,0.23388704318936876,0.2579270936117812,-0.04752805603989352,-0.0234880056174811,İYİ Parti,-0.5,Adalet ve Kalkınma Partisi,0.3468208092485549,Milliyetçi Hareket Partisi,True,False,0.26015254168526103,0.25865797363256826,0.2612279157530781,-0.0014945680526927685,0.0,0.0,-0.060380869401721965,-0.10347949209347601,-0.043098622691754046,False,-0.03676847961483509,0.11630679772184624,0.7,-0.5671401266177,1.1769954325586927,1.0,0.04593837142469733,0.3,-0.011062901859914376,0.6
27,Albayrak resignation,albayrak_resignation,2020-11,2020-11,economic_governance,core,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,0.2785982755022591,-0.04363365631266802,-0.14792102478830874,-0.3222319318149271,0.2769971898835809,0.3764183522446966,0.33623474525302943,0.0994211623611157,0.059237555369448525,3.946603065121744,3.192668356603856,4.4231428072594365,-0.753934708517888,0.6225488143043727,0.6713133225885979,0.5868373588194018,0.04876450828422518,0.08438719900404316,0.8483094806603692,0.38971860906553274,0.763922281656326,0.2051384985949418,0.11938825851011346,0.08838267727594885,-0.08575024008482833,-0.11675582131899294,0.17784022480931352,0.16773556980759743,0.21548232317508934,-0.01010465500171609,0.03764209836577581,Cumhuriyet Halk Partisi,-0.5205479452054794,Demokrat Parti,0.5,Cumhuriyet Halk Partisi,False,True,0.22952741020793954,0.24946879686139248,0.2006000449095197,0.019941386653452936,0.0,0.03764209836577581,-0.0994211623611157,-0.021595457003672713,0.07782570535744299,False,-0.012263836676191148,0.09374340539701995,0.18181818181818182,-0.09920122775787571,1.0519431932036676,0.6363636363636364,0.011598097241943823,0.09090909090909091,-0.005186630486362975,0.8181818181818182
27,FX crisis,fx_crisis,2022-01,2022-01,economic,core,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,0.24364371388754524,0.29349281136745076,0.5673730859596363,0.04984909747990551,0.47789940130830894,0.6563173781802502,0.4208579762245653,0.17841797687194122,-0.05704142508374366,5.402257325314419,4.906141606597679,2.6557497662729075,-0.49611571871674,0.6139867630777468,0.6252341188274937,0.6415553042211345,0.01124735574974689,0.6635721458415328,0.2567093970672971,0.33870373150157407,-0.40686274877423567,0.08086964489734759,0.12634756360500216,0.12000484382418032,0.045477918707654566,0.03913519892683273,0.14399963121266143,0.06942647692971109,0.14909382243953323,-0.07457315428295035,0.005094191226871797,Halkların Demokratik Partisi,-0.7034883720930233,Milliyetçi Hareket Partisi,0.5842696629213483,İYİ Parti,True,False,0.21750473751179414,0.24746641893490304,0.24138047125403722,0.0299616814231089,0.045477918707654566,0.04422939015370453,-0.13294005816428667,0.10127081523744819,0.23421087340173485,False,-0.03133201803100439,0.07527986263930422,0.1,-0.059509778661989275,1.0954055903890743,0.9,0.008210115095372747,0.4,0.0017520218932957632,0.2
28,Simsek return,simsek_return,2023-06,2023-06,economic_governance,core,,Cumhuriyet Halk Partisi,0.5401037497964528,2.052898240546096,1.0661940245233135,1.5127944907496431,,0.23429541595925296,0.45179717401939623,,,,4.3801286105856265,6.510826302344975,,,0.7656913739626633,0.6512009891478927,,,-0.10207073350396895,0.796278591032324,,,0.2733446519524618,0.1516734294512072,,,,0.11035653650254669,0.09260698149587038,,,Halkların Eşitlik ve Demokrasi Partisi,-0.9090909090909091,Adalet ve Kalkınma Partisi,0.625,Cumhuriyet Halk Partisi,False,True,,0.3103339634530561,0.20100058804038395,,,,,,,False,-0.02872251235010126,0.1043671420296729,,0.7455276754145206,1.1229429106796636,,-0.00016669286251402987,,-0.003031067747001598,
