party,n_terms,first_term,last_term,first_center,last_center,net_drift,mean_center,std_center,min_center,max_center
Adalet ve Kalkınma Partisi,7,22,28,1.0281360825355272,1.5786069184769684,0.5504708359414412,1.334223216575658,0.2905753828586223,0.841052995395444,1.700602891947024
Bağımsız,6,22,28,-0.10712014163726793,0.4768087912348433,0.5839289328721112,-0.07123067038088264,0.36842786687021656,-0.581000102283042,0.4768087912348433
Cumhuriyet Halk Partisi,6,22,28,0.25735710660277666,-1.131062177791884,-1.3884192843946606,-0.4295370285342459,0.574423950532013,-1.2927806051375497,0.25735710660277666
Milliyetçi Hareket Partisi,6,23,28,-0.20444073085479259,1.887034541651301,2.0914752725060937,0.19589897891165642,0.8882102120660914,-0.9010849970828811,1.887034541651301
Halkların Demokratik Partisi,4,24,27,-0.4616686033375117,-1.9237111746742892,-1.4620425713367775,-0.6060228558062577,0.8459526529847753,-1.9237111746742892,0.43728763392939385
Saadet Partisi,3,26,28,-0.12766455650978903,0.18576408996163812,0.31342864647142715,0.0075788459005091124,0.13151015279057732,-0.12766455650978903,0.18576408996163812
İYİ Parti,3,26,28,-0.12766455650978903,-1.0001608353827964,-0.8724962788730074,-0.5697938983433922,0.35629220665695,-1.0001608353827964,-0.12766455650978903
Demokratik Sol Parti,2,23,28,0.23786770573432314,-0.007408882511300757,-0.2452765882456239,0.11522941161151119,0.12263829412281195,-0.007408882511300757,0.23786770573432314
Türkiye İşçi Partisi,2,27,28,-0.845019355595837,0.6400234878958431,1.48504284349168,-0.10249793384999695,0.74252142174584,-0.845019355595837,0.6400234878958431
Anavatan Partisi,1,22,22,0.2536864055481278,0.2536864055481278,0.0,0.2536864055481278,0.0,0.2536864055481278,0.2536864055481278
Büyük Birlik Partisi,1,27,27,0.9266009539713593,0.9266009539713593,0.0,0.9266009539713593,0.0,0.9266009539713593,0.9266009539713593
DEM Parti,1,28,28,-1.1681065895382265,-1.1681065895382265,0.0,-1.1681065895382265,0.0,-1.1681065895382265,-1.1681065895382265
Demokrat Parti,1,27,27,-0.6354588782762111,-0.6354588782762111,0.0,-0.6354588782762111,0.0,-0.6354588782762111,-0.6354588782762111
Doğru Yol Partisi,1,22,22,-0.5674587319065971,-0.5674587319065971,0.0,-0.5674587319065971,0.0,-0.5674587319065971,-0.5674587319065971
Halkların Eşitlik ve Demokrasi Partisi,1,28,28,-1.241523933762418,-1.241523933762418,0.0,-1.241523933762418,0.0,-1.241523933762418,-1.241523933762418
YENİ YOL Partisi,1,28,28,-0.8009226613498321,-0.8009226613498321,0.0,-0.8009226613498321,0.0,-0.8009226613498321,-0.8009226613498321
Yeniden Refah Partisi,1,28,28,0.19390711875319808,0.19390711875319808,0.0,0.19390711875319808,0.0,0.19390711875319808,0.19390711875319808
