term,year,party,position
22,2002,Adalet ve Kalkınma Partisi,0.496910450320225
22,2002,Anavatan Partisi,1.0193782329486776
22,2002,Bağımsız,-2.6973400080533576
22,2002,Cumhuriyet Halk Partisi,-0.250572967148854
22,2002,Doğru Yol Partisi,-0.12766455650978903
22,2003,Adalet ve Kalkınma Partisi,0.721478599370182
22,2003,Anavatan Partisi,-0.22440439066782542
22,2003,Bağımsız,0.8392815133762621
22,2003,Cumhuriyet Halk Partisi,0.23440367751464297
22,2003,Doğru Yol Partisi,0.8889603829174173
22,2004,Adalet ve Kalkınma Partisi,1.3013163014395484
22,2004,Anavatan Partisi,0.6805988484142917
22,2004,Bağımsız,1.9307349550124293
22,2004,Cumhuriyet Halk Partisi,0.5902069782056497
22,2004,Doğru Yol Partisi,1.0292893257734368
22,2005,Adalet ve Kalkınma Partisi,1.2048234940168911
22,2005,Anavatan Partisi,-0.17322603731803615
22,2005,Bağımsız,-1.3116453160876533
22,2005,Cumhuriyet Halk Partisi,0.003150764980358531
22,2005,Doğru Yol Partisi,-1.7014562985446968
22,2006,Adalet ve Kalkınma Partisi,0.8514486710541633
22,2006,Anavatan Partisi,0.6840370247151164
22,2006,Bağımsız,0.17739606582588713
22,2006,Cumhuriyet Halk Partisi,0.6155040001251482
22,2006,Doğru Yol Partisi,-1.007252907303405
22,2007,Adalet ve Kalkınma Partisi,1.3221123752693145
22,2007,Anavatan Partisi,-0.5772809445024272
22,2007,Bağımsız,-0.391636349100423
22,2007,Cumhuriyet Halk Partisi,0.28031053569091036
22,2007,Doğru Yol Partisi,-2.425838635280008
23,2007,Adalet ve Kalkınma Partisi,1.656143811827168
23,2007,Bağımsız,0.11007125949547159
23,2007,Cumhuriyet Halk Partisi,0.1429382390846948
23,2007,Demokratik Sol Parti,-0.12766455650978903
23,2007,Milliyetçi Hareket Partisi,0.038497452642430666
23,2008,Adalet ve Kalkınma Partisi,0.9414610540795956
23,2008,Bağımsız,-0.4561769973360783
23,2008,Cumhuriyet Halk Partisi,-0.4204953919506767
23,2008,Demokratik Sol Parti,0.6910261669917946
23,2008,Milliyetçi Hareket Partisi,-0.33839494841325246
23,2009,Adalet ve Kalkınma Partisi,0.4828113888442221
23,2009,Bağımsız,-0.6425450800478059
23,2009,Cumhuriyet Halk Partisi,-1.4479027236005222
23,2009,Demokratik Sol Parti,-1.0723981784008068
23,2009,Milliyetçi Hareket Partisi,-1.1845826031440905
23,2010,Adalet ve Kalkınma Partisi,0.841052995395444
23,2010,Bağımsız,-0.581000102283042
23,2010,Cumhuriyet Halk Partisi,-0.04916012767973857
23,2010,Demokratik Sol Parti,0.23786770573432314
23,2010,Milliyetçi Hareket Partisi,-0.20444073085479259
23,2011,Adalet ve Kalkınma Partisi,0.3387739726868204
23,2011,Bağımsız,-0.7055258206411764
23,2011,Cumhuriyet Halk Partisi,-0.026308709013172338
23,2011,Demokratik Sol Parti,1.4783826007049408
23,2011,Milliyetçi Hareket Partisi,-0.0641122698639724
24,2011,Adalet ve Kalkınma Partisi,1.2879969494071204
24,2011,Bağımsız,-1.4217018183694277
24,2011,Cumhuriyet Halk Partisi,-0.08341773011740866
24,2011,Halkların Demokratik Partisi,-1.1770117174104293
24,2011,Milliyetçi Hareket Partisi,0.21254569849131322
24,2012,Adalet ve Kalkınma Partisi,1.2482037459322184
24,2012,Bağımsız,-0.0457806986987845
24,2012,Cumhuriyet Halk Partisi,-0.14771155454673762
24,2012,Halkların Demokratik Partisi,-0.4616686033375117
24,2012,Milliyetçi Hareket Partisi,0.023302077256879283
24,2013,Adalet ve Kalkınma Partisi,1.267349617750719
24,2013,Bağımsız,0.5186549546917294
24,2013,Cumhuriyet Halk Partisi,0.14201230960412248
24,2013,Halkların Demokratik Partisi,0.5403838073393107
24,2013,Milliyetçi Hareket Partisi,-0.25942517592307746
24,2014,Adalet ve Kalkınma Partisi,1.4089746775062126
24,2014,Bağımsız,-0.39654525772238103
24,2014,Cumhuriyet Halk Partisi,-0.2917875077353362
24,2014,Halkların Demokratik Partisi,-0.9532878693557718
24,2014,Milliyetçi Hareket Partisi,-0.48412244656505654
24,2015,Adalet ve Kalkınma Partisi,1.6505590986814664
24,2015,Bağımsız,-1.140768936712259
24,2015,Cumhuriyet Halk Partisi,-1.2556435513634505
24,2015,Halkların Demokratik Partisi,0.3469723291635953
24,2015,Milliyetçi Hareket Partisi,-0.6711296017622741
25,2015,Adalet ve Kalkınma Partisi,1.700602891947024
25,2015,Halkların Demokratik Partisi,0.43728763392939385
25,2015,Milliyetçi Hareket Partisi,-0.9010849970828811
26,2015,Adalet ve Kalkınma Partisi,1.6883222253909755
26,2015,Cumhuriyet Halk Partisi,-0.35078382349071463
26,2015,Halkların Demokratik Partisi,-0.47449954058301447
26,2015,Milliyetçi Hareket Partisi,0.05097347715751504
26,2016,Adalet ve Kalkınma Partisi,1.4963217064038727
26,2016,Cumhuriyet Halk Partisi,-0.08016123058460156
26,2016,Halkların Demokratik Partisi,-0.5473158594121612
26,2016,Milliyetçi Hareket Partisi,-0.044637485133596305
26,2016,Saadet Partisi,-1.2956988526659565
26,2016,İYİ Parti,0.9520310113656597
26,2017,Adalet ve Kalkınma Partisi,1.6182427991334563
26,2017,Bağımsız,-0.12766455650978903
26,2017,Cumhuriyet Halk Partisi,-0.3475683947200826
26,2017,Halkların Demokratik Partisi,-0.4774990177022326
26,2017,Milliyetçi Hareket Partisi,-0.0608861843855443
26,2017,Saadet Partisi,1.4783826007049408
26,2017,İYİ Parti,-0.12766455650978903
26,2018,Adalet ve Kalkınma Partisi,1.5318694050702255
26,2018,Cumhuriyet Halk Partisi,-0.06868304527748272
26,2018,Halkların Demokratik Partisi,-0.14840028574920738
26,2018,Milliyetçi Hareket Partisi,-0.03472498214904199
26,2018,Saadet Partisi,-0.12766455650978903
26,2018,İYİ Parti,-0.2707787064430264
27,2018,Adalet ve Kalkınma Partisi,1.4983070048860885
27,2018,Bağımsız,-2.5272097019182564
27,2018,Büyük Birlik Partisi,0.9266009539713593
27,2018,Cumhuriyet Halk Partisi,-1.8208798012476664
27,2018,Demokrat Parti,-0.8501764886478695
27,2018,Halkların Demokratik Partisi,-1.7753299363973385
27,2018,Milliyetçi Hareket Partisi,0.46548492820641596
27,2018,Saadet Partisi,1.5783968615077215
27,2018,Türkiye İşçi Partisi,-1.932990335261361
27,2018,İYİ Parti,-0.6399525598433278
27,2019,Adalet ve Kalkınma Partisi,1.496684587524102
27,2019,Bağımsız,1.9577169252988211
27,2019,Büyük Birlik Partisi,0.2353372701375011
