speech_id,transcript_id,date,year,month,month_date,speaker,source_party,source_party_short,source_bloc,target_party,target_party_short,target_bloc,mention_count,beme_positive_hits,beme_negative_hits,relation_weight,beme_score,beme_label,topic_category,topic_label,positive_weight,negative_weight,net_weight
term_22_directed_000008,10005,2003-07-01,2003,7,2003-07-01,Abdulaziz Yazar,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,3,0,2.05,0.75,positive,general,General,1.5375,0.0,1.5375
term_22_directed_000012,10005,2003-07-01,2003,7,2003-07-01,Mustafa Özyürek,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,1,1,3.7,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000016,10005,2003-07-01,2003,7,2003-07-01,Şükrü Elekdağ,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000017,10005,2003-07-01,2003,7,2003-07-01,Haluk İpek,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000018,10005,2003-07-01,2003,7,2003-07-01,Haluk İpek,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,1,1,0,1.35,0.5,positive,general,General,0.675,0.0,0.675
term_22_directed_000023,10005,2003-07-01,2003,7,2003-07-01,Nurettin Sözen,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,democratic_reform,Reform,0.0,0.0,0.0
term_22_directed_000028,10005,2003-07-01,2003,7,2003-07-01,Recep Akdağ,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000031,10005,2003-07-01,2003,7,2003-07-01,Mustafa Özyurt,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,constitutional_conflict,Constitution,0.0,0.0,0.0
term_22_directed_000032,10005,2003-07-01,2003,7,2003-07-01,Mehmet Uğur Neşşar,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,5,2,2,6.4,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000041,10005,2003-07-01,2003,7,2003-07-01,CHP GRUBU ADINA MUZAFFER R. KURTULMUŞOĞLU,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,1,1.35,-0.5,negative,general,General,0.0,0.675,-0.675
term_22_directed_000042,10005,2003-07-01,2003,7,2003-07-01,Mehmet Fehmi Uyanık,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000048,10005,2003-07-01,2003,7,2003-07-01,Nurettin Sözen,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,4,0,0,4.0,0.0,mixed,democratic_reform,Reform,0.0,0.0,0.0
term_22_directed_000053,10005,2003-07-01,2003,7,2003-07-01,Nurettin Sözen,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000055,10005,2003-07-01,2003,7,2003-07-01,Nurettin Sözen,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000060,10005,2003-07-01,2003,7,2003-07-01,Enver Öktem,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,2,0,2.7,0.6667,positive,general,General,1.80009,0.0,1.80009
term_22_directed_000066,10025,2003-07-01,2003,7,2003-07-01,Berhan Şimşek,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,1,0,2.35,0.5,positive,general,General,1.175,0.0,1.175
term_22_directed_000067,10025,2003-07-01,2003,7,2003-07-01,Berhan Şimşek,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,1,0,2.35,0.5,positive,general,General,1.175,0.0,1.175
term_22_directed_000068,10025,2003-07-01,2003,7,2003-07-01,Berhan Şimşek,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,macro_economy,Economy,0.0,0.0,0.0
term_22_directed_000085,10025,2003-07-01,2003,7,2003-07-01,Orhan Eraslan,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,0,0,2.0,0.0,mixed,democratic_reform,Reform,0.0,0.0,0.0
term_22_directed_000096,10045,2003-07-01,2003,7,2003-07-01,Muharrem İnce,Cumhuriyet Halk Partisi,CHP,opposition,Doğru Yol Partisi,DYP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000098,10045,2003-07-01,2003,7,2003-07-01,Hüseyin Çelik,Adalet ve Kalkınma Partisi,AK Party,government,Doğru Yol Partisi,DYP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000099,10045,2003-07-01,2003,7,2003-07-01,Hüseyin Çelik,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,2,0,0,2.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000114,10045,2003-07-01,2003,7,2003-07-01,Haluk Koç,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,0,2,3.7,-0.6667,negative,macro_economy,Economy,0.0,2.46679,-2.46679
term_22_directed_000118,10045,2003-07-01,2003,7,2003-07-01,Atilla Kart,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,1,0,1.35,0.5,positive,macro_economy,Economy,0.675,0.0,0.675
term_22_directed_000126,10045,2003-07-01,2003,7,2003-07-01,Naci Aslan,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,2,4,0,3.4,0.8,positive,general,General,2.72,0.0,2.72
term_22_directed_000136,10045,2003-07-01,2003,7,2003-07-01,Oya Araslı,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,1,0,3.35,0.5,positive,democratic_reform,Reform,1.675,0.0,1.675
term_22_directed_000142,10045,2003-07-01,2003,7,2003-07-01,Feridun Fikret Baloğlu,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000144,10045,2003-07-01,2003,7,2003-07-01,Mehmet Ziya Yergök,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,macro_economy,Economy,0.0,0.0,0.0
term_22_directed_000146,10065,2003-07-01,2003,7,2003-07-01,Ufuk Özkan,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,6,1,1,6.7,0.0,mixed,macro_economy,Economy,0.0,0.0,0.0
term_22_directed_000164,10065,2003-07-01,2003,7,2003-07-01,İzzet Çetin,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,2,1.7,-0.6667,negative,general,General,0.0,1.13339,-1.13339
term_22_directed_000165,10065,2003-07-01,2003,7,2003-07-01,İzzet Çetin,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_000167,10065,2003-07-01,2003,7,2003-07-01,Akif Hamzaçebi,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,3,6,6.15,-0.3,negative,security_conflict,Security,0.0,1.845,-1.845
