party,party_short,layer,weighted_out_degree,weighted_in_degree,betweenness_centrality,closeness_centrality,pagerank
Cumhuriyet Halk Partisi,CHP,total,17829.2,3094.25,0.0,1292.5763166742731,0.3602151287292503
Adalet ve Kalkınma Partisi,AK Party,total,3506.55,21362.25,1.0,2345.6653503302005,0.4694539076222578
Anavatan Partisi,ANAP,total,2763.6,881.1999999999999,0.0,537.0524403719024,0.1150904496955309
Doğru Yol Partisi,DYP,total,1473.55,235.2,0.0,134.3018990564335,0.0552405139529605
Cumhuriyet Halk Partisi,CHP,positive,2437.123305,351.455965,0.0,156.64179809279602,0.3345560671674836
Adalet ve Kalkınma Partisi,AK Party,positive,418.25484,2971.06048,1.0,316.6596166568894,0.4680817790221858
Anavatan Partisi,ANAP,positive,430.94227,129.405345,0.0,78.97662431100588,0.1351865043466647
Doğru Yol Partisi,DYP,positive,200.942985,35.34161,0.0,23.52234456234422,0.0621756494636659
Cumhuriyet Halk Partisi,CHP,negative,3308.504365,307.284155,0.3333333333333333,157.47288591478272,0.3606941637480685
Adalet ve Kalkınma Partisi,AK Party,negative,347.437475,3877.121945,0.8333333333333333,359.90207018173646,0.4743924816836681
Anavatan Partisi,ANAP,negative,428.39642,87.15393,0.0,61.342913869824706,0.1201823882634899
Doğru Yol Partisi,DYP,negative,201.23864,14.01687,0.0,7.305670317416934,0.0447309663047734
