concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer
Ekonomi,46805.55,0.4204652366374936,0.16363636363636364,0.3895095600820694,macro_economy,total
Hukuk Devleti,30475.15,0.3769358059245708,0.0,0.07092967213705127,democratic_reform,total
Anayasa,19352.149999999998,0.3903441422040851,0.18181818181818182,0.07353372737599398,constitutional_conflict,total
Guvenlik,17715.95,0.5195549862901693,0.0,0.417000647992587,security_conflict,total
Demokrasi,11146.9,0.4961254828035528,0.3818181818181818,0.12812078723802517,democratic_reform,total
Avrupa Birligi,8898.0,0.5197715683977746,0.0,0.41695791951795563,democratic_reform,total
Faiz,7159.15,0.5201305802474737,0.32727272727272727,0.41682091427326934,macro_economy,total
Reform,5532.5,0.312196549412965,0.0,0.16719933841643042,democratic_reform,total
Enflasyon,3372.5499999999997,0.4197104819819754,0.0,0.38852129311004036,macro_economy,total
IMF,2839.4500000000003,0.2841533278215162,0.0,0.015100849477797362,macro_economy,total
Vesayet,588.7,0.49527930209281024,0.0,0.1277959888092817,constitutional_conflict,total
Egemenlik,551.8499999999999,0.5742578808336393,0.5454545454545454,0.3232363732670539,security_conflict,total
Ekonomi,14258.098635000002,0.43175150257831585,0.0,0.4025886472442207,macro_economy,positive
Hukuk Devleti,7069.9875250000005,0.4901056316117651,0.32727272727272727,0.07803292048672163,democratic_reform,positive
Anayasa,3694.7396299999996,0.4503148585487846,0.0,0.07558514947943726,constitutional_conflict,positive
Demokrasi,3211.5197200000002,0.450394918744488,0.0,0.07560789611335969,democratic_reform,positive
Avrupa Birligi,3017.67752,0.5663941947615394,0.34545454545454546,0.4380926765870826,democratic_reform,positive
Guvenlik,2594.1945800000003,0.431905872737456,0.0,0.40234971983072043,security_conflict,positive
Reform,1285.7561999999998,0.414764814662872,0.0,0.3379953267283547,democratic_reform,positive
Faiz,1196.0476199999998,0.5388256817835892,0.10909090909090909,0.3796363200970339,macro_economy,positive
Enflasyon,743.510165,0.4320250368396028,0.0,0.4027875724913285,macro_economy,positive
IMF,379.508335,0.3553723061158292,0.18181818181818182,0.015740195644182792,macro_economy,positive
Egemenlik,112.292765,0.5974014167218004,0.5454545454545454,0.21385523755038294,security_conflict,positive
Vesayet,2.4974999999999996,0.2625865269868576,0.0,0.00297724027256025,constitutional_conflict,positive
Ekonomi,6124.959964999999,0.5735295711211681,0.2909090909090909,0.4238470618094533,macro_economy,negative
Hukuk Devleti,4362.601625,0.4733431095024049,0.0,0.08095556447183004,democratic_reform,negative
Guvenlik,3707.80602,0.6036731018398204,0.12727272727272726,0.4651393630118687,security_conflict,negative
Anayasa,2516.6257100000003,0.36358952141707945,0.18181818181818182,0.0345941124268754,constitutional_conflict,negative
Demokrasi,1023.7091150000001,0.4731450679326575,0.2909090909090909,0.08088900160978092,democratic_reform,negative
Faiz,1010.503915,0.47411171519236045,0.05454545454545454,0.4177730193171968,macro_economy,negative
Avrupa Birligi,611.442265,0.5184334533535965,0.0,0.3240102501290673,democratic_reform,negative
IMF,551.5039800000001,0.2692261607149292,0.0,0.00671961982814831,macro_economy,negative
Reform,485.570885,0.43611273029388536,0.0,0.3179490267736073,democratic_reform,negative
Enflasyon,403.456,0.41799684466433773,0.0,0.2449056708429118,macro_economy,negative
Vesayet,356.25354000000004,0.418482833076115,0.0,0.2655672016429206,constitutional_conflict,negative
Egemenlik,68.887745,0.6042910413271703,0.509090909090909,0.2802624726625535,security_conflict,negative
