,opposition_speeches_per_active_speaker,economy_negative_share,inflation_negative_share,reform_positive_share,crisis_negative_share,gov_opp_cosine_distance_total,gov_opp_cosine_distance_negative,total_party_bloc_assortativity,democracy_positive_betweenness_centrality,constitution_negative_betweenness_centrality,financial_stress_index,macro_volatility_index,usd_return,bist_return,inflation_yoy,lead1_financial_stress_index,lead1_bist_return
opposition_speeches_per_active_speaker,1.0,-0.25821175002760866,-0.28694123057071264,-0.13067741206276828,0.06571996184989441,-0.29042373971708885,-0.21839140308181745,0.37712286174330856,-0.0719481000621084,-0.0806822228323525,-0.17772775068910618,-0.13080592175104078,-0.06275068816049495,-0.1142677405796681,-0.24760914662137376,-0.37924896689702703,0.2504003058865747
economy_negative_share,-0.25821175002760866,1.0,0.1883062693145553,-0.04016549349710799,-0.3572201327003956,0.053562783773581014,-0.1904435157469857,-0.11744566196926551,0.021942590312322124,0.008617284493036323,0.3299554148853126,0.1276727232346038,0.08732304744259585,-0.11643882314335224,0.4505184104149222,0.417120258015531,-0.12328312551250427
inflation_negative_share,-0.28694123057071264,0.1883062693145553,1.0,-0.09403521851115182,-0.26699385947358384,0.061047398602357916,0.12146129304156189,-0.10200715241972384,-0.072784354798456,-0.03196015379430819,0.03575114272498304,0.08971457297798825,-0.028054630875000736,-0.06784410501538195,0.09447006585787046,0.08465665805670686,0.049051066756787935
reform_positive_share,-0.13067741206276828,-0.04016549349710799,-0.09403521851115182,1.0,-0.41896075178951897,0.20742909523745393,0.053533036556101005,-0.09134171371772343,0.2959260320757588,-0.02902478439664845,-0.007353993741776574,-0.1798483694415581,-0.25746246525037075,0.2594952279355727,0.21621030603846297,0.27574967132047673,-0.13499394206014337
crisis_negative_share,0.06571996184989441,-0.3572201327003956,-0.26699385947358384,-0.41896075178951897,1.0,-0.018801528940787127,-0.00190825316114146,-0.05646982981995029,-0.01589504233911719,0.11332332500777813,-0.17448630623851993,-0.10254962386763107,0.012139698011273209,0.06430631286399463,-0.280995830586075,-0.20552483102363528,-0.007468503176555313
gov_opp_cosine_distance_total,-0.29042373971708885,0.053562783773581014,0.061047398602357916,0.20742909523745393,-0.018801528940787127,1.0,0.4013611870308821,-0.24775094510834128,0.1201101470002432,0.1281568925779084,-0.16890214667905007,-0.1725618677357486,-0.15251494080206346,0.32589358168206206,0.15796836293984817,0.24773360114959164,-0.21525719177630528
gov_opp_cosine_distance_negative,-0.21839140308181745,-0.1904435157469857,0.12146129304156189,0.053533036556101005,-0.00190825316114146,0.4013611870308821,1.0,-0.13143259307697036,-0.14285427401405448,0.31491550601027485,-0.240635385032966,-0.1371212333453418,-0.04586898012889924,0.21289682586738867,-0.21970391836559267,-0.029002762602134406,-0.09426721023079641
total_party_bloc_assortativity,0.37712286174330856,-0.11744566196926551,-0.10200715241972384,-0.09134171371772343,-0.05646982981995029,-0.24775094510834128,-0.13143259307697036,1.0,0.05140968530430343,-0.1401684324665878,-0.21876193445227549,-0.07314636259111651,-0.029592466906889464,-0.0818955767079367,-0.21689484180450952,-0.2884915166593811,0.23761203928134042
democracy_positive_betweenness_centrality,-0.0719481000621084,0.021942590312322124,-0.072784354798456,0.2959260320757588,-0.01589504233911719,0.1201101470002432,-0.14285427401405448,0.05140968530430343,1.0,0.08752329545856594,0.1482411987203468,0.14995767970910945,-0.009974956642186297,-0.1075086456130588,0.08564493609761847,0.07929667878370372,0.1209478923752696
constitution_negative_betweenness_centrality,-0.0806822228323525,0.008617284493036323,-0.03196015379430819,-0.02902478439664845,0.11332332500777813,0.1281568925779084,0.31491550601027485,-0.1401684324665878,0.08752329545856594,1.0,0.025277476275321176,0.05093990283866631,0.09999895834893478,0.07589763973500835,-0.10257596410695707,0.03239872170298423,-0.0676089722521018
financial_stress_index,-0.17772775068910618,0.3299554148853126,0.03575114272498304,-0.007353993741776574,-0.17448630623851993,-0.16890214667905007,-0.240635385032966,-0.21876193445227549,0.1482411987203468,0.025277476275321176,1.0,0.6656560519649313,0.4634665595787618,-0.5941588632421679,0.616292167913745,0.3912893069486367,0.03917162530195739
macro_volatility_index,-0.13080592175104078,0.1276727232346038,0.08971457297798825,-0.1798483694415581,-0.10254962386763107,-0.1725618677357486,-0.1371212333453418,-0.07314636259111651,0.14995767970910945,0.05093990283866631,0.6656560519649313,1.0,0.7861672203662083,-0.7475613685506954,0.09583107685645509,0.054174707244058054,0.09777720133402167
usd_return,-0.06275068816049495,0.08732304744259585,-0.028054630875000736,-0.25746246525037075,0.012139698011273209,-0.15251494080206346,-0.04586898012889924,-0.029592466906889464,-0.009974956642186297,0.09999895834893478,0.4634665595787618,0.7861672203662083,1.0,-0.5482323163797529,-0.17070481937941168,-0.06288590026080415,0.04822461553571837
bist_return,-0.1142677405796681,-0.11643882314335224,-0.06784410501538195,0.2594952279355727,0.06430631286399463,0.32589358168206206,0.21289682586738867,-0.0818955767079367,-0.1075086456130588,0.07589763973500835,-0.5941588632421679,-0.7475613685506954,-0.5482323163797529,1.0,0.049191457456219154,0.1626424359490146,-0.2777011255689251
inflation_yoy,-0.24760914662137376,0.4505184104149222,0.09447006585787046,0.21621030603846297,-0.280995830586075,0.15796836293984817,-0.21970391836559267,-0.21689484180450952,0.08564493609761847,-0.10257596410695707,0.616292167913745,0.09583107685645509,-0.17070481937941168,0.049191457456219154,1.0,0.6458263724858182,-0.09704597715086358
lead1_financial_stress_index,-0.37924896689702703,0.417120258015531,0.08465665805670686,0.27574967132047673,-0.20552483102363528,0.24773360114959164,-0.029002762602134406,-0.2884915166593811,0.07929667878370372,0.03239872170298423,0.3912893069486367,0.054174707244058054,-0.06288590026080415,0.1626424359490146,0.6458263724858182,1.0,-0.6512646179858226
lead1_bist_return,0.2504003058865747,-0.12328312551250427,0.049051066756787935,-0.13499394206014337,-0.007468503176555313,-0.21525719177630528,-0.09426721023079641,0.23761203928134042,0.1209478923752696,-0.0676089722521018,0.03917162530195739,0.09777720133402167,0.04822461553571837,-0.2777011255689251,-0.09704597715086358,-0.6512646179858226,1.0
