cause,effect,lag,n_obs,f_stat,p_value,sum_cause_lag_beta
economy_negative_share,financial_stress_index,1,49,4.40648826014821,0.04131929119680566,10.166120714571464
economy_negative_share,financial_stress_index,2,48,4.318873863225944,0.01953327338150257,15.680220700877683
economy_negative_share,financial_stress_index,3,47,2.602005275927973,0.0652710672322252,17.54675232865141
financial_stress_index,economy_negative_share,1,49,1.6875977245492109,0.2003918473067715,0.0052692645525534215
financial_stress_index,economy_negative_share,2,48,1.5976961153540854,0.21414139532731902,0.009204523219137777
financial_stress_index,economy_negative_share,3,47,0.8915008399686544,0.4538651568705524,0.004329470292087129
economy_negative_share,usd_return,1,49,0.03810822256188615,0.8460857006177989,7.2832964430068055
economy_negative_share,usd_return,2,48,0.059173395987585906,0.9426199356545995,15.33640318817909
economy_negative_share,usd_return,3,47,0.042646030950476456,0.9881012823903954,-0.3221477040024716
usd_return,economy_negative_share,1,49,0.27649639175657686,0.6015327912773754,-0.0002828739104854492
usd_return,economy_negative_share,2,48,0.3868336474961259,0.681543753575969,-0.0005865044248219917
usd_return,economy_negative_share,3,47,1.7132070031549598,0.1796914377948372,-0.0015807795018417596
reform_positive_share,bist_return,1,50,0.03262163052020447,0.8574466693714454,-6.074035219422455
reform_positive_share,bist_return,2,49,0.17560942635273422,0.8395306821460287,26.324536473939098
reform_positive_share,bist_return,3,48,0.3313901936548426,0.8026689837274504,54.81193285198139
bist_return,reform_positive_share,1,50,0.08803803686012934,0.7679936700699224,-0.00016657198412345107
bist_return,reform_positive_share,2,49,1.5072038612522691,0.2327434981163602,-0.0016063062584217983
bist_return,reform_positive_share,3,48,1.3566475536124358,0.26947133853825744,-0.0024270483247255184
gov_opp_cosine_distance_negative,financial_stress_index,1,50,0.02837773557720803,0.8669466840728011,0.1220753375990823
gov_opp_cosine_distance_negative,financial_stress_index,2,49,1.5217399877079676,0.2295996331974175,-1.0252741820482103
gov_opp_cosine_distance_negative,financial_stress_index,3,48,0.7880334287213717,0.5075447158326467,-1.695226704423316
financial_stress_index,gov_opp_cosine_distance_negative,1,50,6.2007812637667445,0.016362377298995034,-0.06459845335500555
financial_stress_index,gov_opp_cosine_distance_negative,2,49,3.666263682200236,0.03367601088663208,-0.06265972885258551
financial_stress_index,gov_opp_cosine_distance_negative,3,48,1.5344511243565766,0.2200008197898844,-0.029703375499594342
