concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer,date
Ekonomi,418.05,0.4616353481188835,0.16666666666666666,0.4611923809215255,macro_economy,total,2002-11-01
Hukuk Devleti,101.2,0.4391243177014567,0.027777777777777776,0.38436797297477315,democratic_reform,total,2002-11-01
Anayasa,87.95,0.3249108574686072,0.2222222222222222,0.01441940772048505,constitutional_conflict,total,2002-11-01
Demokrasi,79.85,0.4392030255765834,0.027777777777777776,0.4198926781348497,democratic_reform,total,2002-11-01
Reform,62.35,0.5145074671444959,0.0,0.38797208653323867,democratic_reform,total,2002-11-01
Avrupa Birligi,56.099999999999994,0.23470360573243823,0.0,0.0026810222723644872,democratic_reform,total,2002-11-01
Faiz,44.55,0.5144887767827672,0.5,0.2239888997936808,macro_economy,total,2002-11-01
Guvenlik,37.25,0.41476476046018734,0.38888888888888884,0.056271917816190405,security_conflict,total,2002-11-01
Enflasyon,29.85,0.3395895884640297,0.0,0.20903027917968087,macro_economy,total,2002-11-01
IMF,24.849999999999998,0.5457081550650841,0.4444444444444444,0.4642028945107104,macro_economy,total,2002-11-01
Ekonomi,559.8,0.4890511513454888,0.18181818181818182,0.3914978882882681,macro_economy,total,2002-12-01
Anayasa,257.4,0.42841316670547186,0.32727272727272727,0.0631524662143705,constitutional_conflict,total,2002-12-01
Demokrasi,202.55,0.5110085662865076,0.0,0.12928178981017815,democratic_reform,total,2002-12-01
Hukuk Devleti,168.65,0.5658391164139686,0.2909090909090909,0.4087154805581093,democratic_reform,total,2002-12-01
Guvenlik,99.0,0.5962130484731233,0.16363636363636364,0.42762048425116855,security_conflict,total,2002-12-01
Avrupa Birligi,85.95,0.46699812071626856,0.0,0.3789624545012205,democratic_reform,total,2002-12-01
Faiz,72.35,0.5366962231874839,0.39999999999999997,0.19389954020934724,macro_economy,total,2002-12-01
Enflasyon,27.55,0.3342689269734283,0.0,0.07264199836062135,macro_economy,total,2002-12-01
IMF,26.950000000000003,0.2499019616852871,0.0,0.0023618808287161623,macro_economy,total,2002-12-01
Reform,21.1,0.4693470591489453,0.0,0.38109125484632445,democratic_reform,total,2002-12-01
Vesayet,6.1000000000000005,0.3263078238039618,0.18181818181818182,0.012595514265894097,constitutional_conflict,total,2002-12-01
Egemenlik,3.35,0.46778768258656306,0.0,0.37978752241150365,security_conflict,total,2002-12-01
Ekonomi,899.0,0.5642266243376034,0.0,0.4274536550381895,macro_economy,total,2003-01-01
Hukuk Devleti,741.55,0.5649928997597746,0.3818181818181818,0.3257944996005842,democratic_reform,total,2003-01-01
Anayasa,309.65,0.5960704674648067,0.45454545454545453,0.4706133794464016,constitutional_conflict,total,2003-01-01
Guvenlik,202.15,0.4678506278041805,0.18181818181818182,0.3277592222240762,security_conflict,total,2003-01-01
Faiz,150.4,0.4478745071626429,0.32727272727272727,0.12413113737024427,macro_economy,total,2003-01-01
Demokrasi,144.95,0.4494911166460753,0.0,0.3205512683869535,democratic_reform,total,2003-01-01
Avrupa Birligi,105.95,0.4493235169061895,0.0,0.3203808754278269,democratic_reform,total,2003-01-01
Enflasyon,74.75,0.5371150436752512,0.0,0.2533761112508642,macro_economy,total,2003-01-01
Reform,71.9,0.49009217879280814,0.0,0.30562518328218125,democratic_reform,total,2003-01-01
IMF,34.400000000000006,0.3363221041570751,0.18181818181818182,0.026418757074521775,macro_economy,total,2003-01-01
Egemenlik,13.5,0.2548479446177861,0.0,0.005258787365432083,security_conflict,total,2003-01-01
Vesayet,1.35,0.3075881148952244,0.0,0.05568558080502188,constitutional_conflict,total,2003-01-01
Ekonomi,620.1500000000001,0.46606025841143683,0.0,0.39090349594330914,macro_economy,total,2003-02-01
Hukuk Devleti,417.8,0.4663766786498771,0.0,0.39123041532459263,democratic_reform,total,2003-02-01
Anayasa,185.95,0.48504428424157775,0.43636363636363634,0.16578332838956147,constitutional_conflict,total,2003-02-01
Guvenlik,88.69999999999999,0.5081008725441907,0.32727272727272727,0.39901259804173755,security_conflict,total,2003-02-01
Demokrasi,74.75,0.3815667875905075,0.32727272727272727,0.034608592889563285,democratic_reform,total,2003-02-01
Faiz,42.199999999999996,0.5607745950046226,0.0,0.417476189265048,macro_economy,total,2003-02-01
Avrupa Birligi,41.35,0.3545092792743512,0.18181818181818182,0.06858414641802678,democratic_reform,total,2003-02-01
Reform,40.9,0.4663957541505694,0.0,0.3913018206654207,democratic_reform,total,2003-02-01
Enflasyon,7.75,0.5609705585394815,0.43636363636363634,0.41693373594479316,macro_economy,total,2003-02-01
IMF,3.7,0.2898015818202275,0.0,0.008226181344342793,macro_economy,total,2003-02-01
Vesayet,1.7,0.26539961235951515,0.0,0.012804297223242063,constitutional_conflict,total,2003-02-01
Egemenlik,1.35,0.2898015818202275,0.0,0.008226181344342793,security_conflict,total,2003-02-01
Ekonomi,2971.85,0.35148646859572674,0.0,0.36133914320776445,macro_economy,total,2003-03-01
Hukuk Devleti,1062.3500000000001,0.5192818091295885,0.32727272727272727,0.1579672496316526,democratic_reform,total,2003-03-01
Anayasa,854.5999999999999,0.5190970743520248,0.10909090909090909,0.15788510000516975,constitutional_conflict,total,2003-03-01
Faiz,487.5,0.43659595076069546,0.2909090909090909,0.10344360926261138,macro_economy,total,2003-03-01
Demokrasi,482.5,0.45444017930369646,0.2545454545454545,0.4252579517382833,democratic_reform,total,2003-03-01
Guvenlik,422.55,0.4542860008634199,0.0,0.42527264003903376,security_conflict,total,2003-03-01
Reform,370.35,0.4540999483945849,0.0,0.4253141028201491,democratic_reform,total,2003-03-01
