date,party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
2002-11-01,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,9,278,204,112,388.6,388.6,0.2902208201892745,total
2002-11-01,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,6,77,41,8,94.15,94.15,0.66,total
2002-11-01,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,8,56,47,1,72.8,72.8,0.9387755102040817,total
2002-11-01,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,6,47,24,6,57.5,57.5,0.5806451612903226,total
2002-11-01,Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,5,42,27,10,54.95,54.95,0.4473684210526316,total
2002-11-01,Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,2,27,18,21,40.65,40.65,-0.075,total
2002-11-01,Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,3,28,17,13,38.5,38.5,0.12903225806451613,total
2002-11-01,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,2,28,2,5,30.450000000000003,30.450000000000003,-0.375,total
2002-11-01,Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,2,20,5,22,29.450000000000003,29.450000000000003,-0.6071428571428571,total
2002-11-01,Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,4,18,19,12,28.85,28.85,0.21875,total
2002-11-01,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,7,17,8,14,24.7,24.7,-0.2608695652173913,total
2002-11-01,Adalet ve Kalkınma Partisi,imf,IMF,macro_economy,3,19,7,2,22.15,22.15,0.5,total
2002-11-01,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,4,13,5,2,15.45,15.45,0.375,total
2002-11-01,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,2,8,8,5,12.55,12.55,0.21428571428571427,total
2002-11-01,Cumhuriyet Halk Partisi,reform,Reform,democratic_reform,1,6,3,1,7.4,7.4,0.4,total
2002-11-01,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,2,6,2,1,7.050000000000001,7.050000000000001,0.25,total
2002-11-01,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,2,6,1,2,7.05,7.05,-0.25,total
2002-11-01,Cumhuriyet Halk Partisi,interest,Faiz,macro_economy,1,5,1,2,6.05,6.05,-0.25,total
2002-11-01,Cumhuriyet Halk Partisi,imf,IMF,macro_economy,1,2,2,0,2.7,2.7,0.6666666666666666,total
2002-11-01,Cumhuriyet Halk Partisi,inflation,Enflasyon,macro_economy,1,1,0,0,1.0,1.0,0.0,total
2002-12-01,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,57,287,146,104,374.5,374.5,0.16733067729083664,total
2002-12-01,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,29,152,41,16,171.95,171.95,0.43103448275862066,total
2002-12-01,Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,38,133,54,40,165.9,165.9,0.14736842105263157,total
2002-12-01,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,23,88,51,18,112.15,112.15,0.4714285714285714,total
2002-12-01,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,22,83,27,16,98.05,98.05,0.25,total
2002-12-01,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,17,75,34,10,90.4,90.4,0.5333333333333333,total
2002-12-01,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,16,69,43,4,85.45,85.45,0.8125,total
2002-12-01,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,22,57,28,7,69.25,69.25,0.5833333333333334,total
2002-12-01,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,16,53,14,10,61.400000000000006,61.400000000000006,0.16,total
2002-12-01,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,20,44,15,16,54.85,54.85,-0.03125,total
2002-12-01,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,13,31,11,17,40.8,40.8,-0.20689655172413793,total
2002-12-01,Cumhuriyet Halk Partisi,interest,Faiz,macro_economy,12,36,2,5,38.45,38.45,-0.375,total
2002-12-01,Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,13,28,9,5,32.9,32.9,0.26666666666666666,total
