layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,date
total,2,10,20,1,16,1.0,0.35555555555555557,-1.0,0.6213835715527357,0.0,0.4228635902514533,0.17777777777777776,1.609311938359046,2.5134283894723706,2002-11-01
total,5,12,32,5,24,0.5,0.36363636363636365,-0.6666666666666671,0.5735126142334075,0.16666666666666666,0.45348607061054147,0.12878787878787878,1.8321170306145274,2.342593137136561,2002-12-01
total,4,12,30,3,23,0.5,0.3484848484848485,-0.5000000000000001,0.5357895592547486,0.3333333333333333,0.45548292885161806,0.12727272727272726,1.9322718888607742,2.3409178595482,2003-01-01
total,4,12,23,3,23,0.5,0.3484848484848485,-1.0,0.21942024067453464,0.25,0.42456682036721544,0.14242424242424243,5.1859277665293435,2.511695007303372,2003-02-01
total,5,12,46,5,24,0.5,0.36363636363636365,-0.6666666666666671,0.6099065658650659,0.16666666666666666,0.42683273296463936,0.14242424242424243,1.719026769729,2.446177834319161,2003-03-01
total,5,12,39,5,24,0.5,0.36363636363636365,-0.24999999999999983,0.5636810550449454,0.2333333333333333,0.42183193483003095,0.14848484848484847,1.8395151811029304,2.50202195454572,2003-04-01
total,5,12,47,5,24,0.5,0.36363636363636365,-0.24999999999999983,0.5525386883236093,0.2333333333333333,0.47459987591926595,0.1136363636363636,1.8800501809611685,2.241478418959965,2003-05-01
total,4,12,35,3,24,0.5,0.36363636363636365,-0.5000000000000001,0.5188533847779883,0.3333333333333333,0.4573673687787629,0.12424242424242425,2.0293978863049076,2.3566092218692893,2003-06-01
total,4,12,34,3,24,0.5,0.36363636363636365,-1.0,0.585769420775754,0.25,0.46983743329722666,0.12424242424242425,1.7948727179655235,2.272935339616536,2003-07-01
total,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003-08-01
total,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003-09-01
total,2,12,24,1,24,1.0,0.36363636363636365,-1.0,0.9684248116913543,0.0,0.4709832210531904,0.11666666666666665,1.0326046874547747,2.2392569276624563,2003-10-01
total,5,12,36,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5505314471648299,0.2,0.4806500423350566,0.11212121212121211,1.9178091038732799,2.175717180790338,2003-11-01
total,5,12,49,5,24,0.5,0.36363636363636365,-0.24999999999999983,0.5536089512341142,0.2333333333333333,0.4464381252580744,0.12878787878787878,1.8728704859956575,2.323679225375923,2003-12-01
total,4,11,28,3,20,0.5,0.36363636363636365,-0.5000000000000001,0.59338106505202,0.3333333333333333,0.4552340701261612,0.14343434343434344,1.7556369732910901,2.3551237094611617,2004-01-01
total,5,12,44,5,24,0.5,0.36363636363636365,-0.6666666666666671,0.4978020795077877,0.16666666666666666,0.4704617866293988,0.12272727272727274,2.160804435223631,2.2641228040165275,2004-02-01
total,3,11,23,2,20,0.6666666666666666,0.36363636363636365,-1.0,0.665633058380572,0.3333333333333333,0.4395200814772846,0.1393939393939394,1.5579713312102879,2.3727217610273015,2004-03-01
total,4,12,38,3,24,0.5,0.36363636363636365,-0.5000000000000001,0.5117216727334022,0.3333333333333333,0.45645274244031725,0.1196969696969697,2.0532350306316616,2.2856247058312524,2004-04-01
total,5,12,33,5,23,0.5,0.3484848484848485,-0.4285714285714284,0.4931659909088298,0.2,0.41923886600994376,0.12272727272727274,2.143155575550808,2.602860786180104,2004-05-01
total,5,12,39,5,24,0.5,0.36363636363636365,-0.24999999999999983,0.5252156463374356,0.2,0.4688189501374956,0.1212121212121212,2.0058020444270697,2.2371878281316517,2004-06-01
total,4,12,42,3,24,0.5,0.36363636363636365,-0.5000000000000001,0.4824516022589532,0.3333333333333333,0.5191333706459805,0.09696969696969697,2.1887630038389303,2.044603904957442,2004-07-01
total,4,6,11,3,5,0.5,0.3333333333333333,-1.0,0.15603487369934488,0.25,0.34014805102832013,0.3333333333333333,7.026873596592339,3.168662128061425,2004-08-01
total,4,10,27,3,16,0.5,0.35555555555555557,-0.1999999999999996,0.4701540195133058,0.25,0.4522914612827793,0.14166666666666666,2.2744966990968893,2.3514294892672356,2004-09-01
total,4,11,29,3,18,0.5,0.32727272727272727,-0.5000000000000001,0.5490441958290682,0.3333333333333333,0.39877219522736307,0.1515151515151515,1.9042972929013169,2.721846371604214,2004-10-01
total,5,11,39,5,20,0.5,0.36363636363636365,-0.24999999999999983,0.47908478662849474,0.16666666666666666,0.45969220865,0.1393939393939394,2.202928513823304,2.3158551185414398,2004-11-01
total,5,12,51,5,24,0.5,0.36363636363636365,-0.6666666666666671,0.599860257279216,0.16666666666666666,0.4163199513379114,0.14848484848484847,1.7431435316001909,2.534959890633797,2004-12-01
total,5,12,40,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5273870548479718,0.2,0.42803555784886566,0.13333333333333333,1.9832019439604474,2.430330281333493,2005-01-01
total,5,12,42,5,24,0.5,0.36363636363636365,-0.24999999999999983,0.298192476131997,0.2333333333333333,0.4339826128066513,0.14393939393939395,3.837077735781184,2.499853147437835,2005-02-01
total,5,11,42,5,20,0.5,0.36363636363636365,-0.4285714285714284,0.4733873050888679,0.2,0.5002005108135145,0.1191919191919192,2.2749182514973247,2.117754754213602,2005-03-01
total,5,12,41,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5614243242866754,0.2333333333333333,0.4638672131417456,0.12272727272727273,1.849256780954248,2.2992814326446633,2005-04-01
total,5,12,41,5,24,0.5,0.36363636363636365,-0.6666666666666671,0.5731494090544457,0.16666666666666666,0.46657304453322607,0.12272727272727273,1.8261020758896387,2.311975747550368,2005-05-01
total,5,12,46,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.42248583086625563,0.2333333333333333,0.4618572840520823,0.13030303030303028,2.4413438967824437,2.3312124910448015,2005-06-01
total,3,10,20,2,15,0.6666666666666666,0.3333333333333333,-1.0,0.5349915739442632,0.3333333333333333,0.34635960766265766,0.22222222222222224,1.9425274507676924,3.0744264555806353,2005-07-01
total,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-08-01
total,3,8,17,2,10,0.6666666666666666,0.35714285714285715,-1.0,0.7695915687204659,0.3333333333333333,0.46000103886843413,0.19642857142857142,1.3475166415751143,2.298812904808517,2005-09-01
total,5,12,48,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5340469258846959,0.2333333333333333,0.4061134061901437,0.15,1.9481585163056505,2.6546834614991814,2005-10-01
