party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,date
Adalet ve Kalkınma Partisi,797.65,0.6213835715527357,0.0,0.7071067811865476,government,total,2002-11-01
Cumhuriyet Halk Partisi,144.35,0.6213835715527357,0.0,0.7071067811865476,opposition,total,2002-11-01
Adalet ve Kalkınma Partisi,834.3000000000001,0.8211057935803009,0.8333333333333333,0.6145831176247895,government,total,2002-12-01
Cumhuriyet Halk Partisi,663.0,0.47548295896765913,0.0,0.2507850006869642,opposition,total,2002-12-01
Anavatan Partisi,18.7,0.42663683207874364,0.0,0.1971580658589667,opposition,total,2002-12-01
Bağımsız,7.4,0.567794744269035,0.0,0.507155951176844,opposition,total,2002-12-01
Doğru Yol Partisi,7.35,0.5765427422712991,0.0,0.513143267727148,opposition,total,2002-12-01
Cumhuriyet Halk Partisi,1375.05,0.44264375656134525,0.0,0.42225377959455496,opposition,total,2003-01-01
Adalet ve Kalkınma Partisi,1330.35,0.6345738920967083,0.6666666666666666,0.6065605952341191,government,total,2003-01-01
Anavatan Partisi,31.6,0.6345738920967083,0.6666666666666666,0.5671875753382765,opposition,total,2003-01-01
Bağımsız,12.549999999999999,0.43136669626423246,0.0,0.3634339614142178,opposition,total,2003-01-01
Cumhuriyet Halk Partisi,884.7000000000002,0.2416974071028699,0.0,0.5402811188684743,opposition,total,2003-02-01
Adalet ve Kalkınma Partisi,629.5000000000001,0.28924429099865145,1.0,0.7071067811850429,government,total,2003-02-01
Anavatan Partisi,10.1,0.23409081115124034,0.0,0.4511091994706688,opposition,total,2003-02-01
Bağımsız,2.0,0.11264845344537694,0.0,0.06779972528919015,opposition,total,2003-02-01
Adalet ve Kalkınma Partisi,3721.6,0.8751969563657856,0.8333333333333333,0.6250763813383006,government,total,2003-03-01
Cumhuriyet Halk Partisi,3221.0499999999997,0.6024677858156783,0.0,0.49635172615358986,opposition,total,2003-03-01
Anavatan Partisi,116.15000000000002,0.5958442203846912,0.0,0.4919974281985283,opposition,total,2003-03-01
Bağımsız,101.8,0.5185797619212839,0.0,0.2777085466674159,opposition,total,2003-03-01
Doğru Yol Partisi,18.45,0.4574441048378904,0.0,0.2091195236970308,opposition,total,2003-03-01
Cumhuriyet Halk Partisi,2136.85,0.4141523766811093,0.0,0.1584965825390415,opposition,total,2003-04-01
Adalet ve Kalkınma Partisi,1216.0499999999997,0.6111914692151285,0.5,0.336619126579861,government,total,2003-04-01
Anavatan Partisi,70.44999999999999,0.5287558439737173,0.0,0.4994837292402002,opposition,total,2003-04-01
Bağımsız,27.05,0.7383234158903086,0.6666666666666666,0.604151294516856,opposition,total,2003-04-01
Doğru Yol Partisi,24.15,0.5259821694644631,0.0,0.4970750592234193,opposition,total,2003-04-01
Cumhuriyet Halk Partisi,2162.4,0.7258283969102673,0.6666666666666666,0.6079378225612889,opposition,total,2003-05-01
Adalet ve Kalkınma Partisi,1585.1499999999999,0.6072932186259604,0.5,0.36314092308791934,government,total,2003-05-01
Anavatan Partisi,145.15,0.5178258634487426,0.0,0.4894589017227931,opposition,total,2003-05-01
Bağımsız,52.099999999999994,0.5077354106130225,0.0,0.4808122112644862,opposition,total,2003-05-01
Doğru Yol Partisi,35.900000000000006,0.4040105520200537,0.0,0.16670295408769742,opposition,total,2003-05-01
Cumhuriyet Halk Partisi,1907.5,0.63398912591604,0.6666666666666666,0.5913856061111051,opposition,total,2003-06-01
Adalet ve Kalkınma Partisi,1254.8500000000001,0.63398912591604,0.6666666666666666,0.6497566053287903,government,total,2003-06-01
Bağımsız,75.44999999999999,0.3865199031038735,0.0,0.27895582774268524,opposition,total,2003-06-01
Anavatan Partisi,17.05,0.4209153841759996,0.0,0.38763780115540936,opposition,total,2003-06-01
Cumhuriyet Halk Partisi,3248.4,0.5325379027152422,0.0,0.4686610843640821,opposition,total,2003-07-01
Adalet ve Kalkınma Partisi,1705.9,0.8357138559107635,1.0,0.7071067812791845,government,total,2003-07-01
Anavatan Partisi,90.14999999999999,0.4976525725886474,0.0,0.3927666865648801,opposition,total,2003-07-01
Bağımsız,31.15,0.47717335188836274,0.0,0.3550931114461663,opposition,total,2003-07-01
Cumhuriyet Halk Partisi,675.5000000000001,0.9684248116913543,0.0,0.7071067811865476,opposition,total,2003-10-01
Adalet ve Kalkınma Partisi,593.45,0.9684248116913543,0.0,0.7071067811865476,government,total,2003-10-01
Cumhuriyet Halk Partisi,896.3999999999999,0.6851368832447956,0.5,0.5678641450536863,opposition,total,2003-11-01
Adalet ve Kalkınma Partisi,693.7,0.6876196105235483,0.5,0.5770016543083393,government,total,2003-11-01
Anavatan Partisi,77.15,0.40347463225306834,0.0,0.20482465859141452,opposition,total,2003-11-01
Bağımsız,27.999999999999996,0.5636311523121579,0.0,0.504656726933652,opposition,total,2003-11-01
Doğru Yol Partisi,4.0,0.41279495749057965,0.0,0.2190156407232356,opposition,total,2003-11-01
Adalet ve Kalkınma Partisi,4282.2,0.5324869079093288,0.0,0.514971286366714,government,total,2003-12-01
Cumhuriyet Halk Partisi,3494.65,0.5083823069327353,0.0,0.49500105061806216,opposition,total,2003-12-01
