year,layer,party,concept_slug,concept,layer_weight,concept_total_weight,party_share_in_concept
2002,negative,Adalet ve Kalkınma Partisi,constitution,Anayasa,4.2625,21.597260000000002,0.19736299882485092
2002,negative,Cumhuriyet Halk Partisi,constitution,Anayasa,17.334760000000003,21.597260000000002,0.8026370011751491
2002,negative,Adalet ve Kalkınma Partisi,democracy,Demokrasi,4.35,21.53698,0.20197817892759337
2002,negative,Cumhuriyet Halk Partisi,democracy,Demokrasi,17.186980000000002,21.53698,0.7980218210724067
2002,negative,Adalet ve Kalkınma Partisi,economy,Ekonomi,77.28471,129.65012000000002,0.5961021092768753
2002,negative,Bağımsız,economy,Ekonomi,5.920000000000001,129.65012000000002,0.0456613538036062
2002,negative,Cumhuriyet Halk Partisi,economy,Ekonomi,46.445409999999995,129.65012000000002,0.3582365369195184
2002,negative,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,4.1542900000000005,8.15858,0.5091927761938965
2002,negative,Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,4.00429,8.15858,0.4908072238061035
2002,negative,Adalet ve Kalkınma Partisi,imf,IMF,0.96,14.255,0.06734479130129778
2002,negative,Anavatan Partisi,imf,IMF,1.675,14.255,0.1175026306559102
2002,negative,Cumhuriyet Halk Partisi,imf,IMF,11.620000000000001,14.255,0.8151525780427921
2002,negative,Adalet ve Kalkınma Partisi,inflation,Enflasyon,10.962775,12.762865000000001,0.8589587839407531
2002,negative,Cumhuriyet Halk Partisi,inflation,Enflasyon,1.80009,12.762865000000001,0.14104121605924685
2002,negative,Adalet ve Kalkınma Partisi,interest,Faiz,11.349155,19.886654999999998,0.5706920042611491
2002,negative,Cumhuriyet Halk Partisi,interest,Faiz,8.5375,19.886654999999998,0.42930799573885103
2002,negative,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,10.71589,16.03268,0.668377963010551
2002,negative,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,4.64179,16.03268,0.28952052931886624
2002,negative,Doğru Yol Partisi,law_state,Hukuk Devleti,0.675,16.03268,0.04210150767058284
2002,negative,Adalet ve Kalkınma Partisi,reform,Reform,1.175,1.175,1.0
2002,negative,Adalet ve Kalkınma Partisi,security,Guvenlik,12.65767,19.41106,0.6520854605570227
2002,negative,Anavatan Partisi,security,Guvenlik,1.675,19.41106,0.086291011413081
2002,negative,Cumhuriyet Halk Partisi,security,Guvenlik,5.07839,19.41106,0.26162352802989636
2002,negative,Cumhuriyet Halk Partisi,tutelage,Vesayet,3.5200000000000005,3.5200000000000005,1.0
2002,positive,Adalet ve Kalkınma Partisi,constitution,Anayasa,74.5954,125.333175,0.5951768157153922
2002,positive,Cumhuriyet Halk Partisi,constitution,Anayasa,50.737775,125.333175,0.4048231842846078
2002,positive,Adalet ve Kalkınma Partisi,democracy,Demokrasi,95.96121,143.27382,0.6697749107268864
2002,positive,Cumhuriyet Halk Partisi,democracy,Demokrasi,47.31261,143.27382,0.33022508927311356
2002,positive,Adalet ve Kalkınma Partisi,economy,Ekonomi,232.36075499999998,274.83061999999995,0.8454689473829372
2002,positive,Cumhuriyet Halk Partisi,economy,Ekonomi,42.469865,274.83061999999995,0.15453105261706285
2002,positive,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,15.532499999999999,21.61607,0.7185626249359851
2002,positive,Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,6.08357,21.61607,0.28143737506401484
2002,positive,Adalet ve Kalkınma Partisi,imf,IMF,8.75,11.22509,0.7795037723528275
2002,positive,Cumhuriyet Halk Partisi,imf,IMF,2.47509,11.22509,0.22049622764717253
2002,positive,Adalet ve Kalkınma Partisi,inflation,Enflasyon,13.691815,13.691815,1.0
2002,positive,Adalet ve Kalkınma Partisi,interest,Faiz,16.908875,16.908875,1.0
2002,positive,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,98.06848,127.85208,0.7670464180168206
2002,positive,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,29.783600000000003,127.85208,0.23295358198317934
2002,positive,Adalet ve Kalkınma Partisi,reform,Reform,24.597660000000005,27.557660000000006,0.8925888482548954
2002,positive,Cumhuriyet Halk Partisi,reform,Reform,2.9600000000000004,27.557660000000006,0.10741115174510463
2002,positive,Adalet ve Kalkınma Partisi,security,Guvenlik,9.752699999999999,12.16086,0.8019745314064959
2002,positive,Cumhuriyet Halk Partisi,security,Guvenlik,2.40816,12.16086,0.1980254685935041
2002,positive,Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,0.675,0.675,1.0
2002,total,Adalet ve Kalkınma Partisi,constitution,Anayasa,142.95,345.34999999999997,0.41392789923266254
2002,total,Cumhuriyet Halk Partisi,constitution,Anayasa,202.39999999999998,345.34999999999997,0.5860721007673375
2002,total,Adalet ve Kalkınma Partisi,democracy,Demokrasi,163.2,282.4,0.5779036827195467
2002,total,Cumhuriyet Halk Partisi,democracy,Demokrasi,119.2,282.4,0.4220963172804533
2002,total,Adalet ve Kalkınma Partisi,economy,Ekonomi,763.1,977.85,0.7803855397044537
2002,total,Anavatan Partisi,economy,Ekonomi,6.0,977.85,0.00613591041570793
