speech_id,transcript_id,date,year,month,speaker,party,party_bloc,word_count,concept_hit_count,beme_positive_hits,beme_negative_hits,beme_score,beme_label
term_23_speech_000001,19943,2007-08-09,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,opposition,643,2,0,0,0.0,mixed
term_23_speech_000007,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,opposition,1035,2,0,0,0.0,mixed
term_23_speech_000008,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,opposition,121,1,0,0,0.0,mixed
term_23_speech_000009,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,opposition,42,2,0,1,-0.5,negative
term_23_speech_000011,19945,2007-08-10,2007,8,Sadullah Ergin,Adalet ve Kalkınma Partisi,opposition,316,1,1,0,0.5,positive
term_23_speech_000017,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,opposition,394,2,0,0,0.0,mixed
term_23_speech_000018,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,opposition,538,2,1,0,0.5,positive
term_23_speech_000020,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,opposition,94,1,0,0,0.0,mixed
term_23_speech_000021,19945,2007-08-10,2007,8,Sadullah Ergin,Adalet ve Kalkınma Partisi,opposition,631,2,0,0,0.0,mixed
term_23_speech_000023,19945,2007-08-10,2007,8,Hasip Kaplan,Bağımsız,opposition,449,4,4,0,0.8,positive
term_23_speech_000024,19961,2007-10-01,2007,10,Abdullah Gül,Adalet ve Kalkınma Partisi,opposition,3637,7,69,29,0.404,positive
term_23_speech_000025,19963,2007-10-02,2007,10,Rüstem Zeydan,Adalet ve Kalkınma Partisi,opposition,282,2,0,0,0.0,mixed
term_23_speech_000029,19963,2007-10-02,2007,10,Recep Akdağ,Adalet ve Kalkınma Partisi,opposition,1644,3,2,0,0.6667,positive
term_23_speech_000041,19963,2007-10-02,2007,10,Faruk Çelik,Adalet ve Kalkınma Partisi,opposition,371,2,0,8,-0.8889,negative
term_23_speech_000042,19963,2007-10-02,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,567,4,4,7,-0.25,negative
term_23_speech_000058,19963,2007-10-02,2007,10,Kamer Genç,Cumhuriyet Halk Partisi,opposition,462,1,0,0,0.0,mixed
term_23_speech_000059,19963,2007-10-02,2007,10,Kamer Genç,Cumhuriyet Halk Partisi,opposition,100,1,0,4,-0.8,negative
term_23_speech_000060,19963,2007-10-02,2007,10,Kamer Genç,Cumhuriyet Halk Partisi,opposition,682,2,0,0,0.0,mixed
term_23_speech_000063,19963,2007-10-02,2007,10,Recep Akdağ,Adalet ve Kalkınma Partisi,opposition,1418,1,0,1,-0.5,negative
term_23_speech_000072,19963,2007-10-02,2007,10,Recep Akdağ,Adalet ve Kalkınma Partisi,opposition,125,1,0,0,0.0,mixed
term_23_speech_000073,19963,2007-10-02,2007,10,Recep Akdağ,Adalet ve Kalkınma Partisi,opposition,50,1,0,0,0.0,mixed
term_23_speech_000094,19964,2007-10-03,2007,10,Ensar Öğüt,Cumhuriyet Halk Partisi,opposition,1388,4,5,4,0.1,mixed
term_23_speech_000095,19964,2007-10-03,2007,10,İsmet Büyükataman,Milliyetçi Hareket Partisi,opposition,400,1,0,0,0.0,mixed
term_23_speech_000097,19964,2007-10-03,2007,10,Zeynep Dağı,Adalet ve Kalkınma Partisi,opposition,220,1,0,0,0.0,mixed
term_23_speech_000098,19964,2007-10-03,2007,10,Emin Haluk Ayhan,Milliyetçi Hareket Partisi,opposition,897,4,2,2,0.0,mixed
term_23_speech_000100,19964,2007-10-03,2007,10,Mehmet Çerçi,Adalet ve Kalkınma Partisi,opposition,491,1,0,1,-0.5,negative
term_23_speech_000101,19964,2007-10-03,2007,10,Hasan Çalış,Milliyetçi Hareket Partisi,opposition,495,1,0,1,-0.5,negative
term_23_speech_000102,19964,2007-10-03,2007,10,Cemaleddin Uslu,Milliyetçi Hareket Partisi,opposition,632,2,10,2,0.6154,positive
term_23_speech_000107,19968,2007-10-04,2007,10,Veysel Eroğlu,Adalet ve Kalkınma Partisi,opposition,1543,1,0,0,0.0,mixed
term_23_speech_000112,19968,2007-10-04,2007,10,Binali Yıldırım,Adalet ve Kalkınma Partisi,opposition,154,1,3,1,0.4,positive
term_23_speech_000121,19968,2007-10-04,2007,10,Gönül Bekin Şahkulubey,Adalet ve Kalkınma Partisi,opposition,426,2,16,2,0.7368,positive
term_23_speech_000122,19968,2007-10-04,2007,10,Münir Kutluata,Milliyetçi Hareket Partisi,opposition,1218,2,4,2,0.2857,positive
term_23_speech_000123,19968,2007-10-04,2007,10,Ahmet Ersin,Bağımsız,opposition,291,2,2,7,-0.5,negative
term_23_speech_000126,19968,2007-10-04,2007,10,Ahmet Ersin,Bağımsız,opposition,507,2,0,0,0.0,mixed
term_23_speech_000127,19968,2007-10-04,2007,10,Mehmet Aydın,Adalet ve Kalkınma Partisi,opposition,278,1,1,1,0.0,mixed
term_23_speech_000128,19968,2007-10-04,2007,10,Ahmet Ersin,Bağımsız,opposition,19,1,0,0,0.0,mixed
term_23_speech_000130,19968,2007-10-04,2007,10,Ahmet Ersin,Bağımsız,opposition,7,1,0,0,0.0,mixed
term_23_speech_000131,19968,2007-10-04,2007,10,Mehmet Aydın,Adalet ve Kalkınma Partisi,opposition,75,1,0,0,0.0,mixed
term_23_speech_000135,19968,2007-10-04,2007,10,Ahmet Ersin,Bağımsız,opposition,7,1,0,0,0.0,mixed
term_23_speech_000136,19968,2007-10-04,2007,10,Ahmet Ersin,Bağımsız,opposition,11,1,0,0,0.0,mixed
term_23_speech_000143,19968,2007-10-04,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,540,1,1,2,-0.25,negative
term_23_speech_000144,19968,2007-10-04,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,320,2,0,0,0.0,mixed
term_23_speech_000145,19968,2007-10-04,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,125,1,0,0,0.0,mixed
term_23_speech_000150,19968,2007-10-04,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,206,1,4,0,0.8,positive
term_23_speech_000155,19968,2007-10-04,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,242,1,0,0,0.0,mixed
term_23_speech_000156,19968,2007-10-04,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,381,1,0,0,0.0,mixed
term_23_speech_000157,19968,2007-10-04,2007,10,Osman Ertuğrul,Milliyetçi Hareket Partisi,opposition,645,4,1,0,0.5,positive
term_23_speech_000158,19968,2007-10-04,2007,10,Harun Öztürk,Bağımsız,opposition,149,2,0,0,0.0,mixed
term_23_speech_000159,19968,2007-10-04,2007,10,Ali Uzunırmak,Milliyetçi Hareket Partisi,opposition,584,3,1,0,0.5,positive
term_23_speech_000160,19969,2007-10-09,2007,10,Saffet Kaya,Adalet ve Kalkınma Partisi,opposition,585,1,2,0,0.6667,positive
term_23_speech_000162,19969,2007-10-09,2007,10,Saffet Kaya,Adalet ve Kalkınma Partisi,opposition,131,1,0,0,0.0,mixed
term_23_speech_000163,19969,2007-10-09,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,131,1,0,0,0.0,mixed
term_23_speech_000165,19969,2007-10-09,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,102,1,0,0,0.0,mixed
term_23_speech_000166,19969,2007-10-09,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,28,1,0,0,0.0,mixed
term_23_speech_000168,19969,2007-10-09,2007,10,Ertuğrul Günay,Adalet ve Kalkınma Partisi,opposition,697,2,0,0,0.0,mixed
term_23_speech_000169,19969,2007-10-09,2007,10,Turgut Dibek,Cumhuriyet Halk Partisi,opposition,644,2,1,0,0.5,positive
term_23_speech_000170,19969,2007-10-09,2007,10,Turgut Dibek,Cumhuriyet Halk Partisi,opposition,157,1,1,0,0.5,positive
term_23_speech_000176,19969,2007-10-09,2007,10,Kamer Genç,Cumhuriyet Halk Partisi,opposition,885,2,0,0,0.0,mixed
term_23_speech_000186,19969,2007-10-09,2007,10,CHP GRUBU ADINA HAKKISUHA OKAY,Cumhuriyet Halk Partisi,opposition,301,2,0,0,0.0,mixed
term_23_speech_000187,19969,2007-10-09,2007,10,Oktay Vural,Milliyetçi Hareket Partisi,opposition,316,2,0,1,-0.5,negative
term_23_speech_000189,19969,2007-10-09,2007,10,Kamer Genç,Cumhuriyet Halk Partisi,opposition,205,1,0,0,0.0,mixed
term_23_speech_000190,19969,2007-10-09,2007,10,Kamer Genç,Cumhuriyet Halk Partisi,opposition,342,3,0,2,-0.6667,negative
term_23_speech_000191,19969,2007-10-09,2007,10,Ahmet Orhan,Milliyetçi Hareket Partisi,opposition,1193,3,3,1,0.4,positive
term_23_speech_000192,19969,2007-10-09,2007,10,Ensar Öğüt,Cumhuriyet Halk Partisi,opposition,236,1,0,0,0.0,mixed
term_23_speech_000193,19969,2007-10-09,2007,10,Ensar Öğüt,Cumhuriyet Halk Partisi,opposition,816,1,0,0,0.0,mixed
term_23_speech_000209,19969,2007-10-09,2007,10,Saffet Kaya,Adalet ve Kalkınma Partisi,opposition,69,1,0,0,0.0,mixed
term_23_speech_000211,19969,2007-10-09,2007,10,Saffet Kaya,Adalet ve Kalkınma Partisi,opposition,19,1,0,0,0.0,mixed
term_23_speech_000212,19969,2007-10-09,2007,10,Saffet Kaya,Adalet ve Kalkınma Partisi,opposition,9,1,0,0,0.0,mixed
term_23_speech_000213,19969,2007-10-09,2007,10,Saffet Kaya,Adalet ve Kalkınma Partisi,opposition,33,1,0,0,0.0,mixed
term_23_speech_000226,19969,2007-10-09,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,257,1,2,2,0.0,mixed
term_23_speech_000228,19969,2007-10-09,2007,10,Enis Tütüncü,Cumhuriyet Halk Partisi,opposition,377,1,0,0,0.0,mixed
term_23_speech_000229,19971,2007-10-10,2007,10,Atilla Kart,Cumhuriyet Halk Partisi,opposition,1812,6,10,4,0.4,positive
term_23_speech_000232,19971,2007-10-10,2007,10,Oktay Vural,Milliyetçi Hareket Partisi,opposition,1978,7,8,11,-0.15,mixed
term_23_speech_000233,19971,2007-10-10,2007,10,Oktay Vural,Milliyetçi Hareket Partisi,opposition,132,2,0,0,0.0,mixed
term_23_speech_000235,19971,2007-10-10,2007,10,Bekir Bozdağ,Adalet ve Kalkınma Partisi,opposition,229,2,2,0,0.6667,positive
term_23_speech_000236,19971,2007-10-10,2007,10,Bekir Bozdağ,Adalet ve Kalkınma Partisi,opposition,107,1,0,0,0.0,mixed
term_23_speech_000237,19971,2007-10-10,2007,10,Ayhan Sefer Üstün,Adalet ve Kalkınma Partisi,opposition,126,2,1,3,-0.4,negative
term_23_speech_000240,19971,2007-10-10,2007,10,Ayhan Sefer Üstün,Adalet ve Kalkınma Partisi,opposition,264,3,0,11,-0.9167,negative
term_23_speech_000241,19971,2007-10-10,2007,10,Ayhan Sefer Üstün,Adalet ve Kalkınma Partisi,opposition,177,1,0,1,-0.5,negative
