speaker,party,community,community_label,total_mentions,pos_to_plus,pos_to_minus,neg_to_plus,neg_to_minus,reach_plus,reach_minus,positive_bridge_balance,signed_reach_balance,gatekeeper_score,cross_pressure
Yılmaz Tunç,Adalet ve Kalkınma Partisi,1,Pole +,502.0,7.7184540962446375,0.0,0.0,7.699165249981369,7.7184540962446375,7.699165249981369,0.0,0.49937445442033374,2.9747625729342584,0.0
Sacid Yıldız,Cumhuriyet Halk Partisi,-1,Pole -,142.0,0.0,9.442670994471513,8.765595740433994,0.0,8.765595740433994,9.442670994471513,0.0,0.4814074764814827,2.947631947328752,0.0
Hasan Macit,Demokratik Sol Parti,-1,Pole -,138.0,0.0,9.21190353379135,10.280379452273007,0.0,10.280379452273007,9.21190353379135,0.0,0.47259233512588733,2.9257928986518595,0.0
Abdullah Özer,Bağımsız,1,Pole +,68.0,7.105680599671098,0.0,0.0,7.186324726987752,7.105680599671098,7.186324726987752,0.0,0.49717869793399166,2.9240923738444877,0.0
Kemalettin Nalcı,Milliyetçi Hareket Partisi,-1,Pole -,57.0,0.0,7.163446764853996,6.870195336820615,0.0,6.870195336820615,7.163446764853996,0.0,0.48955184167845167,2.8703303312935096,0.0
Ensar Öğüt,Cumhuriyet Halk Partisi,1,Pole +,109.0,6.056906342185595,0.0,0.0,6.032973335735102,6.056906342185595,6.032973335735102,0.0,0.49901020489508174,2.8516175829280774,0.0
Suat Kılıç,Adalet ve Kalkınma Partisi,1,Pole +,484.0,7.40799058824968,0.0,0.0,8.120241817288212,7.40799058824968,8.120241817288212,0.0,0.477065927035628,2.845272844877708,0.0
Ayşe Türkmenoğlu,Adalet ve Kalkınma Partisi,1,Pole +,172.0,7.162315107240719,0.0,0.0,7.858845887107968,7.162315107240719,7.858845887107968,0.0,0.4768150151282271,2.827987535271644,0.0
Zeki Ertugay,Milliyetçi Hareket Partisi,0,Neutral,147.0,2.7195686613871866,0.6639642540369282,0.0,2.038581257485802,2.7195686613871866,2.7025455115227306,0.19623401646662225,0.49843021095476303,2.8182333264476216,0.0
Mustafa Çetin,Adalet ve Kalkınma Partisi,-1,Pole -,75.0,0.0,5.855816885552263,6.00239817925177,0.0,6.00239817925177,5.855816885552263,0.0,0.49381941995966117,2.8124320732330204,0.0
Ramazan Kerim Özkan,Cumhuriyet Halk Partisi,-1,Pole -,282.0,0.0,6.935250765918812,7.630065203696977,0.0,7.630065203696977,6.935250765918812,0.0,0.47614832248816674,2.8093995653849335,0.0
Ferit Mevlüt Aslanoğlu,Cumhuriyet Halk Partisi,-1,Pole -,636.0,0.0,6.964627820068129,7.770066680059104,0.0,7.770066680059104,6.964627820068129,0.0,0.47266862706487206,2.7943184715962643,0.0
Osman Ertuğrul,Milliyetçi Hareket Partisi,0,Neutral,63.0,3.053629265228819,0.8108658764092316,0.6366452418940998,2.459413342378281,3.6902745071229184,3.2702792187875125,0.20982452984937738,0.46983032486972637,2.7906017712378275,0.8969295205629595
Yılmaz Ateş,Cumhuriyet Halk Partisi,0,Neutral,90.0,0.8600548140156116,2.030680208902426,2.1519305434417104,0.810730346793721,3.011985357457322,2.8414105556961466,0.29752115185220696,0.48542941522640504,2.7871485419656805,1.1817205996686242
Nurettin Canikli,Adalet ve Kalkınma Partisi,1,Pole +,411.0,6.7288593056813095,0.0,0.0,7.560609941888541,6.7288593056813095,7.560609941888541,0.0,0.47089637750924596,2.769432963294073,0.0
Ülkü Güney,Adalet ve Kalkınma Partisi,1,Pole +,90.0,5.316861641466129,0.0,0.28417329428982524,5.432651692198213,5.601034935755955,5.432651692198213,0.0,0.4923695837021564,2.7688145266381303,0.2470132522721872
Alaattin Büyükkaya,Adalet ve Kalkınma Partisi,1,Pole +,76.0,6.110218904095927,0.0,0.0,6.648793712333038,6.110218904095927,6.648793712333038,0.0,0.4788943382459936,2.7623793230523366,0.0
Engin Altay,Cumhuriyet Halk Partisi,-1,Pole -,173.0,0.0,4.983224709199293,4.976353030789139,0.0,4.976353030789139,4.983224709199293,0.0,0.4996550215486609,2.758804575015568,0.0
Ali Temür,Adalet ve Kalkınma Partisi,-1,Pole -,50.0,0.0,7.679050172843296,6.738507037976656,0.0,6.738507037976656,7.679050172843296,0.0,0.46738202172364,2.7529236179855836,0.0
Güldal Akşit,Adalet ve Kalkınma Partisi,1,Pole +,49.0,8.535767638563131,0.0,0.0,7.270578411995912,8.535767638563131,7.270578411995912,0.0,0.4599784408287572,2.7515058291734995,0.0
