party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer
Cumhuriyet Halk Partisi,30383.100000000002,0.6775012633375437,0.4,0.4943855575030994,opposition,total
Adalet ve Kalkınma Partisi,29941.500000000004,0.5875551746260231,0.0,0.48234127199887383,opposition,total
Milliyetçi Hareket Partisi,26546.95,0.5876379775350689,0.0,0.48254276601090274,opposition,total
Bağımsız,25351.399999999998,0.6644320476185863,0.4,0.5075084940727912,opposition,total
Demokratik Sol Parti,359.90000000000003,0.42207715891157666,0.0,0.16113829163077623,opposition,total
Demokrat Parti,12.4,0.31726874888219864,0.0,0.08094366092343373,opposition,total
Adalet ve Kalkınma Partisi,8432.04642,0.3895921856096731,0.4,0.4716207926371023,opposition,positive
Cumhuriyet Halk Partisi,5752.67053,0.3874053151163537,0.0,0.5363878468601271,opposition,positive
Bağımsız,4994.0712,0.33049002491437035,0.0,0.40449725208689263,opposition,positive
Milliyetçi Hareket Partisi,4710.4252,0.4271467045862804,0.6000000000000001,0.5420241441390112,opposition,positive
Demokratik Sol Parti,56.04437,0.29080166903560123,0.0,0.17675584137354491,opposition,positive
Demokrat Parti,3.0250000000000004,0.13456903197505052,0.0,0.034800552552563015,opposition,positive
Cumhuriyet Halk Partisi,5655.685260000001,0.6028045160471777,0.0,0.48302049619306153,opposition,negative
Milliyetçi Hareket Partisi,5324.497895,0.5975652159918747,0.0,0.4789043502692235,opposition,negative
Bağımsız,4200.169320000001,0.6901343013513707,0.4,0.5157144481212322,opposition,negative
Adalet ve Kalkınma Partisi,3246.2295200000003,0.6885391206646057,0.4,0.4890111880291033,opposition,negative
Demokratik Sol Parti,97.90579000000001,0.42759433562511423,0.0,0.157611392107867,opposition,negative
Demokrat Parti,0.675,0.3336398789035396,0.0,0.0860647349953482,opposition,negative
