party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,year
Adalet ve Kalkınma Partisi,3647.9500000000003,0.4312603528170742,0.0,0.27662003411659986,opposition,total,2007
Cumhuriyet Halk Partisi,2399.1500000000005,0.5540716834036549,0.0,0.5122166440539215,opposition,total,2007
Bağımsız,2269.6499999999996,0.649426290444793,0.5,0.53519208172048,opposition,total,2007
Milliyetçi Hareket Partisi,2244.0,0.6469998341573633,0.5,0.5982795292289662,opposition,total,2007
Demokratik Sol Parti,12.1,0.3313121715637168,0.0,0.1294082951310885,opposition,total,2007
Adalet ve Kalkınma Partisi,7666.299999999999,0.680564062900462,0.2,0.5570380654799754,opposition,total,2008
Cumhuriyet Halk Partisi,7395.1,0.5997059167888847,0.2,0.47415680433303276,opposition,total,2008
Bağımsız,6903.549999999999,0.5904917283448813,0.4,0.35071954303677405,opposition,total,2008
Milliyetçi Hareket Partisi,6637.25,0.5352730256753174,0.1,0.4728807582594178,opposition,total,2008
Demokratik Sol Parti,97.5,0.46912186515267174,0.0,0.33857244436001754,opposition,total,2008
Demokrat Parti,10.05,0.29890379631563435,0.0,0.060267810904080496,opposition,total,2008
Adalet ve Kalkınma Partisi,6284.399999999999,0.9332245839098432,0.8333333333333333,0.627972118745517,opposition,total,2009
Cumhuriyet Halk Partisi,5819.25,0.6321256873997672,0.0,0.49035556702955907,opposition,total,2009
Milliyetçi Hareket Partisi,5577.100000000001,0.6336685297016075,0.0,0.4913234083743073,opposition,total,2009
Bağımsız,3223.6,0.52568318393814,0.0,0.25293532307110667,opposition,total,2009
Demokratik Sol Parti,48.65,0.5179715933221016,0.0,0.24459653858498182,opposition,total,2009
Bağımsız,10632.400000000001,0.29286530303712827,0.0,0.3854770275372502,opposition,total,2010
Cumhuriyet Halk Partisi,10532.55,0.35891130253816933,0.6000000000000001,0.612721983156341,opposition,total,2010
Adalet ve Kalkınma Partisi,10191.9,0.33414651801010953,0.4,0.40562760287973,opposition,total,2010
Milliyetçi Hareket Partisi,8809.900000000001,0.31463753093152236,0.0,0.4091867709968614,opposition,total,2010
Demokratik Sol Parti,191.9,0.29007925121679085,0.0,0.37898966213859525,opposition,total,2010
Demokrat Parti,2.35,0.1012469663373816,0.0,0.019455148760321082,opposition,total,2010
Cumhuriyet Halk Partisi,4237.05,0.5416683449871698,0.0,0.5209917992332813,opposition,total,2011
Milliyetçi Hareket Partisi,3278.7000000000003,0.41995545478011603,0.0,0.26793731636453433,opposition,total,2011
Bağımsız,2322.2000000000003,0.6242641108152353,0.5,0.5319209705442959,opposition,total,2011
Adalet ve Kalkınma Partisi,2150.95,0.6260104789281473,0.5,0.6017674003549789,opposition,total,2011
Demokratik Sol Parti,9.749999999999998,0.3014693579363916,0.0,0.1082276147582702,opposition,total,2011
Adalet ve Kalkınma Partisi,1363.3628749999998,0.39483414911889253,0.0,0.1622327265152171,opposition,positive,2007
Bağımsız,664.35631,0.5144522911469305,0.0,0.521296669287209,opposition,positive,2007
Cumhuriyet Halk Partisi,578.3607,0.6893319520147074,0.6666666666666666,0.5939689293985257,opposition,positive,2007
Milliyetçi Hareket Partisi,360.95127499999995,0.5671161316996493,0.5,0.32460747902039255,opposition,positive,2007
Demokratik Sol Parti,0.675,0.48255141899606957,0.0,0.4937218047754177,opposition,positive,2007
Adalet ve Kalkınma Partisi,2096.612955,0.44179034872123857,0.0,0.5385869435324939,opposition,positive,2008
Cumhuriyet Halk Partisi,1490.0994049999997,0.44038947936918144,0.4,0.46839003960449815,opposition,positive,2008
Bağımsız,1349.61793,0.3182077291150035,0.0,0.1719822895295566,opposition,positive,2008
Milliyetçi Hareket Partisi,1302.36302,0.48874762917892894,0.6000000000000001,0.5437925784929425,opposition,positive,2008
Demokratik Sol Parti,38.14409,0.3693030929855939,0.0,0.40412021430297757,opposition,positive,2008
