term,event_label,event_slug,event_month,stage,party,mentions,agenda_share,balance,negative_rate,positive_rate,position
24,17-25 December rupture,17_25_december_rupture,2013-12,pre,Adalet ve Kalkınma Partisi,230.0,0.3795379537953795,0.21354166666666666,0.32608695652173914,0.5043478260869565,0.7083303718711951
24,17-25 December rupture,17_25_december_rupture,2013-12,pre,Cumhuriyet Halk Partisi,200.0,0.33003300330033003,-0.23469387755102042,0.3,0.185,-1.1834662952862156
24,17-25 December rupture,17_25_december_rupture,2013-12,pre,Milliyetçi Hareket Partisi,119.0,0.19636963696369636,0.05714285714285714,0.13445378151260504,0.15126050420168066,-0.8712347067126622
24,17-25 December rupture,17_25_december_rupture,2013-12,pre,Halkların Demokratik Partisi,34.0,0.056105610561056105,0.7169811320754716,0.20588235294117646,1.3235294117647058,0.3238240182004383
24,17-25 December rupture,17_25_december_rupture,2013-12,pre,Bağımsız,23.0,0.037953795379537955,0.48,0.2608695652173913,0.782608695652174,1.151878508304144
24,17-25 December rupture,17_25_december_rupture,2013-12,shock,Adalet ve Kalkınma Partisi,1190.0,0.5406633348477965,0.5615141955835962,0.17478991596638654,0.6235294117647059,1.5806571016048991
24,17-25 December rupture,17_25_december_rupture,2013-12,shock,Cumhuriyet Halk Partisi,453.0,0.20581553839164016,0.052083333333333336,0.30022075055187636,0.3333333333333333,0.017106355779521278
24,17-25 December rupture,17_25_december_rupture,2013-12,shock,Milliyetçi Hareket Partisi,375.0,0.1703771013175829,-0.14112903225806453,0.376,0.2826666666666667,-0.30115265205965447
24,17-25 December rupture,17_25_december_rupture,2013-12,shock,Halkların Demokratik Partisi,93.0,0.04225352112676056,-0.01020408163265306,0.5268817204301075,0.5161290322580645,-0.15691667721394142
24,17-25 December rupture,17_25_december_rupture,2013-12,shock,Bağımsız,90.0,0.0408905043162199,0.5405405405405406,0.08888888888888889,0.3111111111111111,1.513487236578157
24,17-25 December rupture,17_25_december_rupture,2013-12,post,Milliyetçi Hareket Partisi,412.0,0.43783209351753455,-0.12341772151898735,0.42961165048543687,0.33495145631067963,-0.8960591461597861
24,17-25 December rupture,17_25_december_rupture,2013-12,post,Cumhuriyet Halk Partisi,273.0,0.29011689691817216,0.09659090909090909,0.2893772893772894,0.3516483516483517,0.030567095348551187
24,17-25 December rupture,17_25_december_rupture,2013-12,post,Adalet ve Kalkınma Partisi,185.0,0.19659936238044634,0.34532374100719426,0.24324324324324326,0.5027027027027027,1.4158026050780785
24,17-25 December rupture,17_25_december_rupture,2013-12,post,Halkların Demokratik Partisi,48.0,0.05100956429330499,-0.12903225806451613,0.3541666666666667,0.2708333333333333,0.15897322717159165
24,17-25 December rupture,17_25_december_rupture,2013-12,post,Bağımsız,23.0,0.024442082890541977,-0.2222222222222222,0.6956521739130435,0.43478260869565216,-0.779506228516143
