year,party,position,party_short
2011,Adalet ve Kalkınma Partisi,1.0681062738910676,AKP
2011,Bağımsız,0.055986355319100456,IND
2011,Cumhuriyet Halk Partisi,0.08336441379155979,CHP
2011,Halkların Demokratik Partisi,-1.9782888576864628,HDP
2011,Milliyetçi Hareket Partisi,0.8320349786314236,MHP
2012,Adalet ve Kalkınma Partisi,1.1289078837861923,AKP
2012,Bağımsız,-0.21852419904741732,IND
2012,Cumhuriyet Halk Partisi,-0.11715079833825014,CHP
2012,Halkların Demokratik Partisi,-2.050403807967188,HDP
2012,Milliyetçi Hareket Partisi,-0.04153357706914255,MHP
2013,Adalet ve Kalkınma Partisi,4.209518865633283,AKP
2013,Bağımsız,-0.8224853323137946,IND
2013,Cumhuriyet Halk Partisi,-0.5528358696150466,CHP
2013,Halkların Demokratik Partisi,-0.9628639799131714,HDP
2013,Milliyetçi Hareket Partisi,0.27903593474288674,MHP
2014,Adalet ve Kalkınma Partisi,3.2068894598731887,AKP
2014,Bağımsız,-0.8557242291467454,IND
2014,Cumhuriyet Halk Partisi,-0.3773623856614955,CHP
2014,Halkların Demokratik Partisi,-1.5857957658209654,HDP
2014,Milliyetçi Hareket Partisi,-0.9480949900840401,MHP
2015,Adalet ve Kalkınma Partisi,2.8725383736619907,AKP
2015,Bağımsız,0.8946403078478793,IND
2015,Cumhuriyet Halk Partisi,-2.1147249619519974,CHP
2015,Halkların Demokratik Partisi,-1.518031177189319,HDP
2015,Milliyetçi Hareket Partisi,-0.48720291537353794,MHP
