party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,2720,10575,2500,2674,12385.9,12385.9,-0.0336231884057971,total
Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,1775,7528,5004,1941,9958.75,9958.75,0.4409732219982724,total
Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,1703,6348,2144,2170,7857.9,7857.9,-0.006025492468134415,total
Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,1445,6048,1577,1775,7221.2,7221.2,-0.05905159558604235,total
Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,2152,5786,1709,1266,6827.25,6827.25,0.14885752688172044,total
Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,1417,4961,1578,1699,6107.95,6107.95,-0.03691275167785235,total
Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1548,4290,1339,1530,5294.15,5294.15,-0.06655052264808363,total
Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,1824,4057,790,1748,4945.3,4945.3,-0.3773139031114612,total
Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1632,4447,715,634,4919.15,4919.15,0.06,total
Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,1340,3987,977,1637,4901.9,4901.9,-0.25239005736137665,total
Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,1573,3778,1278,834,4517.2,4517.2,0.21012778040700425,total
Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,728,3009,912,820,3615.2,3615.2,0.05308713214079631,total
Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,863,2862,1085,941,3571.1,3571.1,0.0710409472126295,total
Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,1175,2732,1282,527,3365.15,3365.15,0.4171270718232044,total
