layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,year
total,5,12,60,5,24,0.5,0.36363636363636365,,0.58719255314699,0.2333333333333333,0.47193982941728274,0.11515151515151516,1.7675682347627373,2.211584172383954,2011
total,5,12,60,5,24,0.5,0.36363636363636365,,0.5914927805246134,0.2333333333333333,0.5106456093598553,0.09696969696969697,1.7538512678138578,2.062517297724677,2012
total,5,12,59,5,24,0.5,0.36363636363636365,,0.5828712133882953,0.2333333333333333,0.5037668259222949,0.09696969696969697,1.7805131040949942,2.0502242730871,2013
total,5,12,59,5,24,0.5,0.36363636363636365,,0.6268120482747285,0.2,0.509462545146595,0.09545454545454546,1.6688773956466196,2.0392098684329953,2014
total,5,12,60,5,24,0.5,0.36363636363636365,,0.6214770668462498,0.2,0.5136380625495051,0.09696969696969697,1.682441555071287,2.049916222983563,2015
positive,5,11,45,5,20,0.5,0.36363636363636365,,0.6383190359770344,0.16666666666666666,0.4754329778635001,0.12323232323232326,1.6332918785821413,2.2035988351249265,2011
positive,5,12,53,5,24,0.5,0.36363636363636365,,0.5804671693107383,0.2333333333333333,0.46736375605978897,0.10909090909090909,1.7895347693984451,2.250442146672579,2012
positive,5,12,49,5,24,0.5,0.36363636363636365,,0.6265136980539252,0.16666666666666666,0.4744193398214409,0.10606060606060604,1.662403848054981,2.2248734781743202,2013
positive,5,12,52,5,24,0.5,0.36363636363636365,,0.5924498619238145,0.2,0.4487283052189894,0.11818181818181817,1.775169334317912,2.323007912341799,2014
positive,5,11,49,5,20,0.5,0.36363636363636365,,0.5515216261912254,0.2333333333333333,0.4542640565740752,0.11717171717171718,1.8942344807392744,2.3222236531380474,2015
negative,5,12,57,5,24,0.5,0.36363636363636365,,0.6185348752811495,0.2,0.36948282364144314,0.16666666666666666,1.659905840122288,2.7738289328329655,2011
negative,5,12,57,5,24,0.5,0.36363636363636365,,0.6653899626061424,0.16666666666666666,0.48068051311078425,0.10454545454545455,1.5690783798965096,2.199603549898472,2012
negative,5,12,56,5,24,0.5,0.36363636363636365,,0.6154030451513112,0.2,0.46533990046129076,0.11363636363636363,1.7037990135427656,2.284234818426213,2013
negative,5,12,57,5,24,0.5,0.36363636363636365,,0.6761489711312251,0.16666666666666666,0.5090412831820157,0.09545454545454546,1.5425699037592857,2.066931991240721,2014
negative,5,12,51,5,24,0.5,0.36363636363636365,,0.5725479369919024,0.2333333333333333,0.449647749972758,0.11363636363636363,1.813588000239197,2.412038293400897,2015
