speaker,party,total_mentions,community,community_label,eigen_score,embed1,embed2
Ahmet Aydın,Adalet ve Kalkınma Partisi,98,0,Neutral,-0.06469650802311774,-0.09043835646866026,0.2137469554278125
Bülent Arınç,Adalet ve Kalkınma Partisi,49,0,Neutral,-0.1237489046303387,-0.22586173550485805,0.5835678466739599
Engin Altay,Adalet ve Kalkınma Partisi,20,1,Pole +,0.32932794912152635,0.7911523910586614,-0.46763839090158094
Levent Gök,Cumhuriyet Halk Partisi,50,0,Neutral,-0.08408359834173382,-0.10357435134397165,-0.44530110483259155
Mehmet Doğan Kubat,Adalet ve Kalkınma Partisi,27,1,Pole +,0.2349568245833993,0.5944238524418116,-0.6817422824256606
Mithat Sancar,Halkların Demokratik Partisi,8,-1,Pole -,-0.4209502977405092,-0.839839140564473,-0.28636242070221046
Murat Özçelik,Adalet ve Kalkınma Partisi,71,0,Neutral,0.10114144341013044,0.20200865313596533,0.5946149763611916
Oktay Vural,Milliyetçi Hareket Partisi,63,-1,Pole -,-0.2573371142935422,-0.5000561981038701,-0.26875234362830747
Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,69,0,Neutral,0.021827766628859935,0.06875627642715125,0.3070526642117497
Sırrı Süreyya Önder,Halkların Demokratik Partisi,27,1,Pole +,0.28498728763827263,0.674366205827308,0.08780622023702735
Yıldırım Tuğrul Türkeş,Adalet ve Kalkınma Partisi,13,-1,Pole -,-0.42367346830317404,-0.8433341533734642,-0.2863159871242826
Ümit Özdağ,Milliyetçi Hareket Partisi,49,-1,Pole -,-0.39238485060035594,-0.7818117982014375,-0.3057928008337793
İdris Baluken,Halkların Demokratik Partisi,27,0,Neutral,-0.040478601098725066,-0.05735930004603592,0.8648262887987269
İsmet Yılmaz,Adalet ve Kalkınma Partisi,27,1,Pole +,0.35074085181333425,0.818210451296542,-0.2905849047536494
Şirin Ünal,Adalet ve Kalkınma Partisi,20,0,Neutral,0.1276747030612968,0.2933572034193311,0.38087528349159394
