year,party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
2015,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,35,166,42,81,209.05,209.05,-0.31451612903225806,total
2015,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,7,72,74,21,105.25,105.25,0.5520833333333334,total
2015,Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,11,76,20,40,97.0,97.0,-0.32786885245901637,total
2015,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,19,60,42,15,79.95,79.95,0.46551724137931033,total
2015,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,8,34,6,32,47.3,47.3,-0.6666666666666666,total
2015,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,16,36,17,10,45.45,45.45,0.25,total
2015,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,12,38,9,3,42.2,42.2,0.46153846153846156,total
2015,Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,9,23,10,4,27.9,27.9,0.4,total
2015,Halkların Demokratik Partisi,constitution,Anayasa,constitutional_conflict,4,22,0,7,24.45,24.45,-0.875,total
2015,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,3,14,19,3,21.7,21.7,0.6956521739130435,total
2015,Halkların Demokratik Partisi,security,Guvenlik,security_conflict,8,15,2,14,20.6,20.6,-0.7058823529411765,total
2015,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,10,14,5,7,18.2,18.2,-0.15384615384615385,total
2015,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,8,13,9,3,17.2,17.2,0.46153846153846156,total
2015,Milliyetçi Hareket Partisi,democracy,Demokrasi,democratic_reform,6,13,1,3,14.4,14.4,-0.4,total
2015,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,7,11,5,1,13.1,13.1,0.5714285714285714,total
2015,Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,7,10,4,3,12.45,12.45,0.125,total
2015,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,9,12,1,0,12.35,12.35,0.5,total
2015,Milliyetçi Hareket Partisi,constitution,Anayasa,constitutional_conflict,6,8,0,0,8.0,8.0,0.0,total
2015,Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,4,5,0,2,5.7,5.7,-0.6666666666666666,total
2015,Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,2,3,1,4,4.75,4.75,-0.5,total
2015,Halkların Demokratik Partisi,economy,Ekonomi,macro_economy,2,3,3,2,4.75,4.75,0.16666666666666666,total
2015,Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,4,4,1,1,4.7,4.7,0.0,total
2015,Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,2,3,1,2,4.05,4.05,-0.25,total
2015,Milliyetçi Hareket Partisi,sovereignty,Egemenlik,security_conflict,2,2,0,0,2.0,2.0,0.0,total
2015,Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,1,1,2,0,1.7,1.7,0.6666666666666666,total
2015,Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,1,1,1,0,1.35,1.35,0.5,total
2015,Cumhuriyet Halk Partisi,sovereignty,Egemenlik,security_conflict,1,1,0,0,1.0,1.0,0.0,total
2015,Halkların Demokratik Partisi,european_union,Avrupa Birligi,democratic_reform,1,1,0,0,1.0,1.0,0.0,total
2015,Halkların Demokratik Partisi,sovereignty,Egemenlik,security_conflict,1,1,0,0,1.0,1.0,0.0,total
2015,Milliyetçi Hareket Partisi,european_union,Avrupa Birligi,democratic_reform,1,1,0,0,1.0,1.0,0.0,total
2015,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,4,67,73,16,98.15,57.80535,0.6333333333333333,positive
2015,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,8,36,38,8,52.1,28.011259999999996,0.6382978723404256,positive
2015,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,4,33,16,6,40.7,16.333295,0.43478260869565216,positive
2015,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,3,14,19,3,21.7,13.78089,0.6956521739130435,positive
2015,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,4,15,14,4,21.299999999999997,10.13589,0.5263157894736842,positive
2015,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,3,20,9,3,24.200000000000003,9.32022,0.46153846153846156,positive
2015,Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,4,12,8,2,15.5,6.9875,0.5454545454545454,positive
2015,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,3,7,6,0,9.1,6.345889999999999,0.8571428571428571,positive
2015,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,2,6,5,0,7.75,5.504289999999999,0.8333333333333334,positive
2015,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,2,6,5,0,7.75,4.895,0.8333333333333334,positive
2015,Milliyetçi Hareket Partisi,democracy,Demokrasi,democratic_reform,1,3,1,0,3.35,1.675,0.5,positive
2015,Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,2,2,3,1,3.4,1.1875,0.4,positive
2015,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,2,1,0,2.35,1.175,0.5,positive
2015,Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,1,1,2,0,1.7,1.13339,0.6666666666666666,positive
2015,Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,1,1,1,0,1.35,0.675,0.5,positive
2015,Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,1,1,1,0,1.35,0.675,0.5,positive
2015,Halkların Demokratik Partisi,economy,Ekonomi,macro_economy,1,1,1,0,1.35,0.675,0.5,positive
2015,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,10,62,7,48,81.25,51.434545,-0.7321428571428571,negative
2015,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,5,25,0,23,33.05,27.43615,-0.9583333333333334,negative
2015,Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,6,58,14,32,74.1,24.01911,-0.3829787234042553,negative
2015,Halkların Demokratik Partisi,security,Guvenlik,security_conflict,2,6,1,13,10.9,8.178435,-0.8,negative
2015,Halkların Demokratik Partisi,constitution,Anayasa,constitutional_conflict,2,5,0,7,7.45,5.9248650000000005,-0.875,negative
2015,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,6,6,0,7,8.450000000000001,4.50839,-0.875,negative
2015,Milliyetçi Hareket Partisi,democracy,Demokrasi,democratic_reform,3,7,0,3,8.05,4.025,-0.75,negative
2015,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,1,2,0,4,3.4,2.72,-0.8,negative
2015,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,2,5,2,5,7.45,2.6725000000000003,-0.375,negative
2015,Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,2,3,1,4,4.75,2.31259,-0.5,negative
2015,Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,1,2,0,2,2.7,1.80009,-0.6666666666666666,negative
2015,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,1,3,1,3,4.4,1.7600000000000002,-0.4,negative
2015,Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,1,1,0,1,1.35,0.675,-0.5,negative
2015,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,1,1,0,1,1.35,0.675,-0.5,negative
2015,Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,1,1,1,2,2.05,0.5125,-0.25,negative
2015,Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,1,1,1,2,2.05,0.5125,-0.25,negative
