concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer,year
Ekonomi,1250.5,0.5881561584022598,0.10909090909090909,0.3564057054492853,macro_economy,total,2015
Guvenlik,1101.65,0.5525024464727385,0.18181818181818182,0.3706558671239284,security_conflict,total,2015
Hukuk Devleti,755.55,0.5928097126965501,0.05454545454545454,0.4135182397359003,democratic_reform,total,2015
Demokrasi,363.95000000000005,0.37156146112037397,0.0,0.08101849422113659,democratic_reform,total,2015
Anayasa,236.5,0.545515417434118,0.32727272727272727,0.3260438615644969,constitutional_conflict,total,2015
Faiz,193.2,0.6645620208044523,0.2909090909090909,0.45393161741151056,macro_economy,total,2015
Reform,167.15,0.49911241084361085,0.18181818181818182,0.24153790192394345,democratic_reform,total,2015
Enflasyon,86.4,0.3529861707006029,0.0,0.0702330364367772,macro_economy,total,2015
Avrupa Birligi,28.200000000000003,0.42587579940008286,0.0,0.22591147543523,democratic_reform,total,2015
Egemenlik,21.8,0.555433965322616,0.0,0.35168559899696766,security_conflict,total,2015
Vesayet,21.7,0.358742795267494,0.0,0.07611511122876517,constitutional_conflict,total,2015
IMF,13.35,0.32443318935453386,0.0,0.043403391969446106,macro_economy,total,2015
Guvenlik,16657.65,0.5088912111903285,0.01818181818181818,0.41331575180339114,security_conflict,total,2016
Hukuk Devleti,14774.800000000001,0.39601377431470175,0.0,0.08643321307386533,democratic_reform,total,2016
Ekonomi,11582.050000000001,0.4856723725577023,0.0,0.3509913245562598,macro_economy,total,2016
Demokrasi,6994.15,0.4059465700217221,0.18181818181818182,0.08737216523629035,democratic_reform,total,2016
Anayasa,6547.9000000000015,0.5301470109814254,0.3818181818181818,0.1550242315022371,constitutional_conflict,total,2016
Avrupa Birligi,1289.2,0.5301943136526635,0.0,0.15505119922350194,democratic_reform,total,2016
Reform,1000.8000000000001,0.47999395132578254,0.0,0.34554466776807585,democratic_reform,total,2016
Faiz,906.7,0.5298527135645654,0.2545454545454545,0.44220671772527137,macro_economy,total,2016
Vesayet,823.3999999999999,0.2910363414578597,0.0,0.018011353867174295,constitutional_conflict,total,2016
Egemenlik,427.55,0.6236540495095804,0.5454545454545454,0.39881322137732417,security_conflict,total,2016
Enflasyon,349.35,0.3667165641197102,0.0,0.17543931026814216,macro_economy,total,2016
IMF,129.4,0.41032417551570505,0.01818181818181818,0.371071357636814,macro_economy,total,2016
Hukuk Devleti,9763.699999999999,0.5724353978895446,0.16363636363636364,0.3933134728136672,democratic_reform,total,2017
Ekonomi,8692.000000000002,0.6923449914351932,0.509090909090909,0.39755785658570897,macro_economy,total,2017
Guvenlik,6879.45,0.6472386459971459,0.09090909090909091,0.4315440514975524,security_conflict,total,2017
Anayasa,6377.7,0.572833191966707,0.0,0.39586852015509366,constitutional_conflict,total,2017
Demokrasi,3981.6000000000004,0.38547394307731386,0.0,0.15087040798398849,democratic_reform,total,2017
Reform,676.45,0.4946200243465172,0.0,0.1981227560237737,democratic_reform,total,2017
Faiz,650.9000000000001,0.5131729006951384,0.18181818181818182,0.20058963748860287,macro_economy,total,2017
Enflasyon,599.95,0.34647148677169787,0.0,0.03916977203883147,macro_economy,total,2017
Vesayet,483.6,0.44268351470559963,0.18181818181818182,0.07409495123705671,constitutional_conflict,total,2017
Avrupa Birligi,422.0,0.5549653024792741,0.05454545454545454,0.3771088814636611,democratic_reform,total,2017
Egemenlik,255.45000000000002,0.4703648274786682,0.0,0.3043524717022083,security_conflict,total,2017
IMF,65.9,0.30920692829044333,0.0,0.01391156567718518,macro_economy,total,2017
Hukuk Devleti,2837.3499999999995,0.5809579658827605,0.0,0.4106368359196904,democratic_reform,total,2018
Ekonomi,2620.55,0.5888762491975714,0.36363636363636365,0.4105278061745291,macro_economy,total,2018
Guvenlik,2562.75,0.3193999953931793,0.0,0.0110260546983695,security_conflict,total,2018
Demokrasi,1588.3000000000002,0.4611020170987488,0.0,0.37151156224728016,democratic_reform,total,2018
Anayasa,1541.55,0.5846186204294005,0.0,0.41236836511763586,constitutional_conflict,total,2018
Faiz,284.15000000000003,0.4617226545461937,0.0,0.3733201564328242,macro_economy,total,2018
Reform,248.00000000000003,0.4374780811782646,0.32727272727272727,0.04821397272262923,democratic_reform,total,2018
Enflasyon,165.45,0.37060464743828175,0.0,0.04302722350563257,macro_economy,total,2018
Vesayet,135.14999999999998,0.31914118471949526,0.0,0.011005531408392933,constitutional_conflict,total,2018
Egemenlik,131.9,0.4826919147417058,0.18181818181818182,0.3828914729747027,security_conflict,total,2018
Avrupa Birligi,106.45,0.586978226010878,0.5636363636363636,0.24450079125299173,democratic_reform,total,2018
IMF,11.7,0.3268416179262029,0.0,0.06784334144916192,macro_economy,total,2018
Ekonomi,360.97751,0.4258009199814792,0.05555555555555555,0.4644357241806,macro_economy,positive,2015
Guvenlik,117.217845,0.3930992592633386,0.0,0.38762249175354746,security_conflict,positive,2015
Hukuk Devleti,100.50649499999999,0.41435206023497684,0.16666666666666666,0.13658210770106977,democratic_reform,positive,2015
Demokrasi,69.77486999999999,0.4024996588351872,0.0,0.11626965331178764,democratic_reform,positive,2015
Anayasa,31.47903,0.5610444767969714,0.5833333333333333,0.2503405444703036,constitutional_conflict,positive,2015
Faiz,29.027699999999996,0.5610444767969714,0.5555555555555556,0.5172238240478564,macro_economy,positive,2015
Reform,25.02528,0.4073242809832086,0.0,0.4111500039572129,democratic_reform,positive,2015
Enflasyon,20.23144,0.36568666432349367,0.0,0.2662028455797259,macro_economy,positive,2015
Avrupa Birligi,5.17509,0.3166209538692316,0.0,0.08502636194556579,democratic_reform,positive,2015
Egemenlik,4.762589999999999,0.42429039826806547,0.027777777777777776,0.15667265946382936,security_conflict,positive,2015
Ekonomi,3073.9259249999996,0.49190080174927053,0.0,0.40488790037621747,macro_economy,positive,2016
Hukuk Devleti,2727.2751200000002,0.38082528526139936,0.0,0.08414256904958378,democratic_reform,positive,2016
Guvenlik,1944.96366,0.6317676431739465,0.4727272727272727,0.4192147024604196,security_conflict,positive,2016
Demokrasi,1395.0386199999998,0.3761583284804088,0.0,0.08234711620920633,democratic_reform,positive,2016
Anayasa,1140.90875,0.5274389630385103,0.43636363636363634,0.2200229289074574,constitutional_conflict,positive,2016
