party,pre_gatekeeper,post_gatekeeper,delta_gatekeeper,term,event_month,event_label
Adalet ve Kalkınma Partisi,1.7795050269035542,0.9716840723417668,-0.8078209545617874,27,2020-11,Albayrak resignation
Bağımsız,0.0,0.2357640656159916,0.2357640656159916,27,2020-11,Albayrak resignation
Büyük Birlik Partisi,0.0,2.0580336506620447,2.0580336506620447,27,2020-11,Albayrak resignation
Cumhuriyet Halk Partisi,1.528994590399066,1.1021884510782722,-0.4268061393207938,27,2020-11,Albayrak resignation
Demokrat Parti,0.0,0.8848265258517657,0.8848265258517657,27,2020-11,Albayrak resignation
Halkların Demokratik Partisi,1.7408511259378336,0.6673860613782646,-1.073465064559569,27,2020-11,Albayrak resignation
Milliyetçi Hareket Partisi,1.5520160120300446,1.3257131656034478,-0.22630284642659682,27,2020-11,Albayrak resignation
Saadet Partisi,0.0,0.7333381317326155,0.7333381317326155,27,2020-11,Albayrak resignation
Türkiye İşçi Partisi,0.0,0.27290973587678646,0.27290973587678646,27,2020-11,Albayrak resignation
İYİ Parti,1.4999606634755633,1.558470290465398,0.05850962698983464,27,2020-11,Albayrak resignation
Adalet ve Kalkınma Partisi,0.9039938046230981,1.4039401414933237,0.4999463368702256,27,2022-01,FX crisis
Bağımsız,0.0,2.5278852367459823,2.5278852367459823,27,2022-01,FX crisis
Büyük Birlik Partisi,1.4321523809642067,0.0,-1.4321523809642067,27,2022-01,FX crisis
Cumhuriyet Halk Partisi,1.1716691279730294,1.4621699664449246,0.29050083847189523,27,2022-01,FX crisis
Demokrat Parti,0.6927670172519128,1.2085385950936953,0.5157715778417825,27,2022-01,FX crisis
Halkların Demokratik Partisi,0.7673500557849695,1.4366880341929091,0.6693379784079396,27,2022-01,FX crisis
Milliyetçi Hareket Partisi,1.187668693929892,1.4982924240584634,0.3106237301285715,27,2022-01,FX crisis
Saadet Partisi,1.998987248135887,2.19113995455854,0.19215270642265292,27,2022-01,FX crisis
Türkiye İşçi Partisi,0.0,1.3611693130253673,1.3611693130253673,27,2022-01,FX crisis
İYİ Parti,1.4993090023034434,1.5593416268252105,0.06003262452176705,27,2022-01,FX crisis
Adalet ve Kalkınma Partisi,1.5931141365302404,0.0,-1.5931141365302404,27,2023-05,Election
Cumhuriyet Halk Partisi,1.3358392438439017,0.0,-1.3358392438439017,27,2023-05,Election
Demokrat Parti,1.9768426299241115,0.0,-1.9768426299241115,27,2023-05,Election
Halkların Demokratik Partisi,1.0020754639989302,0.0,-1.0020754639989302,27,2023-05,Election
Milliyetçi Hareket Partisi,1.6893726203530404,0.0,-1.6893726203530404,27,2023-05,Election
Türkiye İşçi Partisi,0.0,0.0,0.0,27,2023-05,Election
İYİ Parti,1.224547709088458,0.0,-1.224547709088458,27,2023-05,Election
