party,avg_gatekeeper_score,median_gatekeeper_score,avg_cross_pressure,n_speakers
Demokrat Parti,1.832405555785074,1.832405555785074,0.0,2
Türkiye İşçi Partisi,1.7151632028843202,2.3538690958543764,0.0,3
Halkların Demokratik Partisi,1.1848486676765617,1.2432465655851324,0.026277287392232014,54
İYİ Parti,0.7554470849485606,0.0,0.0,34
Adalet ve Kalkınma Partisi,0.6887989154228056,0.0,0.0,94
Cumhuriyet Halk Partisi,0.5242225647479791,0.0,0.011330147256112737,120
Milliyetçi Hareket Partisi,0.09999470075108827,0.0,0.0,35
Bağımsız,0.0,0.0,0.0,2
Büyük Birlik Partisi,0.0,0.0,0.0,1
Saadet Partisi,0.0,0.0,0.0,1
