party,center,left,right,n_years,ideology_ref,boot_q10,boot_q25,boot_median,boot_q75,boot_q90,boot_std
Halkların Demokratik Partisi,-1.688399882566394,-2.5635842037339662,-0.9630015692424528,6,-2.0,-1.8313231913808696,-1.7637510290820733,-1.6466144239393792,-1.5591447823824356,-1.4654074435875524,0.1474417618054849
Türkiye İşçi Partisi,-1.2455676507438973,-2.773246228693117,-0.5932775578343716,6,-1.5,-2.4526275421311197,-2.121972399208798,-1.6657955126934323,-1.1327544635836762,-0.5939780572597974,0.7726426999536963
Bağımsız,-1.1551977989792892,-1.7462946437847269,0.06169774678453438,5,0.0,-1.6462303604414696,-1.385827527915153,-1.0444379350281192,-0.7709990322846869,-0.47993834827621157,0.4385155491419284
Cumhuriyet Halk Partisi,-0.3764404091349254,-0.781169221329227,-0.052562601959523475,6,-1.0,-0.5415857470273211,-0.4495434348298625,-0.3232540592422844,-0.20236888465640585,-0.0906861946943842,0.1743571392036578
Demokrat Parti,-0.3644269848101335,-1.6837856413127874,1.0534140262648126,6,0.2,-1.8194589842094382,-1.502025758089186,-1.0203397994310588,-0.6001436789839749,-0.2388153148536339,0.6433828870473224
Saadet Partisi,-0.06697760708998632,-1.7343121848383214,0.7225510783090858,5,0.2,-0.8899103337889095,-0.6590812548467571,-0.37136452999063235,-0.07872357096766396,0.14581873911371004,0.41914023027493424
Büyük Birlik Partisi,0.10931569616238791,-1.160214534583958,2.6912642623440934,5,1.0,-0.1448642910385999,0.4103434213275279,1.3966264958947991,2.375735579408347,3.0816700781104105,1.33167140067865
İYİ Parti,0.26279142217867457,-0.3975500044806658,0.6110563409661326,6,0.3,-0.054492511140633554,0.03420084559455437,0.1499133137530296,0.2797604260834002,0.3793249547826917,0.1730432025917813
Adalet ve Kalkınma Partisi,1.9369171455209306,1.631250740749129,2.256362303176352,6,0.8,1.8078766225170073,1.8985402807883034,2.0075737528516884,2.138027522415482,2.230867577740419,0.17110794457751935
Milliyetçi Hareket Partisi,1.9704129452633632,1.2724148958202839,4.5070500856346944,6,1.2,1.7356171775732148,1.8748771127547876,2.0612219474285918,2.252957012550004,2.395231816596662,0.2573661036664799
