party,Adalet ve Kalkınma Partisi,Bağımsız,Büyük Birlik Partisi,Cumhuriyet Halk Partisi,Demokrat Parti,Halkların Demokratik Partisi,Milliyetçi Hareket Partisi,Saadet Partisi,Türkiye İşçi Partisi,İYİ Parti
Adalet ve Kalkınma Partisi,1.0,-0.4322258087362156,0.05583175912067211,0.17460241605455176,-0.3886618041300864,-0.7764209711750053,0.8488628454676347,-0.42383840969871667,-0.35177911199072404,0.3522501827918372
Bağımsız,-0.4322258087362156,0.9999999999999996,-0.22086812463282574,-0.39538858472801924,0.2920258516743639,0.09349879687647614,-0.38275822200363036,-0.11325683857667541,0.17051315871217618,-0.42037635476218055
Büyük Birlik Partisi,0.05583175912067211,-0.22086812463282574,1.0,-0.3988738069554184,-0.4741033986201923,-0.20288954758076175,0.28632738603940133,0.10576241000805776,0.04650700171641553,-0.47745500307698
Cumhuriyet Halk Partisi,0.17460241605455176,-0.39538858472801924,-0.3988738069554184,0.9999999999999999,-0.13582623025410906,0.08189761276054397,0.03703016604168515,-0.16040803859770061,-0.4250577666894523,0.8388609704877074
Demokrat Parti,-0.3886618041300864,0.2920258516743639,-0.4741033986201923,-0.13582623025410906,1.0,0.18626755169789247,-0.5003131810485271,-0.1483673192940356,0.3237603010260406,-0.1484852229118648
Halkların Demokratik Partisi,-0.7764209711750053,0.09349879687647614,-0.20288954758076175,0.08189761276054397,0.18626755169789247,1.0000000000000002,-0.725390543167764,0.25418875359788434,0.4107070458699288,-0.15751788608995496
Milliyetçi Hareket Partisi,0.8488628454676347,-0.38275822200363036,0.28632738603940133,0.03703016604168515,-0.5003131810485271,-0.725390543167764,0.9999999999999999,-0.2967395837614737,-0.5418090353803607,0.309487384675143
Saadet Partisi,-0.42383840969871667,-0.11325683857667541,0.10576241000805776,-0.16040803859770061,-0.1483673192940356,0.25418875359788434,-0.2967395837614737,0.9999999999999999,-0.22301156207854997,0.012297932931195644
Türkiye İşçi Partisi,-0.35177911199072404,0.17051315871217618,0.04650700171641553,-0.4250577666894523,0.3237603010260406,0.4107070458699288,-0.5418090353803607,-0.22301156207854997,0.9999999999999999,-0.7157783492155341
İYİ Parti,0.3522501827918372,-0.42037635476218055,-0.47745500307698,0.8388609704877074,-0.1484852229118648,-0.15751788608995496,0.309487384675143,0.012297932931195644,-0.7157783492155341,1.0
