party,Adalet ve Kalkınma Partisi,Bağımsız,Cumhuriyet Halk Partisi,DEM Parti,Demokratik Sol Parti,Halkların Eşitlik ve Demokrasi Partisi,Milliyetçi Hareket Partisi,Saadet Partisi,Türkiye İşçi Partisi,YENİ YOL Partisi,Yeniden Refah Partisi,İYİ Parti
Adalet ve Kalkınma Partisi,1.0,0.036260237762715856,-0.5196161523155963,0.0959571418191571,-0.36405722392287215,-0.5529127318987549,0.6934123421188192,-0.2878034402368426,-0.3273514478337,0.09580697630389329,-0.3165758464255372,-0.05536079846532811
Bağımsız,0.036260237762715856,0.9999999999999999,-0.37938185963107174,-0.304346574052284,-0.14679592437315964,-0.33864402740669736,0.32664791659751524,-0.20439043580430405,0.09152558410764718,-0.23769749759073433,-0.16534415722504903,-0.3832135978788676
Cumhuriyet Halk Partisi,-0.5196161523155963,-0.37938185963107174,0.9999999999999997,-0.2112983594926614,0.17909281979410518,0.6696949861254561,-0.5003572052465624,-0.08615136042843209,0.11564565458301179,0.6485529371518591,0.12344347947828625,0.6702061602927395
DEM Parti,0.0959571418191571,-0.304346574052284,-0.2112983594926614,1.0,0.3119805184097616,-0.0669063485190484,-0.20372573998763424,-0.060883383927165455,-0.10835623396229825,-0.08511517580537016,-0.4296114217484761,-0.19283642418010685
Demokratik Sol Parti,-0.36405722392287215,-0.14679592437315964,0.17909281979410518,0.3119805184097616,0.9999999999999998,0.346020735691886,-0.2293821074457864,-0.28286917039001974,-0.27671116690530073,-0.1774428438857899,-0.013207246845210765,-0.0784729674773651
Halkların Eşitlik ve Demokrasi Partisi,-0.5529127318987549,-0.33864402740669736,0.6696949861254561,-0.0669063485190484,0.346020735691886,0.9999999999999998,-0.759874138667355,0.09273026097014198,0.24456803747151418,0.24191955310970797,0.12281395410010712,0.18625390974065245
Milliyetçi Hareket Partisi,0.6934123421188192,0.32664791659751524,-0.5003572052465624,-0.20372573998763424,-0.2293821074457864,-0.759874138667355,0.9999999999999998,-0.45447862109521286,-0.38828821162433264,-0.18141591262726886,-0.1364519569996214,0.07828583439469312
Saadet Partisi,-0.2878034402368426,-0.20439043580430405,-0.08615136042843209,-0.060883383927165455,-0.28286917039001974,0.09273026097014198,-0.45447862109521286,1.0000000000000002,0.32082695471906825,-0.1697002251352431,0.043300987010120175,-0.2792026083010921
Türkiye İşçi Partisi,-0.3273514478337,0.09152558410764718,0.11564565458301179,-0.10835623396229825,-0.27671116690530073,0.24456803747151418,-0.38828821162433264,0.32082695471906825,0.9999999999999998,-0.2102938161153833,-0.2762725851684504,-0.44649879699330897
YENİ YOL Partisi,0.09580697630389329,-0.23769749759073433,0.6485529371518591,-0.08511517580537016,-0.1774428438857899,0.24191955310970797,-0.18141591262726886,-0.1697002251352431,-0.2102938161153833,1.0,-0.046396072138045155,0.7076157235452268
Yeniden Refah Partisi,-0.3165758464255372,-0.16534415722504903,0.12344347947828625,-0.4296114217484761,-0.013207246845210765,0.12281395410010712,-0.1364519569996214,0.043300987010120175,-0.2762725851684504,-0.046396072138045155,1.0000000000000002,0.2425293265037089
İYİ Parti,-0.05536079846532811,-0.3832135978788676,0.6702061602927395,-0.19283642418010685,-0.0784729674773651,0.18625390974065245,0.07828583439469312,-0.2792026083010921,-0.44649879699330897,0.7076157235452268,0.2425293265037089,1.0000000000000002
