date,tp_ktf10_avg,tp_ktf101_avg,tp_ktf11_avg,tp_ktf12_avg,tp_ktf17_avg,tp_ktf17_eur_avg,tp_ktf17_usd_avg,tp_ktf18_avg,tp_ktftuk_avg,tp_ktftuk01_avg,tp_ktf10_last,tp_ktf101_last,tp_ktf11_last,tp_ktf12_last,tp_ktf17_last,tp_ktf17_eur_last,tp_ktf17_usd_last,tp_ktf18_last,tp_ktftuk_last,tp_ktftuk01_last
2002-05-01,53.116,,42.006,44.698,46.974000000000004,8.996,7.37,,49.456,,52.66,,39.61,43.68,45.52,10.98,7.59,,47.55,
2002-06-01,52.7525,,43.835,44.72,48.55,6.4225,9.4175,,49.355,,54.87,,46.33,47.56,44.11,5.92,5.85,,51.35,
2002-07-01,56.25,,50.0375,48.260000000000005,46.7225,6.5525,6.46,,53.4875,,56.94,,49.98,50.65,41.76,5.62,6.04,,54.13,
2002-08-01,55.446000000000005,,45.998000000000005,47.712,44.496,6.11,5.864,,50.688,,55.1,,33.84,40.63,40.1,6.75,5.11,,43.3,
2002-09-01,54.1475,,46.42,46.6825,45.16,6.88,6.58,,50.9925,,54.0,,44.87,47.04,42.46,8.92,6.69,,50.03,
2002-10-01,54.085,,46.485,49.0925,44.6575,8.39,8.825,,50.865,,55.07,,46.51,49.67,38.98,5.85,5.62,,51.95,
2002-11-01,53.012,,45.494,47.998000000000005,41.92,5.101999999999999,4.12,,49.948,,50.8,,43.47,46.7,39.99,4.96,4.02,,47.76,
2002-12-01,49.4825,,40.2525,44.305,43.3075,5.385,5.5225,,44.71,,48.56,,38.58,43.37,41.32,5.19,3.63,,42.69,
2003-01-01,49.318,,40.348,44.028,43.227999999999994,6.572,5.382,,44.688,,49.76,,41.86,44.37,40.23,6.12,5.29,,46.36,
2003-02-01,48.5225,,42.185,43.31,44.825,6.43,6.4425,,46.115,,47.62,,40.11,41.39,45.69,7.51,6.91,,45.16,
2003-03-01,51.11,,45.792500000000004,45.847500000000004,46.1275,6.470000000000001,5.4525,,49.3075,,54.36,,50.27,48.99,45.39,4.94,5.67,,52.91,
2003-04-01,56.2325,,50.0225,50.305,47.022499999999994,6.307499999999999,4.39,,54.4225,,56.4,,49.55,50.24,44.12,7.17,4.45,,54.39,
2003-05-01,53.836,,46.346000000000004,45.362,43.938,6.218,4.59,,51.1,,55.84,,45.26,44.43,44.92,4.38,3.12,,51.95,
2003-06-01,48.5725,,43.75,43.325,42.167500000000004,5.0825,5.8100000000000005,,46.7825,,47.39,,42.42,43.09,42.52,4.16,5.48,,45.51,
2003-07-01,47.125,,41.9375,40.835,39.96,5.3325,4.8375,,45.0075,,48.72,,41.95,41.46,36.4,6.85,5.32,,46.47,
2003-08-01,46.574,,39.162,39.238,37.606,4.914,5.288,,43.748000000000005,,43.92,,35.92,37.62,40.96,6.19,4.83,,40.7,
2003-09-01,42.955,,34.73,37.775,36.8275,5.6049999999999995,5.875,,39.6275,,39.61,,34.18,36.68,35.57,2.94,5.73,,37.4,
