date,tp_eur_mt01_avg,tp_eur_mt02_avg,tp_eur_mt03_avg,tp_eur_mt04_avg,tp_eur_mt05_avg,tp_eur_mt06_avg,tp_try_mt01_avg,tp_try_mt02_avg,tp_try_mt03_avg,tp_try_mt04_avg,tp_try_mt05_avg,tp_try_mt06_avg,tp_usd_mt01_avg,tp_usd_mt02_avg,tp_usd_mt03_avg,tp_usd_mt04_avg,tp_usd_mt05_avg,tp_usd_mt06_avg,tp_eurtas_mt01_avg,tp_eurtas_mt02_avg,tp_eurtas_mt03_avg,tp_eurtas_mt04_avg,tp_eurtas_mt05_avg,tp_eurtas_mt06_avg,tp_trytas_mt01_avg,tp_trytas_mt02_avg,tp_trytas_mt03_avg,tp_trytas_mt04_avg,tp_trytas_mt05_avg,tp_trytas_mt06_avg,tp_usdtas_mt01_avg,tp_usdtas_mt02_avg,tp_usdtas_mt03_avg,tp_usdtas_mt04_avg,tp_usdtas_mt05_avg,tp_usdtas_mt06_avg,tp_eurtic_mt01_avg,tp_eurtic_mt02_avg,tp_eurtic_mt03_avg,tp_eurtic_mt04_avg,tp_eurtic_mt05_avg,tp_eurtic_mt06_avg,tp_trytic_mt01_avg,tp_trytic_mt02_avg,tp_trytic_mt03_avg,tp_trytic_mt04_avg,tp_trytic_mt05_avg,tp_trytic_mt06_avg,tp_usdtic_mt01_avg,tp_usdtic_mt02_avg,tp_usdtic_mt03_avg,tp_usdtic_mt04_avg,tp_usdtic_mt05_avg,tp_usdtic_mt06_avg,tp_eur_mt01_last,tp_eur_mt02_last,tp_eur_mt03_last,tp_eur_mt04_last,tp_eur_mt05_last,tp_eur_mt06_last,tp_try_mt01_last,tp_try_mt02_last,tp_try_mt03_last,tp_try_mt04_last,tp_try_mt05_last,tp_try_mt06_last,tp_usd_mt01_last,tp_usd_mt02_last,tp_usd_mt03_last,tp_usd_mt04_last,tp_usd_mt05_last,tp_usd_mt06_last,tp_eurtas_mt01_last,tp_eurtas_mt02_last,tp_eurtas_mt03_last,tp_eurtas_mt04_last,tp_eurtas_mt05_last,tp_eurtas_mt06_last,tp_trytas_mt01_last,tp_trytas_mt02_last,tp_trytas_mt03_last,tp_trytas_mt04_last,tp_trytas_mt05_last,tp_trytas_mt06_last,tp_usdtas_mt01_last,tp_usdtas_mt02_last,tp_usdtas_mt03_last,tp_usdtas_mt04_last,tp_usdtas_mt05_last,tp_usdtas_mt06_last,tp_eurtic_mt01_last,tp_eurtic_mt02_last,tp_eurtic_mt03_last,tp_eurtic_mt04_last,tp_eurtic_mt05_last,tp_eurtic_mt06_last,tp_trytic_mt01_last,tp_trytic_mt02_last,tp_trytic_mt03_last,tp_trytic_mt04_last,tp_trytic_mt05_last,tp_trytic_mt06_last,tp_usdtic_mt01_last,tp_usdtic_mt02_last,tp_usdtic_mt03_last,tp_usdtic_mt04_last,tp_usdtic_mt05_last,tp_usdtic_mt06_last
2002-02-01,3.2525,3.8975,5.3375,4.5725,12.254999999999999,4.4399999999999995,62.2,59.39,63.38,61.0025,70.67,61.295,2.3775,3.5925,4.225,4.695,11.6675,2.8425000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,4.08,5.36,4.76,12.15,4.58,61.39,58.71,63.03,60.48,71.18,60.54,2.47,3.41,4.25,4.38,11.05,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-01,3.2079999999999997,3.9760000000000004,5.182,4.61,11.948,4.3660000000000005,58.67999999999999,56.724000000000004,62.029999999999994,60.374,66.014,58.2,2.276,3.196,4.202,3.992,11.368,2.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,3.99,5.39,4.59,11.74,4.32,57.61,55.73,61.52,60.1,66.57,57.33,2.22,3.25,4.2,3.95,11.57,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,3.13,4.015,5.275,4.6325,11.3575,4.34,54.995000000000005,52.2025,59.7725,55.885,64.60499999999999,54.3425,2.2875,3.1625,4.1850000000000005,4.12,10.592500000000001,2.6775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,3.97,5.26,4.65,11.1,4.4,53.74,51.26,58.24,55.42,63.16,53.12,2.33,3.14,4.23,4.31,9.98,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-01,3.128,3.934,5.046,4.606,10.864,4.276000000000001,50.226,49.428,55.55,49.742,62.922000000000004,50.284,2.098,3.08,3.754,4.006,10.22,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,3.93,4.97,4.62,10.71,4.36,50.24,50.14,53.94,47.72,62.23,50.41,2.1,3.04,3.78,4.01,10.68,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-01,3.0375,3.77,4.72,4.4875,9.93,4.045,50.4125,50.035000000000004,54.5375,50.4925,64.1575,50.557500000000005,2.0525,3.0,3.8274999999999997,3.9425,8.55,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,3.77,4.68,4.15,9.54,4.05,50.89,50.07,56.34,51.46,64.5,50.84,2.14,2.95,3.76,3.72,7.78,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-01,3.215,3.7825,4.6875,4.5675,9.475,4.1375,50.775,51.0625,55.705,51.825,64.655,51.195,2.135,3.0375,4.02,4.0275,8.7475,2.5875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24,3.77,4.68,4.52,9.38,4.08,50.77,51.42,55.78,51.79,65.2,51.21,2.16,3.14,4.03,4.1,9.14,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-01,3.1,3.81,4.6339999999999995,4.492,8.440000000000001,3.968,50.230000000000004,51.062,55.717999999999996,50.822,65.17,50.792,2.0759999999999996,3.016,3.808,3.9939999999999998,8.788,2.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,3.84,4.64,4.54,7.95,3.93,49.74,50.54,55.91,51.06,65.26,50.35,2.18,3.02,3.74,3.91,8.32,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-01,3.165,3.9475000000000002,4.795,4.94,7.345,3.9450000000000003,50.06,50.302499999999995,57.9325,50.175,65.145,50.5,2.0149999999999997,3.1275,3.9050000000000002,4.1475,8.035,2.5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,3.93,4.78,4.98,7.3,3.91,50.52,50.69,59.61,50.93,65.01,50.97,2.01,3.16,3.81,4.08,7.99,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-01,3.1375,4.0424999999999995,4.835,4.984999999999999,7.0,3.94,50.3,50.7725,58.7675,53.0225,64.58250000000001,50.7175,2.08,3.2375000000000003,3.895,4.15,7.195,2.5875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,3.98,4.85,4.91,6.71,3.88,50.28,49.22,56.69,52.73,64.26,50.11,2.09,3.35,3.98,3.98,6.53,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-01,2.934,3.88,4.606,4.284000000000001,6.828,3.684,48.192,47.87,53.14,49.134,61.522000000000006,48.374,2.0740000000000003,3.1239999999999997,3.7119999999999997,3.912,7.198,2.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,3.79,4.5,3.94,6.8,3.54,47.36,46.82,50.84,47.24,57.88,47.46,2.09,3.09,3.43,3.58,7.28,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
