observation_date,IR3TIB01TRM156N
1991-07-01,67.60
1991-08-01,66.84
1991-09-01,66.84
1991-10-01,72.36
1991-11-01,75.04
1991-12-01,68.44
1992-01-01,67.72
1992-02-01,67.64
1992-03-01,67.64
1992-04-01,68.44
1992-05-01,70.12
1992-06-01,74.32
1992-07-01,76.40
1992-08-01,75.40
1992-09-01,74.40
1992-10-01,74.40
1992-11-01,74.60
1992-12-01,74.76
1993-01-01,74.76
1993-02-01,69.64
1993-03-01,65.32
1993-04-01,65.92
1993-05-01,67.12
1993-06-01,66.84
1993-07-01,66.84
1993-08-01,65.76
1993-09-01,64.76
1993-10-01,63.04
1993-11-01,
1993-12-01,
1994-01-01,
1994-02-01,
1994-03-01,99.00
1994-04-01,
1994-05-01,160.00
1994-06-01,114.52
1994-07-01,98.76
1994-08-01,88.96
1994-09-01,87.37
1994-10-01,82.28
1994-11-01,94.08
1994-12-01,105.92
1995-01-01,108.07
1995-02-01,
1995-03-01,
1995-04-01,77.37
1995-05-01,80.94
1995-06-01,71.93
1995-07-01,66.98
1995-08-01,69.99
1995-09-01,
1995-10-01,92.24
1995-11-01,97.99
1995-12-01,128.99
1996-01-01,111.99
1996-02-01,
1996-03-01,103.62
1996-04-01,
1996-05-01,85.68
1996-06-01,
1996-07-01,95.58
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,98.69
1997-11-01,
1997-12-01,102.83
1998-01-01,
1998-02-01,99.33
1998-03-01,89.14
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,81.00
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,75.06
1999-08-01,75.56
1999-09-01,
1999-10-01,73.08
1999-11-01,71.66
1999-12-01,
2000-01-01,34.07
2000-02-01,36.36
2000-03-01,
2000-04-01,33.30
2000-05-01,35.02
2000-06-01,
2000-07-01,28.72
2000-08-01,28.24
2000-09-01,
2000-10-01,35.77
2000-11-01,35.20
2000-12-01,
2001-01-01,47.99
2001-02-01,57.03
2001-03-01,124.99
2001-04-01,82.00
2001-05-01,69.48
2001-06-01,63.34
2001-07-01,70.78
2001-08-01,74.49
2001-09-01,
2001-10-01,62.43
2001-11-01,59.61
2001-12-01,57.42
2002-01-01,58.25
2002-02-01,55.92
2002-03-01,53.95
2002-04-01,44.49
2002-05-01,46.35
2002-06-01,56.50
2002-07-01,51.89
2002-08-01,48.99
2002-09-01,49.27
2002-10-01,46.68
2002-11-01,41.20
2002-12-01,39.28
2003-01-01,43.00
2003-02-01,40.60
2003-03-01,48.70
2003-04-01,39.96
2003-05-01,36.62
2003-06-01,34.71
2003-07-01,32.00
2003-08-01,30.60
2003-09-01,27.73
2003-10-01,23.80
2003-11-01,23.75
2003-12-01,23.50
2004-01-01,25.25
2004-02-01,23.30
2004-03-01,22.06
2004-04-01,21.57
2004-05-01,24.49
2004-06-01,22.90
2004-07-01,23.04
2004-08-01,22.55
2004-09-01,19.18
2004-10-01,19.59
2004-11-01,19.58
2004-12-01,19.87
2005-01-01,17.25
2005-02-01,16.31
2005-03-01,15.34
2005-04-01,14.87
2005-05-01,
2005-06-01,14.13
2005-07-01,14.37
2005-08-01,
2005-09-01,13.50
2005-10-01,13.78
2005-11-01,
2005-12-01,14.00
2006-01-01,
2006-02-01,
2006-03-01,13.56
2006-04-01,
2006-05-01,
2006-06-01,15.76
2006-07-01,20.86
2006-08-01,
2006-09-01,
2006-10-01,18.38
2006-11-01,
2006-12-01,18.78
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,17.86
2007-05-01,
2007-06-01,
2007-07-01,16.12
2007-08-01,
2007-09-01,
2007-10-01,16.14
2007-11-01,
2007-12-01,
2008-01-01,15.38
2008-02-01,
2008-03-01,
2008-04-01,16.65
