observation_date,TURPROINDMISMEI
1985-01-01,23.38437
1985-02-01,21.81092
1985-03-01,22.44214
1985-04-01,22.64653
1985-05-01,24.75777
1985-06-01,19.72152
1985-07-01,22.62584
1985-08-01,22.82037
1985-09-01,23.01468
1985-10-01,23.64757
1985-11-01,25.24181
1985-12-01,24.41293
1986-01-01,23.33109
1986-02-01,22.25219
1986-03-01,23.33109
1986-04-01,23.06136
1986-05-01,22.92650
1986-06-01,24.54484
1986-07-01,24.27512
1986-08-01,25.89346
1986-09-01,24.14026
1986-10-01,25.21915
1986-11-01,25.35401
1986-12-01,25.21915
1987-01-01,25.35401
1987-02-01,25.89346
1987-03-01,24.94943
1987-04-01,25.89346
1987-05-01,26.56777
1987-06-01,27.24208
1987-07-01,25.08429
1987-08-01,27.78152
1987-09-01,26.83749
1987-10-01,27.78152
1987-11-01,28.86042
1987-12-01,28.72556
1988-01-01,29.26500
1988-02-01,29.13014
1988-03-01,27.78152
1988-04-01,28.32097
1988-05-01,27.91639
1988-06-01,26.70263
1988-07-01,28.45583
1988-08-01,27.24208
1988-09-01,26.29804
1988-10-01,27.64666
1988-11-01,26.29804
1988-12-01,27.78152
1989-01-01,26.70263
1989-02-01,28.32097
1989-03-01,28.05125
1989-04-01,26.56777
1989-05-01,27.78152
1989-06-01,28.72556
1989-07-01,29.39986
1989-08-01,28.86042
1989-09-01,29.26500
1989-10-01,28.18611
1989-11-01,28.86042
1989-12-01,29.26500
1990-01-01,29.66959
1990-02-01,30.74848
1990-03-01,31.69251
1990-04-01,31.96224
1990-05-01,30.07417
1990-06-01,31.01821
1990-07-01,30.34390
1990-08-01,30.07417
1990-09-01,32.77141
1990-10-01,32.50169
1990-11-01,32.90627
1990-12-01,31.55765
1991-01-01,27.37694
1991-02-01,31.82738
1991-03-01,33.31086
1991-04-01,31.96224
1991-05-01,33.44572
1991-06-01,31.15307
1991-07-01,32.09710
1991-08-01,32.36683
1991-09-01,33.17599
1991-10-01,33.17599
1991-11-01,33.17599
1991-12-01,32.90627
1992-01-01,33.04113
1992-02-01,32.63655
1992-03-01,32.90627
1992-04-01,32.77141
1992-05-01,33.71544
1992-06-01,32.90627
1992-07-01,33.44572
1992-08-01,32.36683
1992-09-01,34.25489
1992-10-01,34.25489
1992-11-01,34.12003
1992-12-01,33.31086
1993-01-01,34.79433
1993-02-01,34.92920
1993-03-01,33.71544
1993-04-01,35.33378
1993-05-01,35.06406
1993-06-01,35.73837
1993-07-01,36.27782
1993-08-01,33.98516
1993-09-01,36.27782
1993-10-01,36.54754
1993-11-01,35.19892
1993-12-01,38.03102
1994-01-01,37.89616
1994-02-01,33.71544
1994-03-01,33.71544
1994-04-01,31.82738
1994-05-01,31.55765
1994-06-01,29.93931
1994-07-01,31.01821
1994-08-01,33.04113
1994-09-01,33.71544
1994-10-01,34.52461
1994-11-01,34.38975
1994-12-01,33.71544
1995-01-01,34.25489
1995-02-01,33.31086
1995-03-01,33.17599
1995-04-01,36.00809
1995-05-01,35.73837
1995-06-01,36.95213
1995-07-01,36.95213
1995-08-01,37.49157
1995-09-01,35.73837
1995-10-01,34.79433
1995-11-01,38.30074
1995-12-01,39.91908
1996-01-01,38.57047
1996-02-01,35.87323
1996-03-01,36.00809
1996-04-01,37.62643
1996-05-01,37.22185
1996-06-01,38.30074
1996-07-01,37.89616
1996-08-01,37.76130
1996-09-01,37.35671
1996-10-01,40.32367
1996-11-01,40.59339
1996-12-01,39.91908
1997-01-01,38.57047
1997-02-01,39.37963
1997-03-01,40.99798
1997-04-01,41.40256
1997-05-01,41.26770
1997-06-01,41.80715
1997-07-01,41.67229
1997-08-01,43.02090
1997-09-01,42.88604
1997-10-01,42.48146
1997-11-01,41.94201
1997-12-01,42.61632
1998-01-01,43.02090
1998-02-01,43.15577
1998-03-01,43.83007
1998-04-01,43.02090
1998-05-01,43.96494
1998-06-01,41.94201
1998-07-01,42.34660
1998-08-01,42.61632
1998-09-01,43.15577
1998-10-01,41.67229
1998-11-01,40.99798
1998-12-01,38.70533
1999-01-01,40.45853
1999-02-01,40.72825
1999-03-01,41.67229
1999-04-01,40.99798
1999-05-01,42.48146
1999-06-01,42.48146
1999-07-01,41.67229
1999-08-01,39.24477
1999-09-01,40.45853
1999-10-01,40.05394
1999-11-01,40.59339
1999-12-01,40.86311
2000-01-01,41.13284
2000-02-01,42.61632
2000-03-01,41.80715
2000-04-01,42.88604
2000-05-01,43.56035
2000-06-01,44.09980
2000-07-01,44.36952
2000-08-01,45.44841
2000-09-01,43.56035
2000-10-01,44.23466
2000-11-01,44.77411
2000-12-01,43.02090
2001-01-01,41.40256
2001-02-01,41.80715
2001-03-01,39.37963
2001-04-01,39.24477
2001-05-01,39.10991
2001-06-01,39.37963
2001-07-01,39.91908
2001-08-01,40.99798
2001-09-01,40.86311
2001-10-01,38.57047
2001-11-01,39.24477
2001-12-01,39.10991
2002-01-01,40.45853
2002-02-01,42.88604
2002-03-01,43.29063
2002-04-01,44.09980
2002-05-01,42.75118
2002-06-01,43.15577
2002-07-01,43.56035
2002-08-01,43.83007
2002-09-01,44.90897
2002-10-01,43.96494
2002-11-01,43.02090
2002-12-01,45.58328
2003-01-01,46.93190
2003-02-01,45.58328
2003-03-01,46.39245
2003-04-01,44.90897
2003-05-01,44.90897
2003-06-01,46.79703
2003-07-01,47.87593
2003-08-01,49.08968
2003-09-01,49.08968
2003-10-01,48.55024
2003-11-01,48.41537
2003-12-01,49.35941
2004-01-01,50.03371
2004-02-01,50.43830
2004-03-01,50.70802
2004-04-01,51.65206
2004-05-01,53.13554
2004-06-01,52.59609
2004-07-01,53.40526
2004-08-01,53.00068
2004-09-01,51.92178
2004-10-01,50.16858
2004-11-01,50.43830
2004-12-01,51.38233
2005-01-01,59.74376
2005-02-01,57.31625
2005-03-01,56.50708
2005-04-01,57.18139
2005-05-01,57.72084
2005-06-01,57.58598
2005-07-01,58.79973
2005-08-01,59.74376
2005-09-01,60.41807
2005-10-01,61.49697
2005-11-01,61.63183
2005-12-01,61.09238
2006-01-01,61.49697
2006-02-01,62.03641
2006-03-01,63.51989
2006-04-01,62.98045
2006-05-01,63.65475
2006-06-01,63.92448
2006-07-01,63.78962
2006-08-01,63.65475
2006-09-01,63.65475
2006-10-01,64.05934
2006-11-01,63.78962
2006-12-01,66.08227
2007-01-01,68.77950
2007-02-01,67.16116
2007-03-01,68.37492
2007-04-01,68.64464
2007-05-01,69.85840
2007-06-01,68.37492
2007-07-01,67.97033
2007-08-01,69.04922
2007-09-01,69.58867
2007-10-01,69.04922
2007-11-01,69.31895
2007-12-01,71.20702
2008-01-01,70.26298
2008-02-01,71.61160
2008-03-01,71.61160
2008-04-01,70.66756
2008-05-01,70.39784
2008-06-01,70.80243
2008-07-01,69.31895
2008-08-01,68.37492
2008-09-01,68.24005
2008-10-01,64.73365
2008-11-01,62.30614
2008-12-01,60.68779
2009-01-01,56.50708
2009-02-01,57.72084
2009-03-01,57.04653
2009-04-01,57.99056
2009-05-01,59.87862
2009-06-01,61.63183
2009-07-01,62.71072
2009-08-01,61.90155
2009-09-01,62.57586
2009-10-01,63.78962
