year,indicator_code,indicator_name,value
2025,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,
2024,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,3.3276230893799
2023,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,5.04512369812289
2022,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,5.44122511322401
2021,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,11.811094450607
2020,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,1.80306247087255
2019,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,1.30162365464503
2018,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,3.46815306092219
2017,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,7.82585730002594
2016,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,3.32366508200445
2015,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,5.80557386628684
2014,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,4.60079447270559
2013,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,8.48825689298511
2012,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,4.80762696633448
2011,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,10.9799625273598
2010,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,8.54219848467686
2009,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,-4.88269401706633
2008,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,0.920118221365883
2007,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,5.10818513903604
2006,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,7.06762607623939
2005,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,9.11157745861635
2004,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,9.92540551918624
2003,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,5.79909321038525
2002,NY.GDP.MKTP.KD.ZG,gdp_growth_annual_percent,6.43550883793114
2025,NY.GDP.MKTP.CD,gdp_current_usd,
2024,NY.GDP.MKTP.CD,gdp_current_usd,1359123768774.12
2023,NY.GDP.MKTP.CD,gdp_current_usd,1141242864657.45
2022,NY.GDP.MKTP.CD,gdp_current_usd,926097476913.818
2021,NY.GDP.MKTP.CD,gdp_current_usd,839938668172.134
2020,NY.GDP.MKTP.CD,gdp_current_usd,733628247119.077
2019,NY.GDP.MKTP.CD,gdp_current_usd,775853144222.613
2018,NY.GDP.MKTP.CD,gdp_current_usd,788356985773.667
2017,NY.GDP.MKTP.CD,gdp_current_usd,863874522365.276
2016,NY.GDP.MKTP.CD,gdp_current_usd,870818016909.84
2015,NY.GDP.MKTP.CD,gdp_current_usd,865460050683.656
2014,NY.GDP.MKTP.CD,gdp_current_usd,942343431928.654
2013,NY.GDP.MKTP.CD,gdp_current_usd,962167643588.925
2012,NY.GDP.MKTP.CD,gdp_current_usd,885327622479.052
2011,NY.GDP.MKTP.CD,gdp_current_usd,844192507380.795
2010,NY.GDP.MKTP.CD,gdp_current_usd,782545664268.333
2009,NY.GDP.MKTP.CD,gdp_current_usd,653894449921.288
2008,NY.GDP.MKTP.CD,gdp_current_usd,775415944332.866
2007,NY.GDP.MKTP.CD,gdp_current_usd,685228481017.03
2006,NY.GDP.MKTP.CD,gdp_current_usd,559668118237.002
2005,NY.GDP.MKTP.CD,gdp_current_usd,508314210212.544
2004,NY.GDP.MKTP.CD,gdp_current_usd,410156784495.948
2003,NY.GDP.MKTP.CD,gdp_current_usd,315392899922.379
2002,NY.GDP.MKTP.CD,gdp_current_usd,240778008473.845
2025,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,
2024,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,15892.7157287241
2023,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,13375.0947282864
2022,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,10897.8397861365
2021,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,9981.76398411336
2020,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,8798.11791709313
2019,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,9395.23378001368
2018,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,9684.11819884721
2017,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,10756.3877677883
2016,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,10984.3643169061
2015,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,11064.6494504662
2014,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,12209.3862327674
2013,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,12635.5570016068
2012,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,11776.7593362033
2011,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,11373.6355760885
2010,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,10698.9699409757
2009,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,9076.92472236977
2008,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,10913.4079047769
2007,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,9766.91734545294
2006,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,7990.08251407245
2005,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,7331.85429430255
2004,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,5979.6054216148
2003,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,4649.63668068586
2002,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,3591.08628982587
2025,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,
2024,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,58.5064507300342
2023,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,53.8594087593315
2022,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,72.3088359891207
2021,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,19.5964926913324
2020,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,12.2789574462574
2019,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,15.1768215720022
2018,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,16.3324638988929
2017,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,11.1443110840764
2016,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,7.7751341532833
2015,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,7.67085364845885
2014,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,8.85457271364316
2013,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,7.49309030547693
2012,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,8.89156996512163
2011,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,6.471879671151
2010,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,8.56644420552976
2009,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,6.25097663090626
2008,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,10.4441283764885
2007,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,8.75618090972632
2006,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,9.59724212288446
2005,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,8.17916036802008
2004,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,8.59826168115262
2003,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,21.6024384490573
2002,FP.CPI.TOTL.ZG,inflation_cpi_annual_percent,44.964120947985
2025,FP.CPI.TOTL,cpi_index_2010_100,
2024,FP.CPI.TOTL,cpi_index_2010_100,1322.88396860986
2023,FP.CPI.TOTL,cpi_index_2010_100,834.593142750374
