year,agriculture_value_added_gdp_percent,bank_nonperforming_loans_percent,broad_money_gdp_percent,central_government_debt_gdp_percent,cpi_index_2010_100,current_account_balance_gdp_percent,domestic_credit_private_sector_gdp_percent,employment_to_population_percent,expense_gdp_percent,exports_gdp_percent,external_balance_goods_services_gdp_percent,external_debt_gni_percent,fdi_net_inflows_gdp_percent,final_consumption_expenditure_gdp_percent,gdp_current_usd,gdp_growth_annual_percent,gdp_per_capita_current_usd,gdp_per_capita_growth_percent,gini_index,government_consumption_gdp_percent,gross_capital_formation_gdp_percent,gross_savings_gdp_percent,imports_gdp_percent,industry_value_added_gdp_percent,inflation_cpi_annual_percent,labor_force_participation_percent,net_lending_borrowing_gdp_percent,official_exchange_rate_lcu_per_usd,population_growth_percent,population_total,revenue_excluding_grants_gdp_percent,services_value_added_gdp_percent,tax_revenue_gdp_percent,total_reserves_usd,trade_gdp_percent,unemployment_total_percent
2002,10.1712688801184,,38.5764610990871,,46.0963443572496,-0.259990521546323,,44.442,,25.2651261294128,2.42764213538544,55.901957136984,0.449376588359619,76.0463684806703,240778008473.845,6.43550883793114,3591.08628982587,5.15974085311868,41.4,12.9856384925038,21.525989356389,23.0727365940066,22.8374839940274,24.6318670867085,44.964120947985,49.577,,1.50722641666667,1.20587153637377,67048795.0,,53.5798335907302,,28348030216.9613,48.1026101234402,10.358
2003,9.77425990072158,,33.8441860628853,,56.05427877429,-2.39510781690365,,43.236,,23.1946607252779,0.0211661117711708,48.0065470233487,0.539644361182156,77.1220527625819,315392899922.379,5.79909321038525,4649.63668068586,4.57792705344551,42.2,12.7773523588905,22.8567811256469,21.4394238050065,23.1734946135067,24.8432929751477,21.6024384490573,48.331,,1.50088520858333,1.16094416683032,67831730.0,,53.1447158950484,,35548509276.1176,46.3681553387846,10.542
2004,9.30334217653319,,33.0972625961229,,60.8739723467862,-3.46160310805252,,41.287,,23.8544386839448,-1.2845801756369,41.0343944750811,0.679008638958041,76.1168067890229,410156784495.948,9.92540551918624,5979.6054216148,8.70602046453412,41.3,12.5334888843241,25.167773403717,22.7880020234274,25.1390188595817,25.1592284848331,8.59826168115262,46.306,,1.42553725,1.11548254617054,68592617.0,,53.0924442854082,,37304121308.7358,48.9934575435266,10.838
2005,9.1349746278064,4.31589850311115,38.5264224535963,,65.8529521674141,-4.12736838327371,,41.493,,22.118798245903,-2.07123439281512,35.5841267097801,1.97338571270823,74.5037635212536,508314210212.544,9.11157745861635,7331.85429430255,7.95177362643042,42.6,12.4350798254823,27.5674708715615,24.7258467551369,24.1900326387181,25.2941440738888,8.17916036802008,46.431,,1.34358310833333,1.06864181704433,69329557.0,,53.0676190740982,,52493941950.0754,46.3088308846211,10.636
2006,8.06197674009426,3.58098683705457,40.2104267814276,,72.1730194319881,-5.5679426761279,,41.54,,22.6756853295786,-3.59430600497415,39.4750573117788,3.60660172381881,73.4365910877905,559668118237.002,7.06762607623939,7990.08251407245,5.97350417809075,39.6,13.2076961574803,30.1577149171837,25.8179668236582,26.2699913345528,26.0949736856779,9.59724212288446,46.272,,1.42845341333845,1.02715519431982,70045349.0,,53.4630321736613,,63264841173.6432,48.9456766641314,10.227
2007,7.41825141005247,3.3213977793724,41.4884884910048,,78.4926195814649,-5.39177822047968,,41.475,,22.1875803331528,-3.65230751340748,39.8040022720477,3.21746696332257,74.1029661860367,685228481017.03,5.10818513903604,9766.91734545294,4.93924794926627,38.4,13.7336819624854,29.5493413273707,25.2830780835417,25.8398878465602,26.4310925169888,8.75618090972632,46.23,,1.30293090533794,0.160856263475951,70158112.0,,54.9271377639359,,76496127491.481,48.027468179713,10.285
2008,7.38022403324347,3.44167340058132,45.8136833548705,41.0318813015611,86.6904895366218,-5.0844969449165,33.1628558443028,41.745,30.1458278135473,23.9213779600098,-2.91849408664854,38.5984279883647,2.56004537243285,73.1922933490997,775415944332.866,0.920118221365883,10913.4079047769,-0.349081731358567,39.0,13.9839462008484,29.7262007474574,26.1091140699053,26.8398720466583,26.2111946844741,10.4441283764885,46.886,-1.82099814733587,1.30152170281795,1.26560336535681,71051678.0,30.873317828598,55.5939145088505,17.4414983022934,73674684815.6172,50.7612500066681,10.965
2009,8.01952664747498,4.96997625418198,51.3950065544163,48.4871401208098,92.1094917787743,-1.73697758122388,36.8190783164554,41.164,35.3173242047987,23.7578595278795,0.476580482539053,44.5736356122904,1.31290302296241,75.8285438425115,653894449921.288,-4.88269401706633,9076.92472236977,-6.18658127732729,39.0,16.2099712125889,23.6948756749495,23.357563501902,23.2812790453404,24.0534082630626,6.25097663090626,47.88,-5.0696117044268,1.54995977566564,1.3803027157145,72039206.0,31.4805609082016,57.2740017785727,18.0494564965647,74933099954.2986,47.0391385732199,14.026
2010,8.90737962747164,3.48959158482402,52.5066224847327,45.1797411840038,100.0,-5.70254261669491,44.0459707563417,43.007,32.6419229851543,21.5899457839207,-3.76344510314783,41.0990751678409,1.16274364749147,75.3113673290991,782545664268.333,8.54219848467686,10698.9699409757,6.90544093016851,38.8,14.6884914691775,28.4520777825517,24.0439420609212,25.3533908870685,24.5086143505767,8.56644420552976,48.804,-2.73706177865043,1.5028486296723,1.51943093763293,73142150.0,31.3740275795167,54.658291110913,18.814982327029,85959461665.9826,46.9433366709891,11.879
2011,8.1265846445357,2.57632211204451,50.3109063460313,39.9693425323809,106.471879671151,-8.81351105932507,48.7422084050823,44.983,30.1444408136135,23.4903574412774,-6.67086901506326,38.6013112607881,1.91686136260632,74.7125827820943,844192507380.795,10.9799625273598,11373.6355760885,9.36292358017863,40.0,14.0398285658332,31.958286232969,24.6322351342824,30.1612264563406,26.8475365830986,6.471879671151,49.864,-0.726181221783564,1.67495455197133,1.46777416449143,74223629.0,30.5733274427087,53.1764169502883,18.5508150286553,87937253858.338,53.651583897618,9.789
