|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Tüketici Fiyat Endeksi (2025=100)|Ölçüm bazında|2017|9.42|9.49|9.59|9.71|9.76|9.73|9.75|9.8|9.86|10.07|10.22|10.29|
||2018|10.39|10.47|10.57|10.77|10.94|11.23|11.29|11.55|12.28|12.61|12.42|12.37|
||2019|12.51|12.53|12.65|12.87|12.99|12.99|13.17|13.28|13.42|13.68|13.74|13.84|
||2020|14.03|14.07|14.15|14.28|14.47|14.63|14.72|14.85|14.99|15.31|15.66|15.86|
||2021|16.13|16.27|16.45|16.72|16.87|17.2|17.51|17.71|17.93|18.36|19.0|21.58|
||2022|23.98|25.13|26.5|28.42|29.27|30.72|31.45|31.91|32.89|34.05|35.04|35.45|
||2023|37.81|39.0|39.89|40.84|40.86|42.46|46.49|50.71|53.12|54.95|56.75|58.41|
||2024|62.33|65.15|67.21|69.35|71.68|72.86|75.21|77.07|79.36|81.64|83.48|84.33|
||2025|88.58|90.59|92.82|95.6|97.06|98.4|100.42|102.47|105.78|108.48|109.42|110.39|
||2026|115.73|119.16|121.47||||||||||
|||||||||||||||
