Yıl,Kategori,İşgücü (Bin Kişi),İşsiz Sayısı (Bin Kişi),İşsizlik Oranı (%)
1990,1. (15+),20.150,1.611,8.0
1991,1. (15+),21.010,1.722,8.2
1992,1. (15+),21.264,1.805,8.5
1993,1. (15+),20.314,1.814,8.9
1994,1. (15+),21.876,1.870,8.5
1995,1. (15+),22.286,1.700,7.6
1996,1. (15+),22.697,1.502,6.6
1997,1. (15+),22.755,1.551,6.8
1998,1. (15+),23.385,1.606,6.9
1999,1. (15+),23.878,1.829,7.7
2000,1. (15+),23.078,1.497,6.5
2001,1. (15+),23.491,1.967,8.4
2002,1. (15+),23.818,2.464,10.3
2003,1. (15+),23.818,2.493,10.5
2004,1. (15+),22.016,2.385,10.8
2005,1. (15+),22.454,2.388,10.6
2006,1. (15+),22.751,2.328,10.2
2007,1. (15+),23.114,2.377,10.3
2008,1. (15+),23.805,2.611,11.0
2009,1. (15+),24.748,3.471,14.0
2010,1. (15+),25.641,3.046,11.9
2011,1. (15+),26.725,2.615,9.8
2012,1. (15+),24.821,2.518,9.2
2013,1. (15+),25.524,2.747,9.7
2014,1. (15+),28.786,2.853,9.9
2015,1. (15+),29.678,3.057,10.3
2016,1. (15+),30.535,3.330,10.9
2017,1. (15+),31.643,3.454,10.9
2018,1. (15+),32.274,3.537,11.0
2019,1. (15+),33.180,4.650,13.4
2020,1. (15+),,,13.2
2020,2. (15-24),,,25.3
2020,3. (15-64),,,13.4
2021,1. (15+),,,12.0
2021,2. (15-24),,,22.6
2021,3. (15-64),,,12.2
2022,1. (15+),,,10.4
2022,2. (15-24),,,19.4
2022,3. (15-64),,,10.7
2023,1. (15+),,,9.4
2023,2. (15-24),,,17.4
2023,3. (15-64),,,9.6
2024,1. (15+),,,8.7
2024,2. (15-24),,,16.3
2024,3. (15-64),,,8.9
2025,1. (15+),,,8.3
2025,2. (15-24),,,15.3
2025,3. (15-64),,,8.5
