Yıl,Kategori,İstihdam Oranı (%)
2002,Genel (15+),41.5
2003,Genel (15+),41.1
2004,Genel (15+),41.1
2005,Genel (15+),41.5
2006,Genel (15+),41.5
2007,Genel (15+),41.5
2008,Genel (15+),41.7
2009,Genel (15+),41.2
2010,Genel (15+),43.0
2011,Genel (15+),45.0
2012,Genel (15+),45.4
2013,Genel (15+),45.9
2014,Genel (15+),45.5
2015,Genel (15+),46.0
2016,Genel (15+),46.3
2017,Genel (15+),47.1
2018,Genel (15+),47.4
2019,Genel (15+),45.7
2020,Genel (15+),42.8
2021,Genel (15+),45.2
2022,Genel (15+),47.5
2023,Genel (15+),48.3
2024,OVP Tahmini (15+),49.1
2025,OVP Tahmini (15+),49.9
