|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Sanayi Üretim Endeksi (2021=100)|B-D. (Madencilik Ve Taş Ocakçılığı; İmalat; Elektrik, Gaz, Buhar Ve İklimlendirme Temini)|2002|28.7|27.0|32.8|32.5|33.8|32.6|33.7|32.9|35.1|34.8|33.5|32.3|
||2003|33.5|28.1|35.1|33.2|34.8|35.5|37.1|36.0|39.0|38.5|34.1|38.8|
||2004|35.3|32.2|39.5|38.4|40.7|41.2|41.6|39.0|41.1|38.8|37.1|40.4|
||2005|37.0|38.0|43.5|42.0|43.8|45.2|44.2|44.1|48.2|49.3|45.1|50.0|
||2006|37.4|41.4|48.9|46.3|49.3|50.1|48.3|47.0|50.4|47.3|51.6|51.2|
||2007|44.6|45.1|51.9|49.1|53.0|52.4|51.3|50.8|52.6|52.2|55.8|50.4|
||2008|49.6|49.2|53.7|52.8|54.6|53.7|53.5|49.0|50.5|48.9|48.7|41.6|
||2009|38.9|37.4|42.2|42.9|45.2|48.3|48.8|45.9|45.6|51.9|47.2|51.6|
||2010|42.2|42.6|50.5|49.0|51.2|53.5|53.9|51.9|50.2|57.3|51.9|63.1|
|B. (Madencilik Ve Taş Ocakçılığı)|2002|47.5|45.1|49.6|49.0|42.5|47.2|52.3|50.6|46.7|49.5|46.7|40.3|
||2003|43.8|35.8|43.9|35.4|38.4|44.5|55.1|53.1|56.8|51.7|41.5|48.2|
||2004|39.3|35.1|37.0|36.8|43.3|50.2|58.0|59.0|59.3|55.5|46.3|50.4|
||2005|45.6|46.7|45.0|45.6|49.7|55.1|58.1|59.4|56.8|58.7|51.7|52.8|
||2006|43.9|45.0|53.7|51.9|53.8|58.9|63.8|66.9|63.4|57.6|57.1|56.8|
||2007|49.3|47.5|52.3|56.4|60.8|62.5|67.0|74.3|73.0|66.7|60.6|56.9|
||2008|57.6|55.6|60.1|60.1|65.3|71.9|76.3|77.6|72.8|73.1|60.9|55.9|
||2009|56.3|46.8|55.9|58.2|59.0|68.5|78.8|80.0|70.5|77.8|63.3|65.4|
||2010|53.2|50.2|58.2|61.4|62.7|73.7|75.4|76.6|69.6|71.6|70.2|74.2|
|B05. (Kömür Ve Linyit Çıkartılması)|2005|80.3|90.5|73.8|71.2|70.7|85.3|87.1|91.1|89.0|106.3|93.2|96.4|
||2006|84.7|83.3|85.5|80.8|78.3|84.8|91.5|101.0|104.1|94.6|104.0|113.5|
||2007|86.3|87.2|87.4|105.0|106.0|101.8|105.8|115.2|116.1|109.5|111.8|106.1|
||2008|110.4|114.9|122.2|104.6|113.3|131.2|123.4|123.1|116.3|123.7|121.1|115.0|
||2009|124.7|104.0|116.6|113.9|99.0|111.1|124.1|136.4|100.7|124.2|100.5|122.7|
||2010|98.9|87.8|93.4|82.8|86.7|110.3|117.3|127.6|104.5|102.9|107.5|126.4|
|B051. (Taş Kömürü Madenciliği)|2005|176.7|193.7|216.1|204.0|209.3|219.3|152.8|157.3|162.0|147.8|133.8|159.5|
||2006|113.0|158.9|228.1|161.3|167.5|229.8|155.4|170.5|202.9|170.3|196.4|203.2|
||2007|156.4|171.2|198.8|176.4|211.6|194.6|198.6|189.0|198.9|184.2|187.3|180.0|
||2008|168.1|190.0|208.0|204.2|186.9|184.8|214.9|191.8|197.2|188.2|194.3|197.2|
||2009|191.9|198.3|223.9|229.3|196.0|221.5|225.4|221.6|221.4|236.7|190.4|268.2|
||2010|234.1|222.8|267.9|218.4|221.6|207.4|196.1|193.4|164.2|197.0|166.3|217.6|
|B0510. (Taş Kömürü Madenciliği)|2005|176.7|193.7|216.1|204.0|209.3|219.3|152.8|157.3|162.0|147.8|133.8|159.5|
||2006|113.0|158.9|228.1|161.3|167.5|229.8|155.4|170.5|202.9|170.3|196.4|203.2|
||2007|156.4|171.2|198.8|176.4|211.6|194.6|198.6|189.0|198.9|184.2|187.3|180.0|
||2008|168.1|190.0|208.0|204.2|186.9|184.8|214.9|191.8|197.2|188.2|194.3|197.2|
||2009|191.9|198.3|223.9|229.3|196.0|221.5|225.4|221.6|221.4|236.7|190.4|268.2|
||2010|234.1|222.8|267.9|218.4|221.6|207.4|196.1|193.4|164.2|197.0|166.3|217.6|
|B052. (Linyit Madenciliği)|2005|73.9|83.5|65.4|63.2|62.5|77.0|82.0|85.9|83.5|102.0|89.2|91.2|
||2006|81.4|77.8|76.8|75.2|72.3|76.0|86.4|95.4|97.1|88.8|97.3|106.7|
||2007|81.0|81.3|80.1|99.3|98.6|95.1|98.9|109.1|109.5|103.5|105.7|100.1|
||2008|105.2|108.7|115.3|97.5|107.3|125.7|116.3|117.0|109.8|117.9|114.8|108.5|
